rating,cuisine_type,restaurant_name,avg_check,high_margin
Четыре звезды,итальянская,Кофе-Брейк,691,0
Две звезды,русская,Русский аппетит,1533,0
Три звезды,русская,Вегетарианский уголок,1130,0
Четыре звезды,азиатская,БургерХаус,518,0
Четыре звезды,фастфуд,Кренделёк,1373,0
Три звезды,азиатская,Рис и лапша,1180,0
Четыре звезды,фастфуд,Халяль-гриль,828,1
Пять звезд,фастфуд,Капуччино-Бар,832,0
Четыре звезды,русская,Китайский квартал,545,1
Три звезды,итальянская,Такос-Амигос,689,0
Одна звезда,итальянская,Корн-дог,1320,0
Пять звезд,русская,У Егора,1457,1
Одна звезда,азиатская,Котлетная,1680,0
Пять звезд,итальянская,Мясной рай,1647,0
Четыре звезды,азиатская,Пончик-хаус,725,0
Пять звезд,итальянская,Фалафельная,1034,1
Четыре звезды,азиатская,Ларек с хот-догами,1054,0
Пять звезд,фастфуд,СушиВок,652,0
Три звезды,фастфуд,Китайский квартал,199,0
Четыре звезды,итальянская,Поварёшка,2143,0
Три звезды,азиатская,Блинная №1,374,0
Четыре звезды,азиатская,Кулинария,2279,0
Четыре звезды,фастфуд,Хинкальная,2379,0
Пять звезд,азиатская,Кулинария,671,1
Пять звезд,русская,Мороженое-Софт,1052,1
Четыре звезды,азиатская,Чайхана,384,0
Три звезды,фастфуд,Быстро и вкусно,1640,0
Три звезды,русская,Корн-дог,1918,0
Четыре звезды,русская,СушиВок,896,0
Три звезды,азиатская,Обед-Бокс,192,0
Две звезды,фастфуд,Бабушкины пирожки,531,0
Три звезды,фастфуд,Бутербродная,1306,0
Три звезды,фастфуд,Утренний кофе,552,0
Три звезды,русская,Халяль-гриль,203,0
Три звезды,фастфуд,Винный погреб,803,0
Одна звезда,русская,Узбечка,2079,0
Одна звезда,русская,Сладкая жизнь,928,0
Пять звезд,итальянская,Китайский квартал,308,1
Три звезды,азиатская,Итальянский дворик,287,1
Три звезды,фастфуд,У Егора,682,0
Четыре звезды,русская,Пельмения,1046,1
Три звезды,азиатская,Пончик-хаус,2451,0
Пять звезд,русская,Рыбный день,864,0
Четыре звезды,азиатская,Халяль-гриль,2474,0
Две звезды,русская,Блинная №1,570,0
Три звезды,фастфуд,Луковые кольца,2083,0
Пять звезд,итальянская,Котлетная,2127,1
Пять звезд,итальянская,Бабушкины пирожки,2254,0
Четыре звезды,итальянская,Узбечка,718,0
Четыре звезды,русская,Салатный бар,218,1
Три звезды,азиатская,Паста-Мания,1325,0
Пять звезд,фастфуд,Вареники,869,0
Три звезды,фастфуд,Пивной ресторан,337,0
Пять звезд,русская,Пицца-Прайм,1836,0
Четыре звезды,итальянская,Вегетарианский уголок,1893,1
Четыре звезды,русская,Горячий хлеб,2440,0
Четыре звезды,азиатская,Рамен-тайм,329,0
Три звезды,итальянская,Сковородка,1922,0
Три звезды,русская,Деловой ланч,157,0
Три звезды,азиатская,Деловой ланч,2299,0
Три звезды,итальянская,Фиш-н-чипс,309,0
Четыре звезды,фастфуд,Кулинария,1830,0
Три звезды,азиатская,Кебаб-хаус,154,0
Две звезды,фастфуд,Квасная лавка,530,0
Пять звезд,азиатская,Пивной ресторан,1095,0
Пять звезд,итальянская,Лапшичная,2152,0
Пять звезд,русская,Бабушкины пирожки,1057,1
Пять звезд,русская,Такос-Амигос,1122,1
Три звезды,русская,Рыбный день,2009,0
Три звезды,русская,Русский аппетит,453,0
Четыре звезды,азиатская,Студенческая столовая,1329,0
Четыре звезды,русская,Пивной ресторан,421,0
Три звезды,русская,Луковые кольца,272,0
Пять звезд,азиатская,СушиВок,660,1
Три звезды,азиатская,Салатный бар,2476,0
Три звезды,итальянская,Кофе-Брейк,1706,0
Четыре звезды,азиатская,Кулинария,869,0
Четыре звезды,фастфуд,Чайхана,1056,0
Четыре звезды,итальянская,Утренний кофе,1803,0
Две звезды,итальянская,Кондитерская-Кофе,2320,0
Пять звезд,русская,Паста-Мания,1886,0
Три звезды,русская,Русский аппетит,2023,0
Две звезды,фастфуд,Рамен-тайм,546,0
Пять звезд,русская,Сырная тарелка,2498,1
Пять звезд,азиатская,Пончик-хаус,2013,0
Пять звезд,азиатская,Студенческая столовая,752,1
Пять звезд,русская,Ларек с хот-догами,365,1
Четыре звезды,русская,Котлетная,150,1
Четыре звезды,азиатская,Чайхана,1423,1
Две звезды,итальянская,Пицца-Прайм,1344,1
Три звезды,фастфуд,Шаурма-Экспресс,2331,0
Три звезды,фастфуд,Рис и лапша,1249,0
Три звезды,итальянская,Бабушкины пирожки,911,0
Четыре звезды,фастфуд,Квасная лавка,416,0
Четыре звезды,русская,Луковые кольца,245,0
Две звезды,русская,Студенческая столовая,2473,0
Три звезды,русская,Ларек с хот-догами,1723,0
Четыре звезды,фастфуд,Халяль-гриль,461,0
Две звезды,итальянская,Добрая столовая,1520,1
Пять звезд,русская,Хинкальная,2180,0
Четыре звезды,итальянская,Студенческая столовая,416,0
Четыре звезды,азиатская,Сытый студент,2471,0
Четыре звезды,азиатская,Мясной рай,1271,0
Пять звезд,азиатская,Пивной ресторан,1488,1
Три звезды,фастфуд,Итальянский дворик,704,0
Четыре звезды,фастфуд,Вок-Вок,1267,0
Четыре звезды,русская,Утренний кофе,2044,0
Три звезды,азиатская,Хлеб и масло,2453,0
Пять звезд,итальянская,Мясной рай,1190,1
Четыре звезды,фастфуд,Блинная №1,1802,0
Четыре звезды,итальянская,Сковородка,707,0
Пять звезд,итальянская,Рамен-тайм,830,0
Пять звезд,русская,Сырная тарелка,1314,0
Четыре звезды,русская,Мама-печёт,886,1
Пять звезд,итальянская,Узбечка,2245,0
Четыре звезды,итальянская,Кренделёк,2450,0
Четыре звезды,итальянская,Пицца-Прайм,1876,1
Четыре звезды,итальянская,Горячий хлеб,662,1
Четыре звезды,азиатская,Луковые кольца,945,0
Три звезды,итальянская,Кебаб-хаус,1013,0
Пять звезд,фастфуд,Суп-Суп,305,0
Пять звезд,русская,Утренний кофе,1776,0
Одна звезда,фастфуд,Фиш-н-чипс,2143,0
Пять звезд,русская,Сытый студент,473,1
Две звезды,русская,Бабушкины пирожки,1938,0
Три звезды,русская,Борщ-меню,1928,0
Четыре звезды,фастфуд,Грузинский дом,1214,0
Три звезды,русская,Узбечка,511,0
Пять звезд,итальянская,Китайский квартал,1589,1
Пять звезд,итальянская,Вареники,901,1
Четыре звезды,азиатская,У Егора,1486,1
Одна звезда,азиатская,Фалафельная,1451,0
Три звезды,азиатская,Бутербродная,471,0
Четыре звезды,итальянская,Кулинария,2110,1
Пять звезд,фастфуд,Мама-печёт,704,1
Четыре звезды,азиатская,Халяль-гриль,263,0
Три звезды,итальянская,Узбечка,151,0
Четыре звезды,русская,Рамен-тайм,899,1
Четыре звезды,фастфуд,Пивной ресторан,1334,1
Четыре звезды,фастфуд,Чайхана,1749,0
Две звезды,итальянская,Капуччино-Бар,722,0
Четыре звезды,итальянская,Мясной рай,232,0
Четыре звезды,русская,Мама-печёт,1183,0
Пять звезд,русская,Борщ-меню,583,1
Три звезды,русская,Корн-дог,767,1
Четыре звезды,фастфуд,Вок-Вок,1395,1
Пять звезд,фастфуд,Фалафельная,939,1
Две звезды,азиатская,Халяль-гриль,470,0
Пять звезд,азиатская,Вок-Вок,947,0
Четыре звезды,азиатская,Кебаб-хаус,1928,0
Две звезды,фастфуд,Фалафельная,1455,0
Три звезды,русская,Перекусич,1293,0
Четыре звезды,азиатская,Мама-печёт,2260,0
Две звезды,русская,Пицца-Прайм,1716,0
Четыре звезды,русская,Корн-дог,1916,0
Три звезды,русская,Буррито-Кинг,801,0
Четыре звезды,азиатская,Блинная №1,1446,0
Одна звезда,азиатская,Рис и лапша,518,0
Пять звезд,русская,Пицца-Прайм,621,0
Пять звезд,азиатская,Халяль-гриль,905,1
Пять звезд,итальянская,Студенческая столовая,1468,1
Четыре звезды,азиатская,Быстро и вкусно,1247,0
Две звезды,русская,Пицца-Прайм,1028,0
Четыре звезды,русская,Халяль-гриль,1078,1
Одна звезда,фастфуд,Быстро и вкусно,1133,0
Одна звезда,фастфуд,Рыбный день,797,0
Три звезды,русская,Винный погреб,1761,0
Четыре звезды,итальянская,Деловой ланч,356,0
Четыре звезды,фастфуд,Борщ-меню,938,0
Четыре звезды,русская,Сладкая жизнь,273,0
Три звезды,фастфуд,Быстро и вкусно,1907,0
Три звезды,фастфуд,Салатный бар,2074,0
Пять звезд,русская,Перекусич,422,0
Три звезды,азиатская,Кофе-Брейк,623,0
Четыре звезды,итальянская,Хинкальная,503,1
Три звезды,азиатская,Мясной рай,2294,0
Четыре звезды,русская,Вок-Вок,2279,0
Четыре звезды,русская,Пицца-Прайм,686,0
Три звезды,итальянская,Ларек с хот-догами,1234,0
Две звезды,русская,Луковые кольца,1267,0
Четыре звезды,фастфуд,Поварёшка,1111,0
Четыре звезды,итальянская,Грузинский дом,907,0
Три звезды,азиатская,Пельмения,1938,0
Пять звезд,итальянская,Кренделёк,1469,1
Три звезды,азиатская,Утренний кофе,831,0
Три звезды,русская,Чайхана,1001,0
Пять звезд,азиатская,Пирожок на углу,2144,0
Три звезды,азиатская,Рыбный день,899,0
Четыре звезды,азиатская,Сырная тарелка,319,0
Три звезды,итальянская,Узбечка,1012,0
Три звезды,фастфуд,Рамен-тайм,2496,0
Пять звезд,азиатская,Вареники,857,1
Три звезды,итальянская,На углу,1006,0
Пять звезд,итальянская,Поварёшка,1069,1
Три звезды,фастфуд,Суп-Суп,1784,0
Три звезды,итальянская,Винный погреб,1490,0
Одна звезда,русская,Хлеб и масло,1824,0
Четыре звезды,русская,Итальянский дворик,413,0
Три звезды,русская,Бабушкины пирожки,629,0
Пять звезд,фастфуд,Рамен-тайм,1109,1
Четыре звезды,итальянская,Рыбный день,1434,0
Пять звезд,русская,Квасная лавка,1719,0
Три звезды,азиатская,Кебаб-хаус,1269,0
Пять звезд,итальянская,Пирожок на углу,1567,0
Четыре звезды,русская,Рис и лапша,673,1
Четыре звезды,итальянская,Хинкальная,1148,0
Пять звезд,русская,Рамен-тайм,551,0
Четыре звезды,азиатская,У Егора,1644,1
Четыре звезды,итальянская,У Егора,2480,0
Две звезды,русская,Бутербродная,682,0
Одна звезда,русская,Салатный бар,2466,0
Пять звезд,азиатская,Рамен-тайм,2005,0
Четыре звезды,азиатская,Рис и лапша,859,1
Четыре звезды,русская,Паста-Мания,1428,0
Четыре звезды,русская,У Егора,1841,1
Две звезды,фастфуд,Пирожок на углу,2089,0
Две звезды,фастфуд,Хлеб и масло,1129,1
Четыре звезды,итальянская,Обед-Бокс,574,0
Три звезды,итальянская,Русский аппетит,1177,1
Три звезды,фастфуд,Рис и лапша,233,0
Четыре звезды,русская,Винный погреб,2411,0
Две звезды,азиатская,Борщ-меню,941,0
Четыре звезды,итальянская,Русский аппетит,2177,0
Три звезды,русская,Мороженое-Софт,806,0
Четыре звезды,азиатская,Буррито-Кинг,206,0
Три звезды,азиатская,Студенческая столовая,1327,0
Четыре звезды,русская,Винный погреб,1785,1
Одна звезда,русская,Кебаб-хаус,1118,0
Две звезды,итальянская,Пельмения,550,0
Три звезды,фастфуд,Мясной рай,1101,0
Четыре звезды,русская,Пивной ресторан,2133,1
Четыре звезды,фастфуд,Блинная №1,671,0
Три звезды,итальянская,Сырная тарелка,2119,0
Четыре звезды,фастфуд,Узбечка,1809,0
Пять звезд,фастфуд,Блинная №1,2124,0
Четыре звезды,азиатская,Том-ям-бар,2467,0
Одна звезда,итальянская,Кулинария,2032,0
Четыре звезды,русская,Рыбный день,1712,0
Две звезды,фастфуд,Пивной ресторан,666,0
Три звезды,итальянская,Шаурма-Экспресс,1515,1
Пять звезд,азиатская,Итальянский дворик,2337,1
Две звезды,азиатская,Вок-Вок,1151,0
Четыре звезды,фастфуд,Сытый студент,2461,0
Четыре звезды,фастфуд,СушиВок,598,0
Четыре звезды,русская,Кебаб-хаус,1228,0
Четыре звезды,итальянская,Халяль-гриль,671,0
Одна звезда,русская,Бабушкины пирожки,375,0
Три звезды,русская,Фалафельная,2313,0
Четыре звезды,азиатская,Блинная №1,1120,1
Две звезды,итальянская,У Егора,1513,0
Три звезды,русская,Пончик-хаус,1280,0
Одна звезда,азиатская,Хинкальная,1692,0
Две звезды,фастфуд,Кондитерская-Кофе,250,0
Три звезды,русская,Шаурма-Экспресс,1388,0
Две звезды,фастфуд,Мороженое-Софт,705,0
Четыре звезды,итальянская,Корн-дог,372,0
Четыре звезды,русская,Квасная лавка,1383,0
Пять звезд,фастфуд,Вок-Вок,1899,0
Три звезды,фастфуд,Луковые кольца,1031,0
Три звезды,итальянская,Деловой ланч,2491,0
Две звезды,азиатская,Пекарня у дома,370,0
Четыре звезды,азиатская,Мороженое-Софт,1888,0
Четыре звезды,русская,Мороженое-Софт,1637,0
Одна звезда,фастфуд,Шаурма-Экспресс,731,0
Пять звезд,азиатская,Сырная тарелка,401,0
Две звезды,русская,Винный погреб,1285,0
Четыре звезды,фастфуд,Такос-Амигос,1937,0
Четыре звезды,русская,Сладкая жизнь,429,0
Пять звезд,итальянская,Сковородка,443,0
Четыре звезды,русская,Пончик-хаус,1688,1
Пять звезд,итальянская,Поварёшка,328,0
Три звезды,фастфуд,Вареники,2386,0
Пять звезд,фастфуд,Чайхана,2365,0
Две звезды,фастфуд,Паста-Мания,2251,0
Пять звезд,русская,Студенческая столовая,1800,1
Четыре звезды,фастфуд,Перекусич,2468,0
Пять звезд,фастфуд,Пельмения,1795,0
Четыре звезды,итальянская,Морс-бар,2380,0
Четыре звезды,фастфуд,Пекарня у дома,173,0
Четыре звезды,фастфуд,Вареники,1000,1
Четыре звезды,фастфуд,Бабушкины пирожки,405,0
Две звезды,азиатская,Пицца-Прайм,1387,0
Две звезды,фастфуд,Такос-Амигос,1213,0
Три звезды,русская,Утренний кофе,944,0
Три звезды,итальянская,Студенческая столовая,1636,0
Пять звезд,фастфуд,Бабушкины пирожки,1163,1
Три звезды,русская,СушиВок,1889,0
Пять звезд,итальянская,Кулинария,1054,0
Три звезды,итальянская,Корн-дог,1384,1
Три звезды,русская,Кулинария,2320,0
Четыре звезды,русская,Вок-Вок,2144,0
Четыре звезды,азиатская,Бабушкины пирожки,2483,0
Четыре звезды,азиатская,Морс-бар,2441,0
Четыре звезды,фастфуд,Бутербродная,911,0
Четыре звезды,азиатская,Хинкальная,292,0
Три звезды,русская,Мясной рай,1934,0
Пять звезд,азиатская,Пицца-Прайм,469,0
Пять звезд,итальянская,Пирожок на углу,1548,1
Четыре звезды,русская,Узбечка,582,0
Три звезды,фастфуд,Буррито-Кинг,271,0
Четыре звезды,итальянская,Фиш-н-чипс,943,1
Две звезды,итальянская,Рыбный день,899,0
Одна звезда,итальянская,Трапеза,2400,0
Три звезды,русская,Лапшичная,2146,0
Четыре звезды,русская,Фалафельная,1446,0
Пять звезд,фастфуд,Вок-Вок,2435,0
Четыре звезды,азиатская,БургерХаус,2163,0
Четыре звезды,азиатская,Шаурма-Экспресс,259,0
Три звезды,азиатская,Лапшичная,561,0
Три звезды,азиатская,Хлеб и масло,220,0
Три звезды,итальянская,Рамен-тайм,867,0
Пять звезд,русская,Утренний кофе,1530,0
Одна звезда,азиатская,СушиВок,2438,0
Пять звезд,итальянская,Вечерний свет,868,0
Четыре звезды,русская,Пельмения,276,1
Три звезды,русская,Борщ-меню,575,0
Четыре звезды,русская,Кебаб-хаус,2475,0
Четыре звезды,итальянская,Пельмения,2130,0
Пять звезд,азиатская,Китайский квартал,685,1
Пять звезд,русская,Фиш-н-чипс,2484,0
Три звезды,итальянская,Вегетарианский уголок,1226,1
Три звезды,русская,Горячий хлеб,1294,0
Четыре звезды,фастфуд,Горячий хлеб,1871,0
Пять звезд,фастфуд,Добрая столовая,1929,0
Три звезды,итальянская,Луковые кольца,1055,0
Четыре звезды,азиатская,Капуччино-Бар,2281,1
Четыре звезды,азиатская,Хлеб и масло,1063,0
Четыре звезды,русская,Рамен-тайм,1997,0
Две звезды,азиатская,Пельмения,456,0
Четыре звезды,азиатская,Бабушкины пирожки,486,0
Пять звезд,фастфуд,Фалафельная,2045,0
Три звезды,итальянская,Луковые кольца,666,1
Три звезды,фастфуд,Квасная лавка,250,0
Пять звезд,итальянская,Ларек с хот-догами,2114,0
Три звезды,русская,Сковородка,2297,0
Пять звезд,фастфуд,Пончик-хаус,2370,0
Четыре звезды,итальянская,Бабушкины пирожки,1605,0
Три звезды,азиатская,Рыбный день,1281,0
Пять звезд,итальянская,Квасная лавка,2058,1
Три звезды,азиатская,Борщ-меню,177,0
Четыре звезды,русская,Узбечка,906,1
Три звезды,азиатская,Квасная лавка,187,0
Четыре звезды,итальянская,Итальянский дворик,197,0
Три звезды,фастфуд,Салатный бар,155,0
Три звезды,итальянская,Поварёшка,1587,0
Пять звезд,фастфуд,Рис и лапша,919,0
Три звезды,итальянская,Фиш-н-чипс,1512,0
Четыре звезды,итальянская,Лапшичная,966,0
Три звезды,русская,Пельмения,157,0
Четыре звезды,азиатская,СушиВок,926,1
Две звезды,итальянская,Вечерний свет,812,0
Пять звезд,фастфуд,Грузинский дом,478,0
Четыре звезды,азиатская,Том-ям-бар,1573,0
Три звезды,русская,Халяль-гриль,549,0
Две звезды,азиатская,Мясной рай,929,0
Три звезды,итальянская,Лапшичная,2062,0
Четыре звезды,фастфуд,Такос-Амигос,1568,1
Три звезды,фастфуд,Морс-бар,1383,0
Пять звезд,азиатская,Рамен-тайм,1344,1
Три звезды,фастфуд,Утренний кофе,250,0
Три звезды,итальянская,Сытый студент,472,0
Четыре звезды,фастфуд,Кондитерская-Кофе,178,0
Четыре звезды,фастфуд,Перекусич,900,0
Три звезды,фастфуд,Блинная №1,1809,0
Три звезды,итальянская,Утренний кофе,756,0
Одна звезда,русская,Бабушкины пирожки,666,0
Четыре звезды,фастфуд,Винный погреб,1258,1
Четыре звезды,русская,Квасная лавка,389,0
Четыре звезды,азиатская,Обед-Бокс,1222,0
Пять звезд,азиатская,Кебаб-хаус,2223,0
Пять звезд,итальянская,Борщ-меню,988,0
Четыре звезды,итальянская,Мясной рай,1271,0
Пять звезд,итальянская,Шаурма-Экспресс,1585,1
Три звезды,итальянская,Кренделёк,2471,0
Две звезды,русская,Винный погреб,1486,1
Три звезды,итальянская,Такос-Амигос,1409,0
Две звезды,русская,Вареники,2011,0
Четыре звезды,фастфуд,Утренний кофе,794,0
Пять звезд,фастфуд,Деловой ланч,2378,0
Одна звезда,азиатская,Морс-бар,746,0
Две звезды,азиатская,Сладкая жизнь,2443,0
Четыре звезды,русская,Квасная лавка,590,0
Пять звезд,итальянская,Китайский квартал,617,0
Три звезды,азиатская,Халяль-гриль,1114,0
Четыре звезды,русская,Сковородка,1787,1
Одна звезда,азиатская,Кебаб-хаус,376,0
Две звезды,итальянская,Пирожок на углу,1454,0
Пять звезд,русская,Добрая столовая,1843,1
Пять звезд,азиатская,Вегетарианский уголок,663,0
Одна звезда,итальянская,Вечерний свет,361,0
Пять звезд,русская,Ларек с хот-догами,919,0
Четыре звезды,русская,Мороженое-Софт,580,0
Пять звезд,русская,Узбечка,1781,0
Четыре звезды,фастфуд,Кренделёк,409,0
Четыре звезды,русская,Блинная №1,1904,0
Четыре звезды,азиатская,Луковые кольца,856,0
Четыре звезды,русская,Корн-дог,195,0
Две звезды,русская,Сырная тарелка,1026,0
Одна звезда,русская,Фалафельная,2105,0
Три звезды,русская,Хлеб и масло,1750,0
Четыре звезды,русская,Бабушкины пирожки,2424,0
Три звезды,фастфуд,Рис и лапша,1889,0
Четыре звезды,итальянская,Буррито-Кинг,1720,0
Пять звезд,фастфуд,Пирожок на углу,1411,0
Две звезды,азиатская,Корн-дог,1274,0
Четыре звезды,итальянская,Быстро и вкусно,1910,1
Три звезды,азиатская,Деловой ланч,483,0
Пять звезд,русская,Капуччино-Бар,1680,1
Три звезды,азиатская,Халяль-гриль,705,0
Четыре звезды,фастфуд,У Егора,2198,0
Пять звезд,фастфуд,Пекарня у дома,880,0
Пять звезд,русская,Грузинский дом,877,0
Четыре звезды,русская,Пицца-Прайм,1313,0
Четыре звезды,итальянская,Корн-дог,2082,0
Четыре звезды,фастфуд,У Егора,1072,0
Пять звезд,фастфуд,Перекусич,1449,1
Четыре звезды,итальянская,Винный погреб,516,0
Одна звезда,фастфуд,Фиш-н-чипс,773,0
Пять звезд,итальянская,Мясной рай,2170,1
Четыре звезды,фастфуд,Пончик-хаус,2077,0
Четыре звезды,азиатская,БургерХаус,2090,0
Три звезды,азиатская,Кондитерская-Кофе,450,0
Четыре звезды,итальянская,Кофе-Брейк,1243,0
Три звезды,итальянская,Вегетарианский уголок,1360,0
Четыре звезды,русская,Студенческая столовая,307,0
Две звезды,фастфуд,Рис и лапша,1504,0
Четыре звезды,азиатская,На углу,2079,0
Пять звезд,русская,Мясной рай,2280,0
Одна звезда,фастфуд,Хинкальная,163,0
Пять звезд,азиатская,Халяль-гриль,1304,0
Три звезды,фастфуд,Перекусич,1385,0
Пять звезд,итальянская,Буррито-Кинг,2404,0
Четыре звезды,азиатская,Утренний кофе,1308,1
Четыре звезды,азиатская,Корн-дог,257,0
Четыре звезды,русская,Кебаб-хаус,1944,0
Пять звезд,фастфуд,Морс-бар,780,1
Три звезды,итальянская,Студенческая столовая,314,0
Три звезды,итальянская,Рамен-тайм,2351,0
Четыре звезды,фастфуд,Пицца-Прайм,496,0
Пять звезд,фастфуд,Суп-Суп,1198,0
Четыре звезды,итальянская,Квасная лавка,2109,0
Четыре звезды,фастфуд,Кондитерская-Кофе,1728,0
Три звезды,русская,Корн-дог,499,0
Пять звезд,фастфуд,Морс-бар,1729,0
Две звезды,русская,Борщ-меню,1628,0
Четыре звезды,русская,Фалафельная,1970,0
Одна звезда,фастфуд,Утренний кофе,1391,0
Три звезды,азиатская,Рис и лапша,1419,0
Три звезды,азиатская,Кофе-Брейк,1025,0
Три звезды,русская,Рамен-тайм,1963,0
Четыре звезды,фастфуд,Винный погреб,1691,0
Три звезды,русская,Борщ-меню,1840,0
Три звезды,фастфуд,Такос-Амигос,2453,0
Три звезды,фастфуд,Пончик-хаус,969,0
Три звезды,итальянская,Том-ям-бар,1679,0
Три звезды,азиатская,Студенческая столовая,358,0
Две звезды,азиатская,Котлетная,2034,0
Четыре звезды,итальянская,Хлеб и масло,556,0
Четыре звезды,итальянская,Пончик-хаус,2278,0
Четыре звезды,итальянская,Бабушкины пирожки,256,0
Четыре звезды,русская,Вареники,1716,1
Три звезды,русская,Такос-Амигос,840,1
Пять звезд,русская,Поварёшка,1575,1
Четыре звезды,русская,Такос-Амигос,659,0
Четыре звезды,русская,Мама-печёт,1604,0
Одна звезда,азиатская,Бабушкины пирожки,1267,0
Три звезды,азиатская,Морс-бар,2279,0
Три звезды,фастфуд,Луковые кольца,2446,0
Три звезды,азиатская,Чайхана,390,0
Четыре звезды,итальянская,Перекусич,314,0
Четыре звезды,азиатская,Хлеб и масло,1646,0
Четыре звезды,итальянская,Мясной рай,1459,1
Четыре звезды,азиатская,Обед-Бокс,453,0
Пять звезд,русская,Деловой ланч,828,1
Четыре звезды,азиатская,Грузинский дом,944,0
Пять звезд,фастфуд,Хлеб и масло,1061,1
Одна звезда,русская,Кулинария,1147,0
Три звезды,русская,СушиВок,2101,0
Одна звезда,фастфуд,Мороженое-Софт,755,0
Четыре звезды,азиатская,Пекарня у дома,1188,0
Пять звезд,азиатская,Китайский квартал,2497,0
Три звезды,фастфуд,Горячий хлеб,556,0
Пять звезд,русская,Пицца-Прайм,1221,1
Две звезды,фастфуд,Буррито-Кинг,263,0
Пять звезд,итальянская,Чайхана,2066,0
Три звезды,итальянская,Рамен-тайм,675,0
Две звезды,азиатская,Рыбный день,2142,0
Четыре звезды,русская,На углу,971,0
Три звезды,итальянская,Кондитерская-Кофе,497,0
Три звезды,фастфуд,Рис и лапша,1115,1
Три звезды,азиатская,Хинкальная,2368,0
Пять звезд,азиатская,Фалафельная,1602,0
Четыре звезды,русская,Хинкальная,1553,0
Три звезды,итальянская,Узбечка,1234,0
Четыре звезды,азиатская,Морс-бар,350,0
Четыре звезды,фастфуд,Быстро и вкусно,2254,0
Три звезды,итальянская,Сковородка,2282,0
Три звезды,азиатская,Капуччино-Бар,932,0
Две звезды,азиатская,Салатный бар,1279,0
Три звезды,итальянская,БургерХаус,975,1
Четыре звезды,итальянская,У Егора,1706,0
Три звезды,русская,Кренделёк,1088,0
Четыре звезды,фастфуд,Мороженое-Софт,1244,1
Четыре звезды,русская,Бабушкины пирожки,913,0
Две звезды,русская,Капуччино-Бар,1404,0
Четыре звезды,фастфуд,Сковородка,673,0
Три звезды,фастфуд,Квасная лавка,1948,0
Пять звезд,русская,Кебаб-хаус,1242,1
Четыре звезды,итальянская,Суп-Суп,1284,1
Пять звезд,фастфуд,Сладкая жизнь,1020,0
Четыре звезды,русская,Шаурма-Экспресс,1419,0
Одна звезда,итальянская,Хлеб и масло,2097,0
Четыре звезды,азиатская,Хлеб и масло,247,1
Пять звезд,итальянская,Мама-печёт,1495,0
Четыре звезды,русская,Морс-бар,862,0
Пять звезд,фастфуд,Утренний кофе,823,0
Пять звезд,итальянская,Халяль-гриль,658,0
Три звезды,итальянская,Луковые кольца,1091,0
Три звезды,итальянская,Морс-бар,1092,0
Четыре звезды,фастфуд,Пицца-Прайм,525,0
Три звезды,фастфуд,Пончик-хаус,2066,0
Пять звезд,итальянская,Кебаб-хаус,2337,0
Пять звезд,итальянская,Том-ям-бар,1339,0
Три звезды,русская,Итальянский дворик,910,0
Три звезды,фастфуд,Бабушкины пирожки,2463,0
Четыре звезды,итальянская,Фиш-н-чипс,1528,1
Три звезды,фастфуд,БургерХаус,1402,0
Пять звезд,фастфуд,Рамен-тайм,2059,1
Три звезды,фастфуд,Шаурма-Экспресс,2396,0
Четыре звезды,русская,Кулинария,1887,0
Две звезды,азиатская,Кренделёк,1851,0
Четыре звезды,фастфуд,Вечерний свет,304,0
Четыре звезды,фастфуд,Фалафельная,2012,0
Четыре звезды,итальянская,Халяль-гриль,1861,0
Три звезды,фастфуд,Рамен-тайм,557,0
Четыре звезды,азиатская,Пивной ресторан,1677,0
Пять звезд,фастфуд,БургерХаус,1867,1
Три звезды,русская,Кебаб-хаус,775,0
Две звезды,итальянская,У Егора,835,0
Одна звезда,азиатская,Пекарня у дома,1615,0
Четыре звезды,русская,Винный погреб,1263,0
Четыре звезды,азиатская,Ларек с хот-догами,2139,0
Четыре звезды,итальянская,Рамен-тайм,1110,1
Три звезды,фастфуд,Квасная лавка,290,0
Три звезды,итальянская,Вегетарианский уголок,1019,1
Четыре звезды,итальянская,Блинная №1,2081,0
Четыре звезды,фастфуд,У Егора,1054,0
Пять звезд,русская,Пицца-Прайм,1513,0
Две звезды,азиатская,Суп-Суп,2000,0
Четыре звезды,русская,Буррито-Кинг,2172,0
Три звезды,фастфуд,Сковородка,1392,0
Три звезды,азиатская,У Егора,1444,0
Четыре звезды,фастфуд,Пельмения,212,0
Четыре звезды,русская,Бабушкины пирожки,1991,0
Пять звезд,итальянская,Пекарня у дома,1013,1
Две звезды,азиатская,Такос-Амигос,1706,0
Две звезды,фастфуд,Сладкая жизнь,2452,0
Четыре звезды,азиатская,Том-ям-бар,886,1
Четыре звезды,азиатская,Хлеб и масло,2323,0
Три звезды,русская,Капуччино-Бар,928,0
Две звезды,итальянская,Халяль-гриль,1579,0
Две звезды,азиатская,Итальянский дворик,1887,0
Пять звезд,русская,Вечерний свет,769,0
Три звезды,азиатская,Китайский квартал,237,0
Три звезды,итальянская,Пельмения,1564,0
Три звезды,азиатская,Борщ-меню,1542,0
Три звезды,итальянская,Сырная тарелка,838,0
Две звезды,русская,Котлетная,790,0
Четыре звезды,русская,Поварёшка,1071,1
Две звезды,итальянская,Суп-Суп,422,0
Пять звезд,итальянская,Халяль-гриль,786,1
