time_on_site,pages_viewed,breed_page_viewed,calculator_used,device_type,age_of_pet,previous_claims,visit_month,policy_purchased
114,4,0,0,1,1,0,5,1
340,7,0,0,2,11,0,11,0
174,23,1,0,1,12,0,12,1
73,8,0,0,2,5,1,9,0
23,1,0,0,0,0,0,10,0
247,10,1,1,2,7,0,11,0
149,10,0,1,0,2,0,9,0
182,17,0,0,2,7,0,1,0
56,3,1,0,2,1,0,7,0
37,7,0,0,0,4,0,10,0
140,11,0,1,0,3,0,5,0
87,1,1,1,1,2,0,6,0
82,10,1,0,0,12,0,7,0
396,18,1,1,1,2,0,12,0
170,6,0,1,0,3,0,9,0
169,8,1,0,2,5,0,6,0
130,8,0,0,0,6,0,6,0
171,7,0,0,1,2,0,4,0
137,2,0,1,0,7,0,7,1
46,2,1,0,0,5,0,12,0
355,5,1,0,0,6,0,9,0
382,9,1,1,0,1,0,6,1
153,9,0,0,0,7,0,8,0
191,3,1,0,2,5,0,4,0
145,9,1,0,0,14,0,7,0
154,2,0,1,1,6,0,8,0
163,6,1,0,0,4,0,10,0
151,13,0,0,0,15,0,2,0
332,3,0,0,0,5,0,5,0
42,6,0,1,1,4,0,7,0
126,5,0,0,0,2,0,7,0
142,15,1,1,0,7,0,12,0
206,1,1,1,0,3,0,7,0
343,5,1,1,0,3,0,9,0
264,11,0,1,0,2,0,7,0
103,3,0,0,0,3,0,3,1
160,19,0,1,0,0,1,9,0
204,8,0,1,1,2,0,4,0
161,10,0,0,0,1,0,4,0
163,6,0,0,0,3,0,4,0
268,2,1,1,0,4,0,6,0
187,2,0,0,1,6,1,9,0
269,21,1,1,0,11,0,10,0
92,4,1,0,1,12,1,12,0
281,8,0,1,1,5,0,8,0
60,13,0,0,1,4,1,3,0
71,4,1,1,0,1,0,7,0
83,6,1,0,0,3,0,6,0
454,18,0,0,0,15,0,3,0
111,6,0,1,2,3,0,4,0
10,5,1,0,1,5,0,6,0
371,8,1,0,0,3,1,5,0
295,9,0,0,2,0,0,2,0
132,9,0,0,0,5,0,12,0
243,9,0,0,0,6,0,5,0
104,5,1,0,0,7,0,4,0
223,4,1,0,0,3,0,6,1
72,13,0,1,2,1,0,8,0
63,7,0,0,2,9,0,8,0
82,3,1,0,1,5,0,2,1
403,6,1,1,0,7,0,11,1
279,10,0,1,1,0,0,10,0
25,7,0,1,1,4,1,4,1
36,5,1,1,0,10,0,12,0
168,13,1,0,0,3,0,3,0
353,9,0,0,1,13,0,10,0
84,8,1,1,2,5,0,9,0
191,2,0,0,1,3,1,4,0
180,5,1,1,0,4,1,9,0
18,9,1,1,0,1,0,7,0
156,7,1,1,2,3,0,6,0
405,12,0,1,2,2,0,5,1
308,3,1,0,0,5,0,9,0
212,16,1,0,1,7,0,9,0
330,11,0,1,2,8,0,10,0
124,1,0,0,2,10,0,12,0
229,9,1,0,1,7,0,11,0
120,9,1,0,0,1,0,6,0
165,8,0,0,1,5,0,7,0
140,5,1,1,0,4,0,6,0
514,4,0,0,2,3,0,6,0
242,12,0,0,0,3,0,9,0
114,4,0,0,1,2,1,3,0
67,1,0,1,1,2,0,7,1
33,9,1,0,1,8,0,7,0
299,7,0,0,1,5,0,2,1
221,12,0,1,0,4,0,4,0
209,8,0,1,1,3,0,4,0
163,14,0,1,0,4,0,6,1
287,1,1,1,0,6,1,8,0
191,2,1,1,2,8,0,11,0
440,8,1,0,1,8,0,10,0
114,13,0,0,1,3,0,5,0
337,5,1,1,0,0,0,8,0
51,9,1,1,1,12,0,12,0
152,9,0,0,1,11,0,11,0
384,2,0,1,1,5,0,9,0
459,9,1,1,2,4,0,3,0
175,9,1,1,0,1,0,4,0
61,15,1,1,1,7,1,8,0
139,6,1,1,1,2,0,6,0
42,12,0,1,0,6,0,9,0
186,6,1,0,0,0,0,5,0
96,8,0,1,2,6,1,9,0
35,12,0,0,0,9,0,10,0
129,7,1,0,0,4,0,3,0
252,2,0,0,0,10,1,6,0
293,6,1,1,0,6,0,12,0
120,8,0,0,2,3,0,6,0
372,12,0,0,0,6,0,5,0
135,15,0,1,0,2,0,3,1
328,2,0,0,2,3,0,6,0
117,14,0,1,0,3,0,9,0
286,13,1,1,1,13,0,7,0
20,9,0,1,2,3,0,5,0
311,16,1,0,1,1,0,10,0
121,4,1,0,1,0,0,4,0
204,18,1,0,0,4,0,3,0
267,9,1,1,0,1,0,8,0
393,2,1,0,0,3,0,8,0
82,9,0,0,0,8,0,6,0
92,7,0,0,0,3,0,10,0
193,7,0,1,0,5,1,9,0
284,8,0,1,1,5,0,7,0
310,19,0,0,0,8,0,3,0
193,9,0,0,0,3,1,2,0
138,3,1,0,0,4,0,5,0
369,16,0,0,0,7,0,7,0
135,7,0,1,1,8,0,9,1
36,8,1,1,1,4,0,3,0
20,5,1,0,2,6,0,6,1
161,6,0,1,2,4,0,10,0
94,2,0,1,1,4,0,6,1
369,11,1,0,1,1,0,7,0
382,7,1,0,0,10,0,12,0
310,8,0,0,0,2,0,10,0
15,4,1,1,2,3,0,7,0
58,11,1,1,0,2,0,5,0
275,5,1,0,0,5,0,9,0
110,5,0,0,0,7,1,6,0
372,4,0,1,0,2,0,3,0
142,8,0,0,1,4,0,11,0
110,3,0,1,0,8,0,10,0
42,16,1,1,0,6,0,3,1
133,9,0,1,0,6,0,8,0
211,13,0,0,1,2,0,3,1
94,5,1,0,1,4,0,10,1
150,3,1,1,0,1,0,7,0
138,3,1,1,1,1,0,7,0
194,8,0,0,0,12,0,7,0
398,1,1,0,1,3,0,10,0
93,10,0,1,1,1,0,3,0
73,6,0,1,2,1,0,2,1
165,12,1,1,0,4,0,7,1
150,16,0,0,0,3,0,6,0
10,8,0,0,0,5,0,8,0
176,11,1,0,0,4,0,7,0
134,5,0,0,0,4,0,9,0
117,5,1,0,0,4,0,9,0
86,11,0,1,0,9,0,7,0
71,1,1,1,2,6,0,8,1
296,8,0,0,0,7,0,12,0
179,11,1,1,2,6,0,8,0
202,6,0,1,2,13,1,12,0
203,6,1,0,2,3,0,8,0
346,11,0,0,2,5,1,2,0
740,17,0,0,1,10,0,8,0
376,15,1,1,1,8,0,5,0
188,4,1,0,0,5,0,2,0
292,16,0,0,0,2,0,9,0
71,7,0,0,2,2,0,10,0
49,1,0,1,0,5,1,6,0
86,3,1,1,0,7,0,4,0
294,2,1,0,1,1,0,6,0
31,8,1,1,1,0,0,2,0
10,3,0,0,2,2,0,4,0
200,4,1,0,0,3,0,6,0
224,12,1,0,1,11,0,4,0
305,12,1,0,0,5,0,11,0
297,12,0,1,2,2,0,2,0
120,9,1,1,0,8,0,8,0
42,11,0,1,2,5,0,10,0
308,1,1,1,0,3,0,8,0
123,8,0,1,0,3,0,5,0
237,2,1,0,0,2,1,6,0
94,11,1,0,0,3,0,10,0
43,5,1,1,1,1,0,6,0
119,1,0,1,0,8,0,11,0
342,1,0,0,0,3,0,6,0
146,2,1,0,0,4,0,12,0
71,14,0,1,2,4,0,8,0
299,13,0,0,0,5,0,4,0
72,15,1,0,0,10,1,6,0
166,3,1,0,1,1,0,10,0
163,5,1,1,2,4,0,4,0
221,7,0,1,2,2,1,3,0
595,19,1,1,2,1,0,3,0
88,3,1,1,0,3,0,7,0
287,6,1,1,2,5,0,7,0
80,1,1,0,1,2,1,7,0
330,7,0,0,2,7,0,9,0
151,3,0,0,0,7,0,7,0
186,2,1,1,2,3,0,9,0
82,4,1,0,0,3,0,8,0
114,8,0,1,1,3,1,6,0
225,5,1,0,0,3,0,12,0
209,14,0,1,0,8,0,7,0
247,2,1,0,0,4,0,6,0
285,2,1,1,0,1,0,3,0
82,9,0,1,1,3,0,7,0
179,6,0,0,1,8,0,4,0
46,16,1,0,1,10,0,6,0
13,8,1,1,0,1,1,5,0
175,17,1,1,2,2,0,4,0
89,3,1,0,1,5,0,6,0
201,4,0,0,0,3,0,8,0
172,3,0,0,1,3,0,2,1
177,4,0,0,0,6,0,8,0
194,4,0,1,0,5,0,7,1
405,2,1,0,0,1,1,9,0
449,4,0,0,1,5,1,7,0
89,6,0,1,0,4,0,6,0
87,5,1,0,0,2,0,7,0
276,3,1,1,2,7,1,4,0
303,5,1,1,0,7,0,12,0
177,2,1,0,0,1,0,8,0
83,16,1,1,2,8,0,12,0
94,3,1,0,0,10,0,11,0
241,10,0,0,1,12,0,5,0
501,10,1,1,0,3,0,6,0
28,6,1,0,1,8,1,9,0
335,4,0,0,0,6,0,5,0
181,20,0,0,2,5,0,6,0
366,4,0,0,0,3,1,2,0
153,16,1,1,1,0,0,6,0
228,19,1,0,2,8,0,6,0
106,22,0,0,2,10,0,5,0
23,18,0,1,0,7,0,11,1
177,18,0,1,2,5,0,3,0
131,3,1,0,0,1,0,8,1
355,11,0,0,1,0,1,1,0
183,4,0,0,0,1,1,2,0
28,23,1,0,0,10,0,6,0
54,13,1,0,0,3,0,9,0
202,7,0,1,1,7,0,6,1
174,16,1,0,0,8,0,12,1
209,6,0,0,0,5,0,5,0
255,17,1,0,0,9,0,9,0
174,12,0,0,2,5,0,7,0
221,3,0,0,1,2,0,7,0
508,13,1,0,0,8,1,8,0
301,12,0,0,2,3,0,9,0
107,6,0,1,1,3,0,7,0
258,8,1,0,0,2,0,3,0
328,7,0,0,0,0,0,5,0
182,6,1,0,0,3,0,4,0
204,5,1,1,1,1,0,3,0
24,16,0,1,2,9,0,10,0
159,13,0,0,0,7,0,12,0
37,19,1,0,0,11,0,12,0
74,10,0,1,0,4,0,5,0
137,4,0,1,0,2,0,5,0
318,4,0,0,1,7,0,8,0
292,6,0,0,1,7,0,10,0
309,16,1,0,0,5,0,6,0
79,5,0,1,2,0,0,4,0
566,4,0,0,0,7,1,6,0
124,8,1,0,2,7,1,6,0
237,9,0,1,0,3,0,8,0
164,5,0,0,1,4,0,7,0
376,8,0,1,0,3,0,4,0
155,9,0,1,0,10,0,12,0
80,9,1,0,2,8,0,10,0
322,7,0,0,0,10,0,11,0
226,4,1,0,2,5,0,10,0
307,8,1,1,1,6,0,8,0
290,18,0,1,2,4,0,5,0
84,7,0,0,2,2,1,4,1
206,2,0,0,0,5,0,7,0
348,10,1,0,1,3,0,3,0
249,7,0,0,2,5,1,3,0
399,6,0,0,0,4,0,3,1
296,13,1,0,2,2,0,3,0
237,8,0,0,1,6,0,6,1
140,4,0,0,1,2,0,9,0
213,11,0,0,0,0,0,3,0
152,4,1,1,1,6,0,6,0
108,5,1,1,0,3,0,10,0
200,8,0,1,2,7,0,12,0
336,13,0,0,0,6,0,5,0
318,9,0,0,0,5,0,8,0
274,15,1,0,2,1,0,7,0
35,2,0,1,1,5,0,2,1
217,9,1,1,2,9,0,11,0
407,8,0,0,0,2,0,7,0
21,14,0,0,1,2,0,5,0
108,4,0,0,1,9,0,6,0
110,1,1,1,1,0,0,2,0
539,5,0,1,0,1,0,10,0
73,10,1,0,0,9,0,11,0
238,9,0,0,2,1,0,8,0
49,1,1,0,0,8,1,2,0
48,15,1,1,2,6,0,6,0
208,2,1,0,0,1,0,10,0
659,7,0,0,2,13,0,12,0
206,2,0,0,1,6,1,5,0
55,3,0,0,1,2,0,3,0
53,19,0,0,0,9,0,4,0
248,3,0,0,2,4,0,10,0
120,11,0,0,0,1,0,5,0
90,5,0,1,1,4,0,7,1
207,16,1,1,0,2,0,5,0
182,1,0,0,1,4,0,7,1
171,13,1,0,2,5,0,8,0
229,7,1,0,0,8,0,12,0
200,9,0,0,1,1,0,3,0
156,11,0,1,0,1,0,5,0
205,11,1,0,2,1,0,6,1
20,6,0,0,2,1,0,8,0
221,9,1,0,0,5,0,7,0
245,9,1,1,0,5,0,5,0
183,7,1,1,1,5,0,7,0
277,3,0,0,0,2,0,7,0
158,9,0,1,0,7,0,10,1
124,1,0,0,0,1,1,6,0
311,5,1,1,0,3,0,11,0
76,4,1,1,0,2,0,2,0
236,1,0,0,0,1,0,11,1
325,7,0,1,0,2,0,5,0
63,9,1,1,1,4,0,2,0
241,7,0,0,1,10,0,10,0
99,4,1,0,0,6,0,9,0
163,17,1,1,1,6,0,6,0
203,7,1,0,2,7,0,2,0
176,14,1,1,0,10,1,12,0
29,7,0,1,2,2,0,6,0
310,7,0,0,1,7,0,4,0
117,7,0,1,0,14,0,10,0
195,4,1,1,0,7,0,12,0
212,3,0,0,0,1,0,4,0
69,7,1,0,1,1,0,10,0
42,4,0,0,0,2,0,7,0
96,11,1,1,2,2,0,5,0
259,3,1,1,1,6,0,7,0
123,9,0,0,0,2,0,5,0
185,10,1,0,0,2,0,7,0
315,2,0,0,0,3,1,11,0
325,15,1,0,0,9,0,7,0
142,8,0,0,0,5,0,4,0
151,8,0,0,1,7,0,6,0
294,10,1,0,1,4,0,9,0
336,19,1,0,0,6,0,9,0
131,2,1,0,1,9,0,8,0
108,9,1,0,0,6,0,9,0
67,18,1,1,0,5,0,9,1
149,11,1,0,1,8,0,9,0
31,10,1,1,0,10,0,12,0
504,14,1,1,2,8,0,9,0
74,6,1,0,2,7,0,11,0
415,16,1,0,1,12,0,11,0
147,3,1,0,0,1,0,4,0
156,5,1,0,0,0,0,6,0
50,4,0,0,0,8,0,4,0
59,10,1,1,1,3,0,11,0
152,2,1,0,2,3,1,4,0
263,7,1,1,1,4,0,4,0
77,8,0,1,1,2,0,5,0
195,9,1,0,1,2,0,8,0
81,4,1,0,2,2,0,7,0
102,16,0,0,0,9,0,12,0
192,6,1,1,2,2,0,7,0
100,14,0,0,1,3,0,6,0
96,8,1,0,0,3,0,9,0
148,13,1,0,2,9,0,6,0
302,4,1,0,2,8,0,12,0
143,3,1,0,1,4,1,7,0
440,7,1,0,2,5,0,4,0
202,4,0,0,0,3,0,12,0
95,6,1,1,0,7,0,8,0
292,7,1,1,0,10,0,10,0
253,8,0,0,0,0,0,2,0
453,4,0,0,0,8,1,8,0
105,5,1,1,0,1,0,1,0
213,5,0,1,1,2,1,5,0
65,9,0,1,0,2,0,7,0
187,3,0,0,0,0,0,2,1
284,7,1,1,0,6,0,8,0
207,6,0,1,0,5,0,5,0
33,16,0,1,0,3,0,4,0
219,6,0,0,0,2,0,8,0
227,8,0,0,0,4,1,4,0
203,11,1,0,0,2,0,4,0
424,3,1,1,0,3,0,3,1
152,4,0,0,2,1,0,4,1
245,12,0,0,0,10,0,10,0
130,13,1,1,1,5,0,9,0
188,6,1,1,0,2,0,2,1
73,6,0,1,0,3,0,5,0
56,9,1,0,0,8,0,9,0
419,4,1,0,2,6,0,7,0
367,7,0,1,0,0,0,6,0
120,4,0,1,1,11,0,8,0
102,9,1,1,1,9,0,10,0
70,6,0,0,0,0,0,6,0
161,3,1,1,2,2,0,5,0
187,4,0,0,0,7,0,12,0
12,11,1,0,0,3,0,6,0
196,9,0,1,0,3,0,8,0
35,8,0,1,0,1,0,6,0
271,14,1,1,0,8,0,9,0
175,3,1,1,1,0,0,12,0
51,7,0,1,0,7,0,7,0
200,3,1,0,1,4,0,8,0
225,9,0,0,0,5,1,3,0
146,6,0,0,2,10,1,8,0
131,13,1,1,0,11,0,12,0
22,6,0,1,1,8,0,12,0
362,24,1,0,1,5,0,3,0
47,5,0,0,0,2,0,8,0
138,9,1,1,0,1,1,4,0
181,12,0,1,0,0,0,8,0
29,1,1,0,0,5,0,4,0
294,10,0,0,0,4,1,11,0
32,2,1,1,1,1,0,12,0
232,2,1,0,0,3,0,7,0
184,16,0,0,0,8,0,8,1
245,6,0,0,0,8,0,5,0
61,8,0,0,2,2,0,8,0
31,7,1,0,0,3,0,6,0
237,2,1,0,0,2,0,6,0
51,12,0,1,0,14,0,12,0
542,7,1,0,0,3,0,4,0
47,12,1,0,1,11,0,11,0
280,20,0,1,1,11,0,12,0
270,3,0,0,1,5,0,4,0
77,7,1,0,1,3,0,7,0
299,10,0,1,2,3,0,4,1
358,8,0,0,0,3,0,6,0
505,13,1,0,0,4,0,6,0
123,14,1,1,0,1,0,3,0
36,4,1,0,0,5,0,5,0
197,10,0,0,0,5,0,9,0
185,5,1,1,0,9,0,12,0
46,6,0,1,0,0,0,3,1
335,18,0,1,0,1,0,5,0
256,12,0,0,2,6,1,4,0
258,15,1,1,2,6,0,7,0
95,12,1,0,0,3,0,9,0
162,26,1,0,2,14,0,12,0
113,6,1,0,2,5,0,10,0
193,7,0,0,2,9,0,5,0
26,1,0,1,0,5,1,8,0
175,3,1,0,1,1,0,5,0
99,10,0,1,0,2,0,9,1
154,6,0,1,1,7,0,12,0
300,9,1,0,1,2,1,6,0
107,9,0,1,1,4,0,8,0
289,9,0,0,0,3,0,10,0
45,9,1,1,2,4,0,7,1
311,4,1,1,0,7,0,9,0
35,12,1,0,0,5,1,3,0
117,3,0,0,0,2,0,3,0
28,2,1,0,2,8,0,8,0
569,16,0,0,2,6,0,6,0
26,9,1,0,1,3,0,5,0
324,6,0,1,0,2,1,5,0
489,10,1,0,0,9,0,11,0
259,6,1,0,0,4,0,12,0
256,3,1,0,0,3,0,9,0
123,7,0,0,0,11,0,12,0
124,5,1,1,0,1,0,5,0
279,4,0,0,0,4,0,3,0
413,4,0,1,2,6,0,6,0
535,8,1,0,1,7,1,2,0
54,5,0,0,1,4,0,11,0
231,9,0,0,0,10,0,5,0
66,9,1,1,0,2,0,6,0
120,5,1,1,0,3,0,1,0
145,3,1,1,0,3,0,10,0
96,8,1,0,1,6,0,5,0
221,11,1,0,0,0,0,7,0
255,7,0,1,2,2,0,8,0
139,7,1,0,2,8,0,4,0
123,2,0,0,0,2,0,5,1
37,11,0,1,0,4,0,7,0
154,8,0,0,2,1,0,9,0
156,8,1,1,1,6,0,3,0
110,18,0,1,1,7,1,5,0
201,19,1,1,1,10,0,9,0
127,13,0,0,0,4,0,4,0
134,11,1,0,0,7,0,9,1
65,3,1,1,0,7,0,9,1
519,11,1,1,0,7,0,10,0
264,13,0,0,0,4,1,3,0
93,13,1,1,0,6,0,8,0
114,7,0,0,2,5,0,4,1
236,3,1,1,1,5,1,10,0
247,16,0,0,0,1,0,8,0
141,4,0,0,0,4,0,3,0
466,6,1,0,1,2,0,10,0
191,3,0,1,0,9,0,7,1
166,22,1,1,1,6,0,5,0
498,16,1,1,2,6,0,8,0
190,10,1,1,0,11,0,12,0
180,2,0,0,0,5,1,7,0
265,12,1,1,1,1,1,12,0
147,9,0,0,0,1,0,5,0
288,5,0,1,0,5,0,9,0
230,3,0,0,0,1,0,8,0
349,4,0,0,2,3,0,4,0
129,6,0,1,0,4,0,4,0
70,21,0,1,2,1,1,5,0
181,1,0,1,0,4,0,6,0
166,3,1,1,0,1,0,3,0
107,4,1,1,1,2,0,3,0
73,13,0,0,0,7,0,5,0
273,5,0,0,0,3,0,5,0
10,11,0,1,0,7,1,5,0
161,6,0,1,0,0,0,8,0
22,5,1,1,0,3,0,12,1
202,2,0,0,1,2,0,7,0
118,12,0,1,1,0,1,3,0
219,11,0,1,2,8,0,10,0
579,17,0,1,1,4,0,10,0
295,15,1,0,1,2,0,11,0
74,7,0,1,1,1,0,8,0
206,8,1,0,2,3,1,8,0
144,3,1,0,0,2,0,4,0
46,1,1,0,0,2,0,5,0
163,9,1,1,1,2,0,9,1
158,12,0,1,0,8,0,12,0
191,11,1,1,2,1,0,9,1
151,9,1,0,0,6,1,5,0
230,6,1,0,0,3,0,7,0
231,7,0,0,1,1,0,8,0
274,1,1,1,0,7,0,11,0
116,4,1,0,2,6,0,8,0
140,13,0,0,2,1,0,6,0
116,3,1,1,1,4,0,8,0
218,12,0,0,0,3,0,4,0
285,8,0,1,0,1,0,5,0
289,10,1,0,0,4,0,9,0
163,2,0,1,2,3,0,7,0
182,13,1,1,0,11,0,5,0
128,14,1,0,0,2,0,11,0
310,10,0,1,0,1,0,3,0
252,12,0,1,0,9,0,12,1
33,18,1,0,2,12,0,12,0
21,12,1,1,0,4,0,4,0
78,7,0,1,0,5,1,9,0
190,5,0,0,1,4,0,10,0
97,7,1,0,2,3,0,11,0
101,18,0,0,2,7,0,7,0
342,3,0,0,1,8,0,7,0
95,6,1,1,0,3,0,10,0
10,6,1,1,0,5,0,11,0
185,11,0,0,2,11,1,5,1
365,8,1,1,2,2,0,5,0
178,15,0,0,1,3,0,3,0
33,10,1,0,1,8,0,12,1
69,2,1,0,2,0,0,7,0
199,10,0,0,0,4,0,7,1
509,10,1,1,0,0,0,7,0
172,11,0,1,1,13,0,12,0
157,10,1,0,2,7,0,4,0
145,3,0,0,1,2,0,8,1
251,13,0,0,2,7,0,8,0
79,4,0,0,0,6,0,6,0
89,7,1,0,0,1,0,12,0
48,18,1,0,0,4,0,7,0
389,10,0,1,2,4,0,3,0
310,5,1,1,0,1,0,4,0
107,6,1,1,0,2,0,6,0
269,3,1,0,2,0,0,7,0
214,9,1,0,0,5,0,3,0
48,5,0,1,2,4,0,9,0
82,8,0,0,0,8,1,11,1
217,14,1,0,0,7,0,4,0
194,8,1,0,1,6,0,6,0
140,4,0,1,2,2,0,7,1
48,12,0,0,0,12,1,5,0
27,13,1,0,2,8,0,5,0
178,4,0,0,0,4,0,5,0
109,12,1,0,0,4,0,8,0
187,4,1,0,0,15,0,5,1
148,11,0,0,2,3,0,11,0
71,15,0,1,0,0,0,7,0
222,20,1,1,0,0,0,9,0
28,4,1,0,2,8,0,6,0
240,5,1,1,0,6,0,6,0
207,5,1,1,0,4,0,8,0
145,5,0,1,0,5,0,6,1
576,5,1,1,1,2,0,8,0
164,9,0,0,0,1,0,4,0
285,10,0,0,2,8,1,6,0
217,3,0,1,0,8,0,5,0
75,4,1,0,0,4,0,9,1
140,7,0,0,2,2,0,8,0
53,8,1,1,0,2,0,9,0
106,5,1,1,2,5,0,5,0
408,7,1,1,0,9,0,5,0
72,8,1,1,0,14,0,6,0
101,2,0,1,0,7,0,10,1
115,3,1,0,0,2,0,10,0
400,2,1,0,0,3,1,7,0
337,3,0,1,0,1,0,7,0
40,10,1,0,0,7,0,9,1
155,7,0,1,0,5,0,5,0
65,2,0,0,0,1,0,6,0
71,8,1,1,0,5,0,12,1
76,3,0,0,0,7,0,5,0
159,6,1,1,0,3,0,4,0
76,5,1,0,1,7,0,11,0
114,13,1,0,1,1,0,5,0
290,2,1,0,1,11,0,7,0
112,12,1,0,0,7,0,9,0
320,18,0,0,0,5,0,7,0
248,3,0,0,0,3,0,8,1
228,11,0,1,2,1,0,7,0
205,2,0,0,0,1,0,8,0
56,9,0,1,0,6,0,7,0
65,6,0,0,0,6,0,7,0
267,5,1,0,2,7,0,1,0
251,7,0,1,1,4,0,7,0
83,8,0,1,0,2,1,11,0
277,7,0,0,0,3,1,3,0
55,8,0,0,2,10,0,6,0
236,9,1,1,0,14,0,12,0
267,6,0,1,0,4,0,2,0
52,7,0,1,1,3,0,10,1
260,10,1,0,0,1,0,3,0
194,12,1,0,0,9,0,7,0
192,6,0,1,0,3,0,6,0
385,5,0,0,2,7,0,8,0
299,18,1,1,0,9,0,12,0
110,11,0,1,2,3,0,6,0
143,3,0,0,1,1,0,10,0
112,4,0,1,2,3,0,6,1
133,10,1,1,2,0,0,3,0
285,5,0,1,0,10,0,12,0
172,2,1,0,0,5,0,3,0
172,21,0,0,1,3,0,6,0
78,5,1,0,1,5,0,8,0
185,2,0,1,0,5,0,7,0
187,11,1,1,2,1,0,10,0
103,4,1,0,0,3,0,5,1
342,8,1,1,0,4,0,8,1
190,24,1,0,1,9,0,10,1
502,17,0,0,0,2,0,6,0
364,21,0,1,0,6,0,7,0
914,5,1,0,2,11,0,12,0
12,3,1,0,1,9,0,10,0
102,18,1,0,2,8,0,12,0
293,1,0,0,1,7,0,6,0
108,10,1,0,1,7,1,7,0
143,17,0,1,1,4,0,2,1
150,3,0,1,0,2,0,8,0
116,8,0,1,0,5,0,9,1
396,7,1,1,0,7,0,12,0
64,9,0,1,2,2,0,4,0
30,5,1,0,0,4,0,4,0
223,9,0,1,0,3,0,10,0
78,11,1,0,1,7,0,9,0
460,7,0,1,0,6,0,12,0
148,2,1,0,0,5,0,4,1
67,4,1,0,0,10,0,4,1
356,2,0,0,2,2,0,10,0
82,6,1,0,0,1,0,6,0
150,5,0,0,0,2,0,11,0
199,16,0,1,0,8,0,6,0
264,10,0,0,0,8,0,6,0
406,1,1,1,0,6,0,10,0
103,1,1,0,2,8,0,8,1
141,10,0,1,0,7,0,8,0
115,5,0,1,0,0,0,7,1
237,10,1,0,2,8,0,10,1
93,3,1,0,1,3,0,5,0
344,7,0,1,0,3,0,10,0
192,3,0,0,0,4,0,10,0
45,18,0,1,2,7,0,6,0
34,2,1,0,0,4,0,4,0
66,4,1,1,1,1,0,6,0
261,13,1,0,0,1,0,6,1
45,5,0,0,0,5,0,7,0
196,10,1,0,1,7,0,9,0
394,16,0,1,0,11,0,4,0
108,6,0,0,0,1,0,10,1
183,14,0,0,2,6,0,6,0
157,9,1,0,0,5,0,11,0
326,3,1,0,0,1,0,5,0
279,9,1,0,1,3,0,2,0
149,13,1,1,1,12,1,12,0
281,8,0,0,0,6,0,12,0
407,4,1,0,1,8,0,8,0
10,10,1,1,0,4,0,10,0
217,10,1,1,1,7,0,12,0
114,9,1,0,2,3,0,9,0
504,10,0,0,2,6,0,6,1
334,20,0,0,1,12,0,12,0
131,7,1,0,0,6,0,12,0
107,6,0,0,0,3,0,7,0
212,10,0,0,0,3,0,4,0
206,4,1,0,0,4,0,3,0
198,23,1,0,0,9,0,4,0
138,5,1,0,2,5,0,10,0
120,3,1,1,2,3,0,8,1
44,10,1,0,0,2,0,9,0
49,13,1,1,1,4,0,10,0
100,10,1,0,1,5,0,3,0
108,19,0,1,0,2,0,4,1
221,4,0,1,0,3,1,7,0
86,9,0,0,0,1,0,5,1
175,1,1,0,0,4,0,4,0
33,8,1,1,1,4,0,5,0
146,7,0,0,2,3,0,8,0
82,2,0,1,0,0,0,6,0
224,10,1,1,1,2,0,7,0
332,12,0,0,0,4,0,4,0
33,5,0,0,2,1,0,12,0
255,17,0,0,2,3,0,4,0
282,11,0,0,0,2,0,2,0
219,5,1,0,2,4,0,8,0
92,1,1,1,0,6,0,8,0
60,7,1,1,0,4,0,3,1
395,5,1,0,1,1,0,3,0
54,7,1,0,0,3,0,5,0
485,5,0,0,0,5,0,6,0
321,12,0,0,1,4,0,4,0
247,1,1,0,0,3,0,7,0
184,5,0,0,0,0,0,8,0
91,1,1,0,0,7,0,12,0
11,20,0,1,0,15,0,12,0
135,5,1,1,0,3,1,5,1
265,13,1,0,0,2,0,1,0
194,3,1,1,2,1,0,3,0
405,8,0,0,2,3,1,7,0
33,8,0,1,0,6,0,5,0
257,8,0,0,0,0,0,5,0
494,6,1,0,1,3,0,10,0
408,4,0,0,2,3,1,3,0
239,12,1,0,0,6,0,4,0
214,5,1,1,2,7,0,12,0
232,10,1,1,0,4,0,7,0
23,10,0,0,2,5,0,4,0
216,8,0,0,0,7,0,7,0
215,5,0,1,2,2,0,10,0
190,10,0,1,0,11,0,12,0
84,19,0,1,2,8,0,11,0
264,8,0,0,0,3,0,5,0
299,13,0,0,0,1,0,4,0
383,11,0,1,2,7,0,6,0
189,10,0,0,1,3,0,4,0
564,13,0,1,1,1,0,7,0
83,8,1,1,0,3,1,7,0
178,6,1,1,1,9,0,12,0
67,3,0,1,2,4,0,4,0
47,17,1,1,0,9,0,7,0
83,10,0,0,1,6,0,8,0
98,9,0,1,2,4,0,12,0
281,14,0,1,1,9,0,6,0
141,7,1,1,2,3,0,8,0
229,9,0,1,2,9,0,7,1
98,3,0,1,1,1,0,7,1
98,14,0,0,1,11,0,12,1
416,6,1,0,2,1,0,5,0
318,3,0,0,2,7,0,9,0
101,6,0,1,2,8,0,11,0
135,15,0,1,0,9,0,7,0
81,22,1,1,0,4,1,7,0
381,11,0,0,1,4,0,5,1
653,8,0,1,1,2,0,6,1
199,8,0,1,0,4,0,8,0
231,7,0,1,0,8,0,10,0
193,4,1,1,0,7,0,7,0
