brand,mileage_km,load_weight,route_type,driver_exp,terrain,speed_avg,temp_outside,fuel_consumption_l_100km
2,12090,5.7,2,27,2,54.5,-4,36.0
1,24050,10.7,1,5,1,81.3,-15,32.0
2,18676,3.6,2,27,2,73.2,17,34.0
0,21376,4.3,0,9,1,58.2,1,32.9
1,14473,5.0,1,7,0,63.9,18,27.0
2,15578,18.8,2,13,2,80.7,5,38.1
0,22449,22.1,1,16,2,92.9,-18,41.4
0,8840,9.6,1,20,1,48.7,21,33.3
1,24645,15.1,0,28,0,77.3,32,31.8
1,24157,6.1,1,17,2,75.1,39,31.6
1,19156,10.0,0,8,1,53.1,34,33.5
0,5614,17.2,0,12,1,65.6,33,33.3
2,23151,17.4,0,13,2,49.0,36,37.0
2,22221,19.0,0,15,2,50.7,-20,38.1
0,17959,8.7,1,25,1,77.3,-10,35.1
1,8106,12.5,0,1,0,63.2,-3,29.2
1,24841,13.9,0,23,1,58.8,14,31.6
0,22901,14.5,0,5,0,68.5,-24,36.2
1,19358,3.6,2,26,1,45.8,21,29.3
2,12131,21.2,0,17,2,67.5,36,37.5
0,12003,19.0,1,3,1,83.7,-9,38.0
3,22481,17.2,0,19,0,46.9,31,30.9
1,16541,13.5,2,7,0,71.3,34,31.5
1,17642,7.2,1,15,1,55.5,-4,29.1
2,11823,3.7,0,19,0,62.2,0,34.4
0,7424,19.5,0,1,1,58.3,35,37.2
1,18802,16.7,0,10,1,61.4,9,34.3
3,9859,15.5,0,23,2,84.5,22,32.1
3,5650,4.1,2,20,1,69.7,0,31.5
0,11583,7.0,1,4,0,89.6,-23,31.8
1,14631,9.2,0,14,0,66.2,32,28.8
1,14647,13.3,0,26,1,68.0,25,35.0
2,19865,10.0,1,12,1,46.4,19,41.8
1,6456,19.9,1,26,0,40.6,-1,30.7
1,6993,13.1,1,9,0,81.8,10,30.8
3,14567,3.4,2,15,0,70.5,9,26.3
0,11879,6.3,2,5,0,59.1,-8,31.0
1,16842,13.2,2,22,0,66.0,37,29.2
1,19714,19.9,0,2,0,78.0,-17,33.0
2,24225,23.6,1,24,2,91.4,24,39.9
3,18509,9.2,0,17,1,60.0,-20,35.5
1,24989,18.4,1,20,0,67.5,26,31.0
3,12206,6.5,2,15,0,81.6,4,30.3
3,13601,7.6,2,28,2,95.0,29,25.2
1,10407,8.3,1,1,1,40.3,-4,30.7
3,12184,10.9,2,22,2,81.9,33,26.9
3,22259,12.7,2,22,1,51.0,22,29.4
3,19673,3.5,1,19,2,82.4,38,28.2
1,5668,22.4,2,26,2,68.1,34,37.7
1,12310,5.3,0,25,0,41.9,22,25.8
1,23105,17.4,1,2,1,71.8,-1,31.0
1,14392,14.0,2,2,0,51.9,-2,30.4
0,21312,15.6,0,19,0,68.5,19,34.3
3,21547,9.8,1,22,0,72.9,7,30.6
1,6728,16.3,0,19,1,52.9,-19,32.4
0,22508,19.8,1,1,1,92.2,-21,39.7
3,21684,20.6,2,17,1,92.2,-4,33.6
2,5112,15.6,0,8,1,47.4,28,36.2
2,11612,8.3,2,13,0,62.6,-23,36.5
3,20859,3.4,0,2,1,79.5,33,30.9
2,15636,22.8,2,26,0,66.5,-25,44.3
3,17436,15.7,2,13,2,61.9,15,33.9
1,12698,16.7,2,21,2,90.6,13,37.2
2,14351,13.9,2,27,1,67.4,10,39.9
3,14939,3.5,1,16,1,77.2,13,27.5
2,15906,13.3,0,26,2,73.0,-8,37.6
1,11441,10.6,0,4,1,88.0,1,33.5
2,23339,2.6,2,29,0,88.1,6,38.5
1,22814,4.0,1,19,2,94.0,13,31.7
1,22286,19.6,0,30,2,76.8,-10,34.9
3,15056,4.3,2,28,1,88.6,27,26.5
3,8383,3.8,1,19,2,77.0,23,29.6
3,21582,15.1,0,25,0,69.6,34,29.2
2,17596,16.8,2,17,2,65.2,4,41.1
2,19649,22.4,1,15,2,74.5,5,40.5
3,11510,8.8,1,12,0,91.0,13,29.3
0,16781,23.4,0,11,2,45.5,-17,39.2
3,13027,2.2,2,12,2,79.0,-6,29.9
0,7543,22.5,0,22,0,68.4,38,41.2
2,12960,3.9,1,16,0,69.2,19,32.3
0,7245,5.1,1,17,0,91.0,8,28.6
0,14155,12.5,2,17,0,40.1,37,31.2
3,13243,19.5,1,4,0,66.9,5,33.4
2,8054,15.7,0,1,2,90.7,-13,37.3
2,18691,11.6,0,13,0,71.1,30,37.0
3,16831,17.8,0,5,0,90.8,13,34.3
3,14490,21.6,2,6,0,67.3,7,36.1
2,18526,3.3,1,2,1,65.4,-20,38.2
3,14315,6.2,2,9,0,55.4,-3,30.0
1,14282,7.8,2,11,0,85.3,8,29.4
3,16592,19.4,0,28,0,53.7,2,30.0
2,19275,19.8,0,23,1,63.1,21,39.6
0,7674,4.6,2,16,1,50.3,-7,28.1
3,20308,6.6,0,15,0,92.1,-22,30.4
0,11582,7.2,1,15,0,71.3,21,30.1
3,19088,18.9,2,27,1,94.1,-25,36.3
3,23080,12.3,2,28,0,45.2,-15,28.5
3,19206,10.0,1,18,0,45.6,3,28.7
0,20989,13.2,2,25,1,93.2,19,31.4
0,8481,5.5,2,18,1,87.2,6,27.1
1,13129,4.1,1,25,1,55.7,-19,27.1
2,19205,5.8,0,7,1,95.0,-4,36.5
1,5586,3.4,0,20,2,67.6,15,31.9
0,18348,17.8,1,17,1,93.6,-4,35.1
0,21060,20.8,2,5,1,80.1,-24,41.3
3,9697,9.9,0,4,0,76.1,20,30.1
2,8750,4.0,2,1,0,51.4,27,35.5
3,20488,21.9,0,23,2,69.8,38,30.0
1,6349,14.3,1,18,1,77.7,-1,32.5
1,11638,19.1,0,26,0,92.4,6,34.5
0,16306,2.8,0,24,2,51.2,-6,33.7
1,10607,18.3,1,22,0,64.5,-13,32.3
1,10465,3.4,2,25,2,44.8,-21,29.6
3,12164,13.0,2,25,2,93.0,33,30.1
1,14913,9.4,2,29,0,49.0,-8,29.6
1,14773,17.1,0,8,0,89.7,-22,29.6
1,21004,3.0,2,18,2,81.7,17,31.8
2,10366,22.7,2,13,2,84.3,38,38.8
3,13927,18.9,1,17,1,64.7,34,29.3
0,20597,8.3,1,9,1,80.4,-24,35.7
2,18405,14.0,2,12,2,44.6,-24,40.5
0,11180,14.9,1,7,1,46.3,-19,36.5
0,24884,2.9,2,12,0,78.5,-13,26.1
1,18035,10.6,2,23,0,55.3,14,29.6
0,11027,18.9,1,23,0,41.1,-13,37.8
3,10199,20.0,0,8,2,47.4,34,33.5
1,24193,2.3,1,20,1,87.9,40,31.1
0,18776,8.9,2,29,0,92.9,-5,30.8
3,15618,2.6,1,1,1,56.6,2,30.3
2,14354,3.8,2,13,0,41.9,29,32.4
2,23143,2.9,1,8,1,82.8,11,36.2
0,23740,12.2,2,13,0,52.6,3,33.5
2,11393,3.4,1,19,1,52.6,-14,33.4
1,5055,15.6,1,13,0,80.5,-1,33.8
2,10210,2.2,1,20,0,46.0,39,38.0
3,24164,16.2,1,11,2,90.8,37,31.3
2,24918,6.4,2,11,0,48.5,11,34.9
2,9700,14.1,1,3,0,40.3,29,37.8
3,24830,9.7,1,19,2,46.9,-10,32.8
2,21684,17.4,0,6,2,76.3,23,38.9
0,18473,3.3,1,26,0,85.4,9,30.0
1,14788,21.6,2,19,0,71.5,38,33.9
3,13845,2.9,0,20,0,65.8,-25,32.4
2,15975,13.2,1,20,0,78.2,-25,38.4
3,7941,19.7,2,20,1,50.6,2,32.6
0,9904,2.9,1,16,1,54.2,-15,30.6
3,6526,9.2,2,22,0,61.8,11,27.7
3,15058,23.4,0,2,2,83.8,-8,36.5
0,24339,14.0,2,11,1,93.6,-2,33.1
1,13525,20.1,0,3,1,45.5,-21,32.7
2,12811,12.1,2,12,0,88.0,-3,36.2
3,22895,15.9,1,12,0,74.2,-23,35.6
0,21183,19.2,2,17,0,62.5,20,36.6
1,13067,14.5,2,4,1,82.5,-17,31.5
3,10762,9.0,1,18,1,80.6,35,26.5
2,20714,6.3,1,15,1,45.7,21,34.8
3,14810,17.7,0,29,2,76.7,18,30.6
3,23793,15.5,1,9,0,64.0,-17,36.4
2,17268,12.6,1,16,1,52.2,21,36.0
2,9817,2.0,2,18,2,71.6,38,32.2
0,20701,4.6,2,20,2,83.6,7,30.0
0,24257,19.5,1,9,2,68.5,40,39.0
0,11697,19.9,1,6,0,72.2,29,39.5
2,16682,18.2,2,21,1,81.4,-23,38.7
3,7691,17.4,2,17,2,87.5,34,28.6
2,11094,21.0,1,19,2,45.0,5,37.8
2,7162,11.3,1,26,1,87.1,5,36.2
0,22467,19.0,0,11,1,51.0,18,36.5
3,24586,5.2,0,30,1,69.3,17,27.5
0,18339,20.1,2,27,0,75.3,32,36.5
2,9631,21.2,0,30,0,55.2,7,31.3
1,12834,2.8,0,26,0,46.7,-16,25.6
3,17363,18.4,0,6,2,90.7,9,35.2
3,20019,19.4,1,7,0,77.2,34,30.9
1,20049,11.1,0,17,2,79.7,13,33.9
0,8595,7.4,1,10,2,48.0,39,32.8
0,12107,18.4,2,1,1,54.8,39,39.5
1,22290,16.9,2,11,1,89.0,6,33.4
3,11158,16.7,1,14,0,71.9,4,32.0
2,14827,16.2,1,18,1,41.1,37,40.1
0,20762,14.1,2,30,2,43.3,17,39.8
2,13632,9.8,2,22,2,47.6,15,38.5
3,24059,8.8,1,15,2,83.8,-1,31.2
1,5815,9.7,1,9,2,89.2,11,34.4
0,23224,3.2,0,20,0,84.4,40,27.8
0,24732,2.4,2,21,0,88.4,28,32.7
2,13575,11.3,1,26,0,82.5,40,34.0
2,19290,7.7,1,20,1,55.6,29,38.9
1,10171,20.8,2,6,1,81.4,2,35.8
3,9960,12.1,0,24,1,68.4,-12,34.8
2,23775,14.0,0,13,2,50.3,11,41.0
2,10135,16.5,1,23,1,78.8,-21,36.1
3,8084,19.0,2,5,1,85.6,39,32.1
1,17859,17.9,2,10,2,87.1,-25,35.9
1,19108,9.2,0,27,1,48.9,-7,32.7
2,21006,4.8,1,20,1,44.3,-25,34.9
3,20642,15.5,0,8,0,63.5,26,31.2
0,17369,8.1,2,15,1,40.4,15,33.9
2,10940,18.1,0,21,0,74.6,-5,35.6
1,18479,13.6,0,4,1,45.7,-3,30.2
3,21762,20.1,2,30,2,78.7,-2,35.9
1,23533,2.8,2,16,2,70.7,32,29.7
1,18125,13.3,0,29,0,68.3,30,29.7
2,19145,14.1,1,28,1,68.6,26,35.7
2,6708,17.5,2,21,1,88.6,9,37.4
0,20678,11.2,2,26,0,56.4,8,33.7
1,15036,15.3,0,11,1,73.4,39,31.0
1,22585,3.5,1,19,0,53.1,-12,29.0
0,7346,20.7,2,14,0,56.7,9,35.7
1,7749,11.4,2,2,0,88.7,-3,30.5
1,14661,19.9,2,13,0,72.8,-4,33.0
3,22441,16.9,2,13,1,62.0,-16,36.5
0,8997,20.7,2,26,2,41.2,19,36.4
1,21034,8.8,1,30,1,47.1,21,31.2
1,20007,21.5,0,13,2,65.2,34,37.5
1,21796,12.8,2,1,0,73.8,-6,30.7
3,21221,9.2,0,6,1,91.1,0,32.8
3,17188,17.8,0,7,0,76.8,0,33.7
2,16802,22.9,2,25,1,48.6,8,35.8
2,9373,8.4,0,11,0,77.4,22,33.4
3,14066,21.5,1,13,1,78.1,-8,35.0
1,13152,5.6,2,8,0,80.9,6,29.3
1,20855,4.9,2,17,0,62.9,-5,28.7
0,9060,8.3,1,19,0,70.7,11,31.2
1,24743,3.6,0,14,2,91.8,-19,32.0
0,10125,14.1,2,11,0,92.3,-15,34.5
0,15084,3.0,0,9,0,73.7,3,33.7
2,6108,11.5,2,18,0,56.2,16,38.7
3,24250,22.4,2,24,2,77.7,30,30.1
0,15899,20.3,1,28,0,74.4,-25,39.2
3,10639,7.1,1,28,2,58.4,27,31.6
0,23425,5.3,2,26,2,55.1,18,35.3
1,18324,17.8,2,11,0,41.7,31,28.3
0,19284,6.2,0,6,0,43.3,-20,32.6
2,18290,7.4,1,12,2,42.0,30,39.1
1,23669,8.1,1,18,1,79.4,-9,30.7
3,20118,16.6,0,15,0,59.8,14,34.5
0,23156,7.7,2,4,2,63.5,-20,30.5
3,13903,14.2,2,9,1,76.8,32,32.1
3,12864,5.9,1,28,2,88.6,13,31.1
2,22300,20.8,2,23,0,68.2,0,42.1
3,13746,6.7,0,19,2,64.7,27,28.1
1,11190,14.1,2,16,1,41.1,40,32.0
0,8320,2.7,0,23,2,40.6,-8,31.3
1,22851,8.1,0,27,1,79.4,-20,31.1
1,8557,18.1,1,2,1,67.1,22,32.6
3,5288,18.4,2,30,0,59.6,5,29.4
3,12867,22.0,2,18,1,48.7,-12,33.7
0,11009,2.7,1,29,0,54.0,23,30.6
3,6506,9.1,2,8,2,47.9,14,32.5
1,18999,13.6,0,15,0,84.1,-4,30.3
0,23184,16.0,2,20,2,62.8,4,39.6
2,25000,6.9,2,9,0,42.6,39,41.3
3,9820,21.8,1,25,2,85.7,-3,34.2
2,23968,10.7,0,22,0,55.4,21,39.3
0,6180,19.1,2,12,0,77.3,-18,36.5
1,9477,6.7,0,10,2,50.4,36,30.1
3,13173,17.9,0,21,1,89.4,-4,35.4
0,22802,2.7,0,21,1,42.8,4,28.1
3,15012,14.0,2,2,1,69.2,-13,34.9
3,16212,23.5,2,15,0,46.2,17,33.8
0,12833,21.8,1,30,1,53.2,-23,39.1
0,15186,11.6,1,4,2,75.6,37,36.7
2,6996,12.6,1,23,2,79.0,5,33.2
3,6256,9.0,0,6,2,83.2,-3,37.0
2,16727,9.0,2,7,2,94.8,15,37.9
3,8221,15.7,2,20,0,76.1,-25,33.2
0,14672,19.3,0,7,1,66.2,-13,38.0
1,23875,12.9,1,20,0,41.5,-20,29.5
0,14824,15.3,1,30,2,50.7,19,35.4
1,21624,17.3,2,24,1,50.7,8,31.0
0,18121,17.1,1,4,0,89.8,-21,38.3
1,24605,21.0,0,29,0,74.1,-7,32.6
3,17338,23.3,0,15,1,70.5,-2,37.7
2,8303,17.5,1,14,1,81.6,20,39.0
2,21433,17.2,0,4,2,57.9,18,38.9
1,11741,16.1,0,10,2,79.3,12,35.5
2,13320,18.0,0,24,1,58.1,40,38.3
0,16095,12.9,2,25,2,74.1,-24,34.0
3,7979,13.8,0,22,0,63.1,30,26.8
0,9626,11.2,1,8,1,88.1,34,30.2
3,11114,3.0,0,26,0,82.9,3,27.6
2,13789,22.5,2,28,1,77.3,17,42.5
3,13714,20.1,2,26,2,93.7,-11,34.0
2,10590,16.1,0,13,1,43.8,39,37.4
0,12047,18.4,1,27,0,76.2,4,37.7
3,9647,12.8,1,7,0,53.3,7,34.8
0,10437,12.5,1,1,0,86.7,20,32.8
0,14420,20.1,1,12,1,77.2,33,38.5
0,17966,15.9,0,7,0,90.0,3,34.5
0,19412,4.1,1,17,2,42.1,31,33.4
1,10806,5.9,1,19,2,70.4,-2,32.1
1,17549,2.8,1,18,2,80.9,-2,31.1
3,11814,9.2,2,25,2,74.5,14,30.9
2,23864,16.1,0,12,2,51.0,4,35.2
3,6746,15.4,2,21,0,74.4,13,30.0
3,15761,4.9,1,27,2,90.9,-8,29.1
2,8535,6.7,0,6,2,53.8,-6,33.8
3,22922,20.7,0,11,2,54.6,-15,39.7
2,18305,22.8,0,9,2,89.7,6,40.4
3,9229,17.5,0,28,1,90.3,11,33.5
3,10151,11.3,2,23,2,55.8,-10,33.4
2,5461,16.6,2,12,1,88.3,10,34.5
1,16441,13.0,0,5,0,64.2,-9,28.6
2,22202,5.4,0,9,0,48.3,18,32.6
2,19251,12.0,0,12,1,93.0,0,39.4
3,6068,2.8,1,30,1,49.1,34,25.8
3,9379,23.9,2,27,2,92.6,33,35.3
3,22571,12.1,0,13,0,92.6,30,30.3
0,5720,18.2,2,17,1,66.8,37,36.4
2,24604,5.9,1,3,0,66.9,29,36.8
1,13373,13.5,0,7,1,77.2,2,32.2
3,10122,8.1,2,15,1,60.8,25,30.8
3,6639,4.1,2,12,0,82.4,7,33.0
0,7794,8.1,2,7,2,58.1,24,32.7
1,14072,4.8,1,27,0,63.1,38,27.2
0,21249,10.1,1,22,0,49.5,4,28.8
3,20968,21.8,0,26,1,72.8,-20,35.7
3,24787,19.8,0,17,0,45.0,39,27.2
0,10293,10.8,2,26,1,85.7,-9,37.1
2,8096,15.6,2,14,0,79.3,13,40.7
0,20320,2.2,0,18,2,68.5,-9,29.0
3,17618,11.3,1,19,1,42.0,-3,29.8
0,10952,4.3,1,13,2,80.4,-17,30.3
2,6733,22.2,1,30,2,54.7,34,38.1
2,9919,19.4,1,11,0,88.2,-3,36.1
1,14839,8.3,2,3,2,59.5,5,31.8
1,18833,4.3,1,22,0,55.4,-18,29.5
3,23258,11.9,2,7,1,90.7,-4,32.1
1,24134,14.7,0,1,0,51.7,14,29.9
3,5706,18.5,1,13,1,74.2,21,31.0
0,5532,18.7,1,20,0,77.2,29,35.8
1,19899,18.2,1,12,1,52.3,15,32.7
3,8353,10.1,1,26,1,90.7,-22,33.6
0,12405,8.6,0,29,1,77.9,16,30.6
0,15188,7.6,0,3,2,76.5,12,35.6
1,7357,10.8,2,14,1,49.8,38,31.9
1,12574,13.8,0,25,0,64.8,-17,30.3
1,15412,3.7,2,9,2,89.2,40,33.1
1,6961,19.2,2,4,2,45.6,-22,35.1
1,22263,6.9,2,24,0,52.8,37,27.0
0,14132,21.9,2,17,1,62.3,-9,36.0
1,16258,9.0,1,17,2,73.4,-7,32.3
1,18058,2.5,0,2,0,74.0,-15,27.5
2,6046,16.0,2,23,2,63.3,27,41.6
2,16035,7.9,0,13,0,40.2,32,36.0
2,17228,20.1,1,9,0,58.6,-6,37.4
3,23501,14.6,1,1,2,56.2,11,35.1
0,23458,10.7,1,2,0,50.3,-18,36.0
3,18997,17.4,1,30,0,80.5,15,28.8
3,24977,9.4,0,15,1,74.8,18,27.9
3,20784,7.3,2,25,1,47.0,31,27.7
3,6251,5.6,0,4,2,46.6,32,31.6
3,6355,18.4,2,30,1,71.2,0,30.8
2,7574,14.2,2,2,0,49.5,12,37.5
1,21599,17.3,2,9,1,41.1,29,32.5
2,5093,2.5,0,25,1,48.9,-11,30.6
2,9155,20.0,0,18,2,41.6,-6,35.5
3,9447,15.9,2,30,0,70.4,19,28.1
3,11820,14.9,2,1,0,69.9,35,29.1
2,17524,13.5,0,19,0,82.4,3,38.1
1,19648,14.0,2,10,0,67.1,-14,31.2
1,8672,15.4,1,23,0,81.9,-8,33.7
3,21499,20.2,2,28,2,90.8,-10,37.5
1,14382,8.7,1,9,1,91.6,-19,32.5
2,16781,22.0,0,21,2,89.1,27,37.8
2,14553,21.5,1,23,1,81.4,0,36.6
0,10371,23.7,0,23,1,60.9,-5,37.1
3,23130,6.0,0,21,1,73.4,-1,29.6
2,14956,18.1,1,18,0,79.6,-10,38.7
0,21133,14.6,0,2,1,46.1,5,34.9
3,5361,12.7,2,8,0,72.7,-12,36.1
1,24493,20.8,2,25,1,77.4,-19,36.0
1,7226,16.9,1,17,1,86.9,-13,34.9
2,20167,7.7,2,8,0,52.5,-5,39.6
0,20114,3.2,0,23,1,77.0,-20,31.0
1,14114,17.4,2,13,1,46.1,-19,32.9
0,6816,7.2,1,28,0,66.5,19,31.7
2,19656,16.9,2,8,1,57.1,22,36.7
0,6738,18.7,0,14,1,64.5,7,32.9
0,22711,12.8,0,20,1,56.0,-18,35.6
3,18258,18.2,0,9,1,67.1,5,37.7
2,23019,18.4,2,1,2,65.8,27,39.1
3,24097,10.7,1,7,2,64.8,23,29.7
3,6046,13.4,0,21,2,72.8,1,32.1
3,10182,8.0,1,15,1,90.6,-25,34.5
1,21791,19.2,0,14,2,47.6,32,37.7
2,15232,17.6,0,10,0,82.0,9,36.7
1,20176,15.3,2,10,1,88.7,17,33.0
0,5331,16.8,1,10,1,78.6,-15,38.6
1,18578,8.1,1,19,0,82.3,10,30.2
1,9884,11.3,0,29,1,64.1,-9,33.6
3,23355,17.8,0,1,1,83.5,-9,35.5
1,10449,6.8,0,21,0,60.2,3,28.8
3,18803,5.4,0,26,2,57.4,16,28.4
3,12357,19.8,0,27,2,72.8,20,29.5
0,10701,19.2,0,1,0,44.3,3,38.4
3,8603,6.6,1,15,1,83.4,9,28.5
3,8821,2.0,0,30,2,65.2,-17,32.0
3,21775,4.9,2,11,2,50.4,-13,32.8
1,7289,13.8,1,27,2,61.4,34,32.5
3,21648,13.8,0,5,1,55.4,24,30.2
3,13230,18.2,0,9,0,55.0,39,33.5
2,19955,15.3,0,27,2,58.3,-16,39.4
3,8634,13.7,2,15,2,80.2,1,32.8
1,9599,17.2,0,13,0,40.4,22,30.7
2,18138,7.7,0,6,0,51.4,16,31.2
3,24362,21.5,2,19,0,73.6,31,32.8
3,14539,21.1,2,27,2,72.2,33,32.0
1,15529,7.2,1,9,1,94.4,17,30.5
0,24941,14.7,1,11,1,41.9,-8,33.9
1,14600,7.4,0,9,0,79.2,29,29.9
1,5644,21.8,1,11,2,89.5,20,39.4
3,5809,21.6,1,17,0,43.3,-21,36.4
1,20626,6.5,0,13,2,81.9,-6,31.5
2,13574,2.6,0,27,1,86.5,26,36.7
1,24396,14.5,0,5,0,41.1,-1,28.8
1,20349,3.3,0,10,2,41.0,5,29.0
3,12762,12.1,2,5,2,48.8,0,32.9
0,19861,16.4,1,26,0,78.7,-12,36.3
0,11849,13.1,2,1,0,62.4,34,35.2
3,10210,13.2,2,4,0,62.8,7,33.9
1,13411,6.1,2,23,0,50.7,18,26.6
1,13551,12.6,1,22,1,80.7,28,34.1
2,22197,19.9,2,11,2,91.7,38,42.5
0,19474,2.9,0,20,0,53.9,1,31.6
3,14014,9.8,0,17,1,81.6,20,29.6
3,20571,11.1,2,25,1,49.8,35,26.2
1,9602,11.5,0,11,0,42.9,-25,30.2
3,8167,4.0,0,1,2,40.3,27,30.0
2,22640,2.4,1,23,0,57.1,12,33.5
3,8200,20.4,0,19,1,50.5,16,34.0
1,13551,7.6,0,24,1,55.4,0,29.4
3,14781,15.4,2,2,0,52.6,-13,36.3
0,6550,22.8,2,18,2,43.2,-3,42.0
0,16699,4.0,1,7,0,72.1,31,29.5
0,22201,7.5,0,7,1,78.8,-18,32.4
1,21749,3.3,2,10,1,58.7,-9,29.5
1,24492,20.2,2,6,0,41.7,-10,32.3
1,18627,13.0,2,7,0,49.0,-10,27.3
1,11431,20.5,2,22,1,70.2,-11,35.9
1,22242,3.6,1,28,0,44.7,-9,26.9
2,24135,19.6,0,1,2,58.0,4,38.5
1,14030,21.6,2,18,2,72.6,-9,38.4
2,20153,21.8,0,17,0,45.0,-10,39.4
0,9323,18.1,0,19,2,55.7,-1,36.9
0,5316,16.0,1,30,1,42.8,5,33.9
2,20120,4.2,1,30,0,45.2,10,33.8
2,9264,2.6,2,1,1,91.7,-19,35.0
2,12749,11.1,2,9,2,55.5,5,33.5
0,10697,23.6,1,7,0,79.9,25,39.0
3,13872,21.9,1,17,1,54.5,18,34.5
0,21143,9.3,0,8,2,92.1,-19,34.1
2,8072,23.7,2,18,0,91.8,-19,41.2
1,11492,11.0,2,27,2,91.4,39,34.7
1,5817,18.3,1,8,2,94.8,-7,37.9
0,6286,8.0,0,30,2,59.2,-22,33.1
2,13808,19.1,1,30,1,75.0,7,41.1
0,21103,12.4,0,7,0,79.5,31,34.0
3,21902,23.1,2,2,1,61.9,-14,39.8
3,19763,7.7,2,8,1,48.2,-4,31.4
0,24767,18.9,2,13,2,55.2,19,37.4
0,20186,16.6,1,4,1,90.8,28,36.1
3,22255,11.6,2,14,2,42.0,17,32.4
1,23564,15.9,0,30,0,41.7,29,31.1
3,17038,13.2,2,25,1,81.9,-9,33.1
3,7130,5.6,1,26,1,82.6,-12,28.7
1,21084,20.6,1,27,2,69.8,-24,38.2
2,20596,19.9,0,8,1,65.2,-14,38.0
1,12794,12.9,2,1,2,79.4,-23,33.4
0,21334,14.0,2,8,1,61.1,17,35.5
2,23406,6.2,2,23,2,75.1,11,37.7
2,17463,2.2,2,22,2,94.5,12,37.6
2,12030,11.5,2,30,2,84.2,-11,39.5
2,22823,23.5,0,11,1,85.1,-8,41.9
3,5763,22.7,1,8,2,81.0,37,33.6
1,13791,2.9,0,30,0,46.6,-12,26.3
3,14712,10.3,2,4,0,88.7,-22,36.1
0,16271,19.9,2,30,2,55.0,16,42.6
1,5444,8.9,1,19,1,71.7,12,29.7
2,9134,9.1,0,21,1,93.9,-13,32.7
1,10772,16.3,1,24,2,71.1,18,38.0
2,18052,17.8,2,27,1,92.6,-11,41.4
0,22544,9.0,1,17,2,65.9,-11,31.9
2,16143,12.4,0,26,0,93.8,-17,33.3
0,20933,20.4,2,30,2,89.4,7,42.1
1,18940,6.7,1,21,1,75.9,-10,30.0
2,8804,16.6,0,26,1,77.5,39,35.9
3,5188,18.8,1,15,2,88.4,-6,35.1
2,5398,22.9,2,1,2,90.1,32,37.9
2,9329,7.8,0,17,0,44.2,37,34.3
0,8340,14.2,1,11,2,88.2,-10,34.1
0,10774,2.7,1,5,1,54.4,-24,31.4
0,18483,22.4,1,26,2,77.2,-21,42.6
2,17860,16.3,0,27,2,62.1,30,34.3
3,24501,8.3,1,25,1,49.0,11,29.2
3,23608,4.6,2,26,0,80.8,-6,31.4
2,24078,22.9,1,20,2,56.5,23,41.4
0,14606,4.6,1,28,1,47.6,-14,29.9
2,8437,8.1,1,3,1,74.5,-22,32.8
2,15573,2.4,2,24,1,53.9,32,38.5
0,21209,16.3,0,9,2,41.2,18,38.7
1,13594,18.0,0,24,0,60.6,11,31.6
0,6423,10.6,2,5,1,45.1,-12,35.5
0,24127,17.6,2,28,2,46.7,22,38.5
1,17323,17.1,0,4,0,45.9,-22,31.8
1,6830,22.2,2,24,2,42.5,15,36.4
0,11381,22.2,0,12,1,85.9,17,38.4
2,12166,3.1,1,14,1,41.0,-5,33.2
1,20948,12.9,0,23,1,46.9,16,31.6
0,7091,8.4,2,29,0,49.5,28,32.4
0,19977,8.0,0,23,1,41.2,-25,32.9
3,6855,2.0,0,17,2,50.7,15,28.0
0,18532,7.0,1,2,2,86.5,22,33.0
1,12564,3.9,2,14,0,59.4,-10,27.0
2,19204,3.2,0,1,2,68.6,14,37.9
1,14228,3.2,0,18,0,66.8,28,27.4
0,6579,14.5,1,3,1,89.7,33,34.4
3,16254,23.8,1,19,2,62.9,13,35.6
2,5613,21.6,1,22,1,62.5,-5,36.8
0,11786,16.4,0,23,1,70.3,-5,35.9
0,24636,11.9,2,8,2,45.1,6,35.6
2,13898,20.5,0,5,1,90.3,20,35.0
1,12055,15.5,0,29,0,70.1,-17,30.3
3,16138,7.0,1,2,2,50.8,16,30.3
3,24427,10.2,1,30,1,59.4,7,29.7
3,10597,5.3,0,7,2,88.6,35,26.4
3,23151,15.0,1,15,2,94.0,5,36.7
3,13923,10.8,2,7,1,44.2,27,29.1
0,13090,3.6,2,12,2,51.1,-17,30.8
0,24351,7.9,0,6,1,48.3,18,30.7
1,21035,17.1,1,15,0,69.9,-11,33.5
1,8198,6.9,0,19,1,65.2,12,31.6
0,7470,20.7,0,13,2,45.3,38,38.7
1,18294,6.8,2,18,2,59.6,-5,32.5
1,8471,22.7,2,18,1,44.3,23,32.6
2,7582,18.8,1,11,1,89.4,-12,35.5
1,11288,12.7,2,2,0,68.7,25,30.4
2,18125,3.5,1,20,0,54.2,-14,33.9
1,10602,17.8,0,24,1,40.5,14,31.5
3,8721,4.0,1,27,0,69.8,-12,34.3
2,17693,21.0,1,26,1,49.7,-20,37.3
2,19971,19.0,2,30,0,60.0,-13,43.7
3,5552,5.6,0,4,1,78.8,17,31.8
0,6999,15.4,1,4,1,83.9,12,35.6
3,18611,12.8,2,20,2,94.3,-7,33.6
1,16190,16.0,0,17,1,82.9,31,32.4
0,8851,11.2,0,17,1,93.0,14,33.4
2,17472,4.7,0,26,2,58.4,-1,35.1
