tariff_type,age,watch_hours_week,content_completion,device_type,promo_used,support_tickets,friend_referrals,subscription_renew
2,74,20.1,0.54,2,1,2,0,0
1,56,9.9,0.68,0,1,1,0,1
1,45,18.8,0.68,1,0,0,0,0
0,20,26.5,0.63,2,0,0,0,0
1,37,30.0,0.27,0,0,1,0,0
1,23,30.2,0.04,1,0,2,0,0
0,44,23.1,0.46,0,0,2,1,0
0,70,36.2,0.89,1,0,2,0,1
0,19,32.7,0.57,0,0,0,0,0
0,46,30.3,0.83,1,1,3,0,1
0,55,2.2,0.99,0,0,2,0,0
0,20,0.3,0.16,1,0,3,0,0
0,33,8.5,0.69,1,0,1,1,0
0,47,26.5,0.67,0,1,2,1,1
2,57,16.4,0.98,1,0,1,0,0
1,19,16.1,0.99,0,0,2,0,0
1,34,35.4,0.69,1,1,1,0,0
2,58,35.8,0.24,0,0,2,0,0
1,29,36.4,0.8,1,0,0,0,0
0,52,12.6,0.11,0,0,0,1,0
1,60,27.6,0.78,1,1,2,1,0
1,18,10.9,0.91,0,0,0,1,0
2,72,7.6,0.38,1,0,0,0,0
1,62,7.4,0.63,0,0,2,0,1
0,32,13.7,0.43,2,1,1,0,0
0,43,17.2,0.44,2,0,6,0,0
0,54,33.2,0.31,0,0,1,0,1
1,38,4.8,0.76,1,1,1,0,0
1,66,29.4,0.94,0,0,0,0,0
0,48,21.3,0.94,0,1,1,0,1
2,42,11.5,0.17,1,1,1,0,0
1,40,19.7,0.87,1,1,4,1,0
0,41,12.0,0.74,1,0,0,0,0
0,74,23.8,0.25,0,0,1,0,1
0,55,17.4,0.07,0,1,0,0,0
0,45,6.6,0.27,0,1,1,0,0
0,38,4.7,0.91,1,0,1,0,0
0,71,21.9,0.63,1,1,0,0,1
0,60,36.1,0.72,1,0,0,0,1
0,35,13.8,0.26,0,0,0,0,0
2,53,29.3,0.72,0,0,2,1,0
0,52,26.3,0.03,0,1,1,1,1
1,62,37.3,0.38,0,0,1,0,0
1,72,32.8,0.63,0,0,2,0,0
2,26,22.7,0.15,2,1,4,1,1
0,70,26.3,0.82,2,0,2,0,1
0,55,35.9,0.24,1,0,0,0,1
2,75,16.0,0.65,1,0,1,1,0
2,47,13.1,0.41,0,0,1,0,0
2,61,0.4,0.6,2,0,4,1,0
0,51,33.1,0.11,0,1,0,0,1
0,49,32.0,0.02,2,0,1,0,1
1,20,4.2,0.91,1,1,1,1,0
2,20,23.1,0.27,0,0,2,0,1
1,45,18.6,0.82,2,0,1,0,0
1,61,4.7,1.0,0,0,5,0,1
0,32,39.2,0.21,1,0,2,1,0
2,58,8.6,0.27,1,0,0,0,0
0,40,2.7,0.66,0,0,1,0,0
0,57,23.8,0.97,1,0,2,0,1
1,28,29.6,0.92,1,0,1,0,0
1,65,1.3,0.5,1,0,1,0,1
0,49,26.3,0.8,0,0,1,0,1
0,75,21.3,0.14,2,1,0,1,1
1,74,4.1,0.98,0,0,0,0,1
0,71,6.9,0.96,0,0,0,0,0
1,53,22.7,0.16,0,1,3,0,0
0,50,11.9,0.3,0,1,0,1,0
1,41,37.5,0.1,0,0,1,0,0
1,56,32.7,0.27,2,0,2,0,0
0,51,39.3,0.82,0,0,1,1,1
0,73,10.4,0.38,0,0,1,0,0
0,45,38.8,0.09,0,1,1,0,0
0,54,17.2,0.34,1,1,1,0,0
2,24,13.9,0.98,2,0,1,0,0
0,21,2.0,0.63,0,1,2,0,0
2,54,2.1,0.42,0,0,2,1,0
0,73,27.7,0.17,0,0,1,1,1
1,18,18.3,0.99,0,1,1,0,0
2,18,9.1,0.82,0,0,2,0,0
1,64,24.6,0.28,1,1,1,0,0
1,37,10.1,0.07,0,1,2,0,0
1,36,23.1,0.06,1,0,1,0,0
0,46,14.4,0.12,0,0,3,1,0
2,27,32.9,0.58,2,0,2,0,1
2,35,32.8,0.93,2,0,1,0,1
2,45,19.1,0.5,1,0,2,0,0
0,52,14.0,0.84,0,0,4,0,0
2,60,14.5,0.45,0,1,0,0,0
2,64,32.2,0.71,1,0,3,0,0
0,48,13.1,0.73,1,0,1,0,0
0,44,8.4,0.17,1,0,3,0,0
2,28,3.4,0.36,2,1,0,0,0
1,66,18.7,0.64,2,0,0,0,1
2,66,19.3,0.07,0,0,1,1,0
0,55,33.6,0.36,1,1,4,1,1
2,22,8.8,0.53,0,0,2,0,0
0,25,15.2,1.0,0,0,3,0,0
0,51,32.3,0.47,1,1,2,1,1
0,65,32.9,0.82,0,0,4,0,1
2,69,15.4,0.43,2,1,5,0,0
1,73,18.4,0.8,0,0,2,0,1
1,29,12.1,0.6,1,0,1,0,0
0,55,37.3,0.89,1,1,2,0,1
2,18,4.7,0.41,1,0,2,0,0
0,48,37.3,0.6,0,1,1,1,1
2,21,27.4,0.63,2,1,3,0,1
1,66,21.3,0.42,1,1,2,0,0
0,62,1.3,0.14,1,1,3,1,0
1,67,19.0,0.09,0,0,0,0,1
0,22,16.3,0.02,1,1,1,1,0
2,47,6.4,0.87,2,0,1,1,0
1,73,26.3,0.24,1,0,1,0,0
0,41,38.8,0.21,2,1,1,1,0
2,20,22.5,0.74,1,0,0,0,1
0,28,28.6,0.32,0,0,1,0,0
1,62,2.7,0.51,0,0,3,0,1
2,21,16.7,0.16,0,0,4,0,0
1,43,4.7,0.96,1,1,1,1,0
0,44,24.5,0.85,2,0,0,0,0
2,63,37.5,0.86,0,0,1,0,0
1,71,26.5,0.41,1,1,0,0,0
0,60,3.1,0.76,1,0,1,0,0
0,44,14.2,0.14,1,0,2,0,0
2,59,22.0,0.01,0,0,3,0,0
1,68,16.1,0.02,0,0,2,1,1
1,67,33.3,0.59,0,0,0,0,0
2,23,32.6,0.46,0,1,0,0,1
2,32,24.5,0.52,0,0,1,0,1
0,70,14.9,0.01,0,1,1,0,0
0,47,10.2,0.42,1,1,4,0,0
0,59,4.2,0.72,0,0,1,0,0
2,54,14.2,0.44,2,0,2,0,0
0,75,16.5,0.73,0,0,0,0,0
1,54,27.0,0.23,0,0,3,0,0
2,59,26.3,0.81,0,1,1,0,0
2,54,2.8,0.59,0,0,1,0,0
0,52,15.8,0.21,2,0,2,0,0
2,40,7.3,0.24,0,0,3,0,0
0,23,6.3,0.63,2,0,0,1,0
2,21,33.1,0.83,2,0,3,0,1
0,35,1.7,0.42,1,0,4,0,0
0,26,16.8,0.26,1,0,5,0,0
2,66,6.7,0.87,1,0,0,0,0
0,46,35.2,0.67,0,0,0,0,1
0,30,22.3,0.45,1,1,0,1,0
2,64,9.3,0.49,0,0,0,1,0
2,69,20.1,0.2,0,0,1,1,0
1,34,29.3,0.63,1,0,1,1,0
1,62,38.3,0.36,1,0,0,0,0
1,49,8.8,1.0,2,1,0,0,1
0,65,35.4,0.48,0,0,2,0,1
0,39,37.4,0.49,2,0,3,1,0
0,21,36.7,0.57,0,1,3,0,0
2,22,25.4,0.92,0,1,0,0,1
1,54,25.2,0.8,0,0,4,0,0
1,58,16.1,0.45,1,0,2,1,1
1,66,30.1,0.72,0,1,1,0,0
2,30,21.3,0.59,1,0,0,0,1
0,51,27.1,0.49,2,1,2,1,1
1,62,17.1,0.19,1,1,1,0,1
1,39,29.3,0.46,1,1,2,1,0
1,70,33.0,0.25,2,0,3,0,0
0,40,5.9,0.91,1,1,2,0,0
2,68,33.3,0.34,1,0,4,1,0
2,20,21.6,0.95,0,1,2,0,1
1,59,33.8,0.53,2,0,0,0,0
1,51,17.3,0.63,1,0,2,0,1
2,49,15.2,0.54,0,0,0,0,0
2,62,36.6,0.13,0,0,3,0,0
0,68,10.0,0.38,2,0,0,0,0
1,75,33.8,0.1,0,1,1,0,0
1,66,19.4,0.62,2,0,0,1,1
1,38,20.6,0.45,0,1,2,0,0
2,63,12.3,0.78,2,0,0,0,0
2,61,22.9,0.22,0,0,1,0,0
2,38,13.0,0.16,1,0,0,0,0
1,61,1.6,0.41,2,0,1,1,1
0,28,10.9,0.93,1,1,3,0,0
2,56,0.3,0.71,1,0,2,1,0
2,21,39.1,0.42,0,0,0,0,1
0,68,38.6,0.52,0,0,1,0,1
2,18,15.8,0.08,0,1,2,0,0
2,45,29.1,0.98,1,0,1,0,0
1,41,13.8,0.67,0,0,1,0,0
1,52,26.8,0.29,0,0,1,0,0
0,30,32.2,0.59,1,0,0,0,0
0,64,37.9,0.11,1,0,1,1,1
0,51,16.0,0.97,1,1,0,0,0
2,28,31.3,0.17,0,0,0,0,1
0,53,10.6,0.65,0,0,2,0,0
0,68,39.6,0.25,2,0,1,0,1
0,34,1.0,0.72,0,0,2,1,0
1,52,24.1,0.78,2,0,2,0,0
2,35,26.4,0.67,2,1,1,0,1
0,57,27.5,0.61,2,1,2,0,1
0,39,4.8,0.89,0,1,0,0,0
2,74,37.5,0.08,2,1,0,0,0
1,41,7.2,0.33,2,0,5,0,0
0,75,24.9,0.25,1,0,0,1,1
1,36,8.9,0.99,0,0,0,0,0
0,54,12.3,0.39,0,0,1,0,0
0,56,21.9,0.73,0,0,0,0,1
1,38,16.7,0.68,1,0,0,0,0
1,25,6.4,0.21,1,0,0,1,0
2,45,6.8,0.24,0,1,1,1,0
0,22,16.7,0.28,1,1,2,0,0
1,34,30.3,0.41,0,1,0,0,0
1,54,35.9,0.23,1,0,1,0,0
0,53,3.4,0.02,2,0,1,0,0
1,71,15.7,0.88,0,0,2,0,1
0,36,4.0,0.97,0,0,1,1,0
2,44,0.7,0.34,0,0,1,0,0
0,70,26.5,0.34,1,0,3,0,1
1,51,24.1,0.01,1,0,1,1,0
0,28,6.5,0.68,2,0,0,0,0
2,71,9.4,0.83,0,0,0,1,0
1,62,0.9,0.15,2,0,0,0,1
1,64,33.4,0.16,0,0,2,1,0
0,29,39.0,0.79,1,0,5,0,0
2,71,5.4,0.62,0,0,4,0,0
0,38,9.3,0.04,2,0,1,0,0
2,71,34.7,0.62,1,0,0,0,0
0,28,37.1,0.31,1,1,3,0,0
0,56,16.8,0.37,2,1,3,1,0
0,45,2.0,0.77,0,0,2,1,0
1,22,1.6,0.81,0,0,0,0,0
1,34,23.0,0.4,2,0,1,0,0
0,73,15.7,0.95,0,0,1,0,0
2,37,1.1,0.41,0,0,2,0,0
1,58,23.3,0.77,1,0,4,0,0
1,63,0.5,0.48,1,0,1,1,1
1,75,31.5,0.9,0,0,1,0,0
1,29,12.3,0.91,0,1,1,0,0
1,23,1.6,0.09,0,0,2,0,0
0,34,23.5,0.94,1,1,2,0,0
0,68,15.9,0.83,2,0,3,0,0
2,36,39.0,0.79,2,0,0,0,1
2,43,21.8,0.2,1,1,0,0,0
0,65,11.0,0.81,0,1,3,0,0
0,61,28.4,0.85,2,0,0,0,1
1,61,10.9,0.29,1,0,2,0,1
1,69,36.2,0.95,0,0,1,0,0
0,49,15.0,0.05,2,0,1,0,0
0,23,22.0,0.15,2,1,1,1,0
2,72,2.0,0.54,1,1,1,0,0
1,75,17.0,0.58,1,0,0,0,1
0,53,33.3,0.65,0,0,2,0,1
0,55,32.2,0.02,0,0,3,0,1
0,28,9.0,0.96,1,0,3,0,0
1,50,9.0,0.04,0,1,1,0,1
0,41,32.7,0.14,1,1,2,0,0
0,40,37.2,0.01,2,0,2,1,0
2,32,3.8,0.57,2,0,2,1,0
0,44,18.0,0.93,1,0,1,0,0
1,28,13.5,0.67,2,0,3,0,0
0,74,34.8,0.82,2,1,1,1,1
0,68,3.3,0.01,1,0,1,0,0
0,67,8.4,0.54,0,0,1,0,0
2,34,30.1,0.46,0,0,1,1,1
2,68,2.1,0.5,0,1,3,1,0
2,70,19.7,0.07,0,0,1,0,0
0,31,17.7,0.68,0,1,3,0,0
1,44,13.4,0.5,0,1,4,0,0
0,35,15.8,0.77,1,1,1,1,0
0,45,21.2,0.49,2,0,2,1,0
2,68,6.5,0.15,0,0,0,0,0
0,64,22.9,0.65,1,0,3,0,1
0,64,32.2,0.17,1,0,1,0,1
0,21,30.4,0.87,0,0,2,0,0
0,24,6.2,0.61,2,0,1,1,0
0,62,6.0,0.16,1,0,2,0,0
1,52,10.7,0.96,0,1,1,0,1
1,65,14.4,0.52,2,0,4,0,1
2,26,16.3,0.07,0,0,1,0,0
2,25,27.2,0.63,1,1,1,0,1
0,69,2.3,0.25,0,1,1,0,0
0,62,1.4,0.8,2,1,2,1,0
0,34,15.7,0.82,1,1,0,0,0
1,34,27.9,0.98,1,1,1,1,0
0,66,7.7,0.5,0,0,2,0,0
1,50,25.7,0.45,1,0,1,0,0
1,49,10.4,0.75,2,0,1,0,1
1,25,35.4,0.13,1,0,3,1,0
1,36,35.8,0.55,1,0,1,0,0
0,55,11.9,0.55,1,0,1,0,0
2,20,9.2,0.09,2,0,1,0,0
2,22,16.5,0.42,1,0,4,0,0
0,30,9.6,0.85,2,0,0,1,0
2,64,26.9,0.86,2,1,2,1,0
1,63,33.0,0.1,1,0,4,0,0
2,48,26.9,0.09,0,1,0,0,0
2,72,33.0,0.26,1,0,2,0,0
1,33,15.9,0.87,2,1,1,0,0
0,67,6.3,0.13,0,1,0,1,0
0,49,29.5,0.72,1,0,1,1,1
1,39,14.4,0.1,2,0,0,0,0
1,46,26.9,0.62,0,0,1,0,0
0,39,10.8,0.36,1,1,1,0,0
0,60,3.2,0.79,0,1,0,0,0
2,20,39.7,0.23,0,1,2,0,1
2,71,6.2,0.64,2,0,0,0,0
1,27,39.5,0.24,0,0,3,0,0
0,59,39.1,0.71,0,1,1,0,1
0,38,31.8,0.87,2,0,2,0,0
0,33,26.4,0.13,0,0,1,0,0
2,29,23.1,0.87,2,0,0,1,1
0,19,34.6,0.59,2,1,0,0,0
1,58,11.6,0.13,0,0,0,1,1
0,41,18.7,0.43,0,0,2,0,0
1,52,24.8,0.16,1,0,4,1,0
1,73,16.4,0.7,1,1,4,1,1
2,47,17.1,0.76,0,0,1,0,0
0,74,13.2,0.11,1,0,1,0,0
0,47,22.6,0.51,0,0,2,1,1
0,64,34.0,0.81,2,1,2,0,1
2,52,8.1,0.94,0,1,3,1,0
2,36,37.4,0.51,0,1,3,0,1
1,67,27.6,0.95,0,0,2,0,0
1,25,32.9,0.54,2,1,1,0,0
1,43,22.2,0.39,1,0,3,0,0
0,66,31.2,0.85,2,0,2,1,1
2,57,0.6,0.49,0,0,0,0,0
1,24,32.7,0.47,0,0,3,0,0
0,47,1.6,0.49,0,1,2,0,0
1,24,35.6,0.85,1,0,3,0,0
0,20,39.7,0.83,1,0,1,0,0
0,18,11.8,0.4,1,0,1,0,0
2,53,8.4,0.33,0,0,1,0,0
0,42,30.6,0.49,2,0,0,0,0
1,54,10.1,0.57,0,0,0,0,1
0,18,34.6,0.24,2,0,3,0,0
0,32,4.1,0.79,0,0,0,1,0
0,54,5.0,0.49,1,0,1,1,0
0,30,39.2,0.33,0,1,4,0,0
2,57,27.0,0.11,1,0,2,0,0
0,25,33.9,0.24,1,1,1,0,0
1,22,13.0,0.95,1,1,3,0,0
1,26,27.1,0.31,1,1,2,0,0
1,18,23.8,0.17,1,0,1,1,0
2,53,24.1,0.46,1,0,0,0,0
2,52,27.3,0.31,2,1,0,1,0
0,19,23.0,0.04,0,0,3,0,0
0,57,17.2,0.32,1,0,3,0,0
0,40,11.0,0.54,1,0,1,1,0
1,26,30.7,0.55,0,0,3,0,0
0,51,9.1,0.36,1,1,1,0,0
1,63,27.7,0.45,0,0,1,0,0
1,31,9.3,0.97,0,0,4,0,0
0,21,25.0,0.38,0,0,1,0,0
2,47,29.9,0.26,0,0,2,0,0
0,48,8.7,0.24,1,0,1,0,0
0,55,2.4,0.46,1,0,1,0,0
2,28,5.2,0.76,2,1,2,1,0
1,52,24.2,0.21,1,0,2,0,0
1,25,34.0,0.71,0,1,1,0,0
1,20,1.8,0.02,2,0,2,0,0
0,31,29.4,0.42,2,0,1,0,0
2,30,13.7,0.78,1,0,1,0,0
2,62,19.1,0.34,1,0,1,0,0
1,49,37.2,0.56,2,1,2,0,0
0,51,13.3,0.2,1,1,1,0,0
1,62,18.6,0.74,2,0,1,0,1
0,36,0.5,0.05,0,0,1,1,0
0,55,3.3,0.85,0,1,2,0,0
2,33,10.3,0.2,1,0,1,0,0
0,19,1.1,0.87,1,0,2,0,0
2,57,25.3,0.35,2,1,0,0,0
1,34,17.1,0.72,2,0,3,1,0
0,72,21.9,0.32,0,1,1,0,1
1,51,7.0,0.91,0,0,2,1,1
2,59,11.8,0.13,2,1,0,0,0
2,33,26.6,0.18,1,0,0,0,1
2,55,38.6,0.49,0,0,2,1,0
1,19,2.0,0.08,1,0,1,0,0
1,19,35.6,0.2,1,0,0,1,0
2,43,23.1,0.94,2,0,1,0,0
0,30,22.6,0.98,1,0,3,0,0
1,73,20.0,0.38,0,0,2,0,0
0,64,2.8,0.92,2,1,0,0,0
2,48,3.6,0.54,1,0,1,0,0
2,51,24.0,0.27,1,0,0,0,0
0,56,13.6,0.7,0,0,2,0,0
2,20,36.7,0.66,1,0,0,0,1
2,25,16.3,0.99,0,0,2,0,0
0,40,5.7,0.27,0,0,2,1,0
1,31,28.6,0.67,1,1,1,0,0
2,73,11.7,0.05,0,0,2,0,0
0,72,21.0,0.11,1,0,1,0,1
1,44,27.9,0.0,0,1,0,1,0
0,71,36.0,1.0,1,1,1,0,1
2,46,31.7,0.8,0,0,3,0,0
2,56,27.1,0.79,0,1,1,0,0
2,70,27.2,0.51,0,0,2,0,0
1,56,37.8,0.3,2,1,0,0,0
2,18,11.8,0.15,2,0,0,1,0
2,34,0.0,0.28,0,0,4,0,0
0,58,10.9,0.38,2,1,2,0,0
2,47,8.7,0.76,1,0,2,1,0
0,70,26.5,0.54,2,0,3,0,1
1,30,25.3,0.08,0,0,2,1,0
0,38,23.7,0.02,1,0,1,1,0
0,36,0.6,0.1,0,0,3,0,0
0,70,29.2,0.41,0,0,1,0,1
1,36,12.9,0.93,2,0,0,0,0
0,74,26.6,0.64,1,0,1,0,1
2,42,22.3,0.8,0,0,2,1,0
0,39,13.7,0.47,0,0,2,1,0
0,48,5.4,0.36,1,0,2,0,0
1,34,3.8,0.11,1,1,0,0,0
2,72,33.3,0.88,0,0,0,0,0
0,40,36.7,0.78,2,0,2,0,0
1,49,26.0,0.17,0,1,2,0,0
2,27,4.1,0.51,0,1,3,1,0
1,27,16.1,0.49,2,0,2,0,0
0,53,29.2,0.63,0,1,2,1,1
0,25,31.2,0.95,0,0,2,0,0
2,71,4.7,0.58,1,1,1,0,0
0,69,0.0,0.54,2,0,1,0,0
2,37,28.5,0.05,0,0,2,1,1
1,49,14.3,0.06,2,0,0,0,1
2,67,10.2,0.19,2,1,4,0,0
2,31,0.5,0.03,0,0,0,0,0
2,67,21.6,0.74,1,0,1,0,0
0,45,34.0,0.72,0,0,3,0,0
2,63,38.3,0.14,1,1,1,0,0
1,69,22.6,0.84,2,1,0,0,0
1,70,20.6,0.15,2,0,0,0,0
1,41,3.4,0.3,0,0,2,0,0
2,32,22.0,0.25,1,0,0,1,1
2,39,15.2,0.37,1,0,2,0,0
2,47,24.3,0.25,0,1,0,0,0
1,21,15.5,0.49,0,0,4,0,0
1,30,9.6,0.41,0,0,0,0,0
2,40,3.8,0.99,1,0,1,0,0
0,25,12.6,0.06,1,0,3,1,0
0,35,3.9,0.14,0,0,2,0,0
0,29,7.1,0.05,2,0,2,0,0
0,72,39.5,0.63,2,0,2,0,1
0,48,17.8,0.05,1,0,2,0,0
0,31,21.3,0.84,0,0,1,1,0
0,51,34.9,0.51,1,0,0,1,1
0,35,39.8,0.53,0,0,1,0,0
2,73,23.3,0.56,0,1,1,0,0
1,51,32.5,0.17,1,0,1,1,0
0,28,13.1,0.2,0,0,1,0,0
1,58,12.2,0.32,0,1,1,0,1
0,29,16.1,0.59,0,0,1,1,0
2,66,26.9,0.21,0,0,3,0,0
2,32,27.3,0.12,0,0,2,0,1
0,74,12.6,0.97,2,0,6,1,0
1,48,5.3,0.02,0,0,4,0,1
2,66,25.3,0.8,0,0,1,0,0
2,75,5.1,0.79,0,1,1,0,0
1,46,23.1,0.3,2,1,1,0,0
1,43,27.7,0.14,1,0,2,0,0
0,35,28.0,0.15,0,0,1,0,0
2,49,30.1,0.7,2,0,7,0,0
0,39,34.9,0.64,0,0,0,1,0
2,55,20.0,0.78,0,0,3,0,0
1,34,29.2,0.94,0,1,1,0,0
1,40,24.8,0.69,0,0,1,0,0
1,41,7.5,0.16,0,1,1,1,0
0,67,1.0,0.24,1,1,1,0,0
0,25,11.4,0.84,0,1,1,0,0
0,58,17.7,0.21,1,0,1,0,0
0,23,24.7,0.07,0,0,1,0,0
2,22,34.0,0.7,0,0,0,0,1
0,61,7.8,0.4,1,0,2,0,0
0,74,5.0,0.92,2,0,1,1,0
2,46,38.5,0.65,0,0,1,1,0
2,45,4.3,0.09,1,0,0,1,0
2,28,19.1,0.95,0,0,1,0,0
2,74,23.4,0.26,0,1,0,1,0
0,18,21.7,0.34,0,0,3,1,0
0,60,3.4,0.4,0,0,4,0,0
2,36,2.3,0.05,0,0,1,0,0
1,26,4.2,0.5,0,1,0,0,0
0,44,23.4,0.12,2,0,1,0,0
2,51,21.8,0.4,0,0,2,0,0
0,61,9.3,0.35,1,0,0,0,0
0,21,25.5,0.77,0,1,0,0,0
1,53,32.8,0.8,1,1,2,0,0
1,35,1.7,0.15,1,0,2,0,0
1,32,19.9,0.37,0,0,2,0,0
0,68,27.6,0.37,0,0,1,1,1
2,30,10.1,0.15,1,0,2,1,0
0,36,12.3,0.8,2,0,2,0,0
0,66,24.5,0.71,0,1,2,0,1
2,23,35.9,0.19,0,1,1,0,1
2,65,32.4,0.37,2,0,2,0,0
2,73,23.3,0.11,0,0,1,0,0
2,29,29.2,0.63,1,0,3,0,1
1,68,14.6,0.12,0,1,1,1,1
1,54,25.6,0.99,0,1,2,0,0
0,34,18.6,0.78,1,0,0,0,0
1,75,7.6,0.39,1,0,0,0,1
0,40,28.1,0.58,0,0,3,0,0
0,43,22.3,0.91,1,0,3,0,0
2,46,14.3,0.55,2,1,0,0,0
1,50,36.5,0.17,1,0,1,0,0
0,44,0.8,0.38,0,1,1,0,0
0,42,12.6,0.84,1,0,3,0,0
1,73,2.3,0.64,1,1,1,0,1
0,72,30.7,0.65,2,0,1,0,1
2,27,28.1,0.87,1,1,1,0,1
1,64,13.3,0.89,0,0,3,0,1
1,40,27.0,0.92,1,0,4,0,0
1,38,15.8,0.09,1,0,0,0,0
2,38,30.3,0.54,0,0,1,0,1
0,60,18.2,0.74,1,0,1,0,0
1,30,16.5,0.76,0,0,0,0,0
1,54,37.4,0.61,1,1,0,0,0
0,50,10.0,0.17,0,0,2,0,0
2,41,4.8,0.8,1,1,1,0,0
2,61,23.4,0.72,2,1,2,1,0
1,28,38.8,0.09,2,0,2,0,0
2,34,15.1,0.46,2,0,1,0,0
2,21,2.5,0.17,2,0,1,0,0
2,64,13.6,0.34,0,0,0,0,0
2,42,20.2,0.02,1,0,1,0,0
1,47,6.5,0.4,1,1,0,0,1
1,26,26.3,0.55,2,0,2,0,0
1,38,39.9,0.62,0,0,6,1,0
2,37,18.1,0.66,2,0,2,0,0
0,36,14.2,0.84,1,1,1,0,0
2,36,16.0,0.22,2,0,1,0,0
2,29,4.6,0.12,0,0,5,0,0
0,54,35.3,0.85,0,0,0,1,1
2,59,16.6,0.16,2,0,4,0,0
0,34,15.5,0.97,0,1,1,1,0
0,54,26.4,0.84,2,1,0,0,1
2,71,17.7,0.5,0,0,0,0,0
0,65,25.9,0.98,1,0,0,0,1
2,56,2.5,0.1,0,0,1,0,0
2,45,32.5,0.3,1,0,2,0,0
1,58,37.6,0.64,1,0,0,0,0
0,52,26.0,0.35,0,0,1,0,1
0,64,38.2,0.93,0,0,0,0,1
1,65,6.1,0.07,0,1,0,0,1
2,35,19.1,0.55,1,0,1,0,0
1,31,24.1,0.59,1,1,2,0,0
0,52,23.3,0.65,1,0,2,0,1
1,61,16.1,0.26,1,0,1,0,1
1,58,13.5,0.36,1,1,0,0,1
2,24,5.1,0.84,0,0,4,1,0
0,58,15.7,0.19,0,0,4,0,0
2,30,6.5,0.83,0,0,1,0,0
1,35,29.4,0.56,2,0,1,0,0
2,54,8.4,0.76,2,1,1,0,0
0,30,2.3,0.71,0,1,1,0,0
1,53,22.1,0.21,1,0,2,0,0
2,48,23.8,0.57,2,0,0,0,0
0,19,34.9,0.87,1,0,1,0,0
2,33,23.1,0.43,0,0,1,1,1
1,26,13.8,0.97,0,0,0,1,0
0,26,32.1,0.45,1,0,0,0,0
0,55,21.6,0.14,2,0,3,0,1
2,28,3.2,0.39,1,0,2,0,0
0,71,22.6,0.95,0,0,1,0,1
1,73,36.3,0.32,0,0,0,0,0
0,39,15.9,0.87,2,0,0,0,0
1,50,11.9,0.88,2,1,0,0,1
0,53,5.7,0.35,1,1,1,1,0
2,62,6.1,0.08,1,0,0,1,0
2,40,17.3,0.72,0,0,1,0,0
2,62,23.8,0.31,2,1,0,0,0
2,62,3.2,0.78,2,1,1,0,0
0,51,37.6,0.44,0,1,2,0,1
2,26,30.2,0.49,1,0,1,0,1
0,41,23.5,0.78,0,1,3,1,0
0,25,33.1,0.38,0,0,4,0,0
0,24,3.2,0.44,0,1,3,0,0
1,53,19.1,0.38,0,1,1,0,1
2,35,25.2,0.37,0,0,1,0,1
1,20,33.1,0.53,1,1,2,0,0
1,45,31.3,0.81,1,0,2,0,0
0,23,11.1,0.36,1,1,1,1,0
2,61,37.6,0.52,0,0,0,0,0
1,61,5.0,0.67,0,1,2,0,1
1,38,35.0,0.27,1,0,0,0,0
0,45,38.8,0.28,0,1,2,0,0
2,57,7.1,0.93,0,0,0,0,0
1,71,28.9,0.72,2,0,2,0,0
0,71,1.6,0.58,1,0,3,0,0
0,18,16.2,0.65,2,1,5,0,0
1,53,20.7,0.03,1,0,1,0,0
1,38,23.2,0.62,0,0,2,0,0
0,60,37.4,0.51,1,0,1,0,1
2,52,26.9,0.55,0,1,0,0,0
0,30,19.3,0.36,1,0,2,0,0
1,74,32.4,0.08,0,0,1,0,0
2,66,38.0,0.19,2,0,1,0,0
1,71,0.9,0.95,0,0,0,0,1
1,71,39.3,0.41,2,0,1,0,0
0,27,3.4,0.47,2,0,2,0,0
0,70,32.6,0.05,1,1,2,0,1
2,61,11.2,0.04,1,1,1,1,0
1,64,5.3,0.72,1,0,1,0,1
2,70,17.6,0.54,2,0,0,1,0
0,27,25.8,0.51,1,0,1,0,0
0,63,15.2,0.24,2,0,2,0,0
0,30,2.2,0.74,1,1,1,1,0
1,54,24.0,0.17,2,0,2,1,0
0,55,36.1,0.19,1,0,2,0,1
2,41,15.3,0.46,1,0,2,0,0
1,19,8.7,0.29,2,1,1,0,0
2,39,17.7,0.25,2,0,0,0,0
0,34,1.9,0.65,1,0,3,0,0
2,53,32.8,0.65,0,0,5,0,0
2,31,33.1,0.82,1,1,0,1,1
2,27,23.5,0.42,2,1,0,0,1
2,52,14.1,0.07,2,0,1,0,0
2,42,32.0,0.27,2,0,2,0,0
1,20,22.2,0.98,0,1,1,0,0
0,64,33.0,0.6,1,0,2,0,1
0,55,25.3,0.71,1,0,4,0,1
2,34,31.4,0.01,2,0,1,0,1
1,29,23.9,0.52,0,0,1,0,0
2,71,16.6,0.04,2,0,2,0,0
1,69,38.3,0.57,1,1,2,0,0
0,41,21.6,0.92,0,0,2,0,0
0,46,24.2,0.97,0,0,1,0,1
1,60,8.8,0.54,0,1,2,0,1
1,42,25.0,0.46,1,0,0,1,0
0,53,22.9,0.95,0,0,0,0,1
1,75,7.4,0.67,0,0,3,0,1
0,43,2.4,0.06,2,1,5,0,0
1,55,24.2,0.47,0,1,2,0,0
0,18,30.5,0.24,0,1,0,0,0
2,37,20.9,0.47,1,1,3,0,1
0,72,9.1,0.46,1,0,0,1,0
1,45,26.7,0.58,2,0,0,0,0
0,33,3.2,0.36,1,1,0,0,0
