role,exp_years,projects_count,hours_overtime,edu_level,team_size,client_feedback,certs_count,bonus_rub
0,3,4,196,3,14,3.8,4,548240.77
2,22,7,172,3,15,3.7,0,230438.97
1,20,16,364,2,13,1.8,3,469160.52
2,23,12,76,4,11,1.3,2,357952.1
3,7,13,206,3,16,1.2,1,588347.53
1,20,7,368,2,3,4.9,2,603921.25
3,22,16,375,3,13,4.6,3,773330.65
1,12,12,50,1,7,1.1,0,316390.46
0,25,5,74,4,19,3.7,1,548746.56
2,13,12,366,1,3,3.0,5,406205.16
2,17,4,207,2,15,1.5,0,199713.76
2,21,7,319,3,12,3.9,0,248959.34
1,17,10,329,2,9,3.1,1,420693.65
0,12,3,3,1,6,1.8,1,359398.57
3,1,8,177,1,5,1.5,2,570188.37
2,14,17,354,3,6,3.5,6,362807.72
3,14,17,38,1,6,1.8,5,1033479.74
1,4,8,252,1,15,2.6,3,402624.1
3,24,6,94,2,7,1.0,1,622753.94
1,7,10,245,1,14,4.3,0,526664.79
2,21,16,257,4,9,2.5,5,370982.98
1,12,7,185,1,14,1.2,1,348115.41
2,4,5,368,2,4,4.3,5,325703.83
0,23,17,350,2,9,3.4,3,1044488.49
2,23,18,264,2,15,4.3,4,410013.99
3,10,8,377,3,9,2.8,6,1021682.36
2,19,11,347,1,17,3.4,3,375216.82
2,3,9,7,3,17,3.0,4,195552.72
2,13,9,342,4,15,5.0,0,322643.64
0,7,16,326,2,4,1.7,0,1058642.29
0,12,2,265,3,18,4.4,0,331119.75
0,23,12,133,3,7,4.8,1,847580.01
1,13,12,333,4,20,3.7,6,558343.61
2,15,10,231,4,3,1.1,0,318822.23
1,16,4,391,2,18,4.9,6,536646.76
0,20,16,337,2,12,3.2,1,1034093.57
2,12,16,113,3,13,4.4,6,373095.02
1,13,13,215,1,3,2.6,6,432368.26
1,23,13,219,4,3,4.3,2,556275.26
1,13,17,27,4,5,2.6,5,529807.09
3,12,9,84,1,11,1.8,6,1058430.2
2,23,14,145,3,17,1.6,0,212792.78
2,23,14,87,3,17,1.1,1,226668.11
2,6,10,244,1,10,3.4,4,352969.64
0,23,6,245,1,19,3.8,1,501996.11
1,6,14,74,2,4,4.8,6,556108.78
0,3,2,151,3,20,3.9,3,434170.95
1,1,5,152,1,19,4.4,2,417066.6
1,25,17,225,1,18,2.2,0,407897.56
1,16,13,359,3,20,2.2,4,442778.23
0,6,7,351,1,18,1.7,6,688762.69
3,18,10,14,4,10,3.7,0,352357.08
1,4,18,271,3,5,3.2,4,547945.55
1,15,3,92,1,6,5.0,1,536122.23
0,9,9,66,4,16,1.2,5,672003.23
0,10,14,163,4,15,3.7,1,901644.53
3,24,10,307,3,4,3.7,3,778283.53
1,19,6,222,1,20,2.3,6,453101.55
0,13,3,152,1,9,3.5,6,366488.74
1,11,6,213,3,17,4.7,0,567477.4
3,15,13,34,3,16,1.7,5,901491.31
0,25,17,110,2,10,4.2,1,1064837.13
3,16,11,272,3,15,4.4,2,577114.1
1,24,7,284,2,19,3.7,2,580005.92
1,19,3,283,3,13,4.4,5,538024.75
1,24,8,221,3,10,4.5,5,588430.7
2,7,10,108,1,10,3.7,3,344991.63
0,8,8,282,1,18,4.4,3,767979.4
2,9,12,297,1,3,1.8,3,289421.43
0,3,17,388,4,5,3.8,5,1172830.29
2,20,15,367,1,19,2.2,3,363867.02
1,18,16,78,2,17,4.4,6,532474.29
3,15,4,189,3,15,2.2,4,833923.68
1,15,13,333,1,4,1.7,6,399877.88
0,23,7,13,4,4,1.3,5,617045.72
3,21,4,271,2,19,1.5,1,594654.02
2,2,5,84,3,4,4.0,0,225603.74
3,16,10,164,4,11,2.7,0,416658.31
1,9,12,99,2,4,1.7,5,403991.14
2,1,2,0,4,6,3.0,1,233085.66
2,11,2,283,2,11,4.0,3,341372.92
1,22,14,112,1,13,3.7,1,521248.3
0,15,3,313,4,5,4.2,1,485013.7
1,17,12,284,1,16,4.4,6,501176.03
3,10,7,127,4,8,5.0,5,848039.81
2,7,4,61,2,13,4.6,4,272110.39
2,9,11,97,1,18,3.8,1,213709.78
0,15,15,277,3,14,1.1,1,946788.31
0,1,7,320,3,3,2.0,4,659850.33
1,8,17,64,4,12,3.0,0,411607.62
0,23,8,180,3,14,2.2,5,797826.04
1,10,18,139,2,11,3.6,5,447251.67
2,21,7,210,2,8,2.7,6,415254.29
2,25,6,316,2,3,3.0,5,432505.17
2,16,15,153,3,17,3.5,4,368766.19
2,9,2,60,2,8,2.4,6,355031.78
1,2,5,125,4,19,2.7,2,387248.13
3,12,17,40,4,17,4.0,3,644175.42
0,14,3,126,4,20,4.5,6,441059.15
3,1,12,73,1,7,2.4,4,683564.38
1,9,14,343,4,16,2.2,0,433028.68
3,25,10,323,1,19,1.6,5,927566.0
3,11,11,364,1,20,3.9,3,682106.68
0,14,18,156,3,6,4.8,3,1155985.11
3,24,16,106,4,11,2.3,2,564101.47
2,20,15,91,1,20,4.3,2,261930.18
1,1,11,274,1,14,4.0,0,538983.61
0,23,4,199,4,6,4.8,6,472992.54
1,14,5,399,4,3,1.2,1,358150.33
3,7,7,399,4,18,3.6,5,845107.57
2,14,8,160,2,15,2.5,2,285739.76
1,17,13,217,4,3,3.8,5,552232.79
1,12,17,65,2,11,2.4,4,470112.19
3,2,15,386,3,14,3.8,3,685686.6
1,16,3,43,1,16,1.3,3,362322.43
2,22,9,70,4,18,3.3,3,254860.09
2,21,12,356,4,9,4.4,2,375531.14
0,23,6,8,3,5,1.8,0,514488.11
1,21,9,148,1,13,3.8,1,512634.73
1,23,15,265,4,8,3.1,5,582117.63
1,9,11,121,1,19,4.2,6,629498.8
3,10,14,353,2,6,3.3,2,660993.86
1,12,18,329,2,8,1.8,2,377840.04
3,9,3,7,2,13,1.5,3,685785.49
1,21,17,7,4,12,2.7,5,493856.82
1,21,13,305,2,9,4.6,6,614735.91
2,9,2,293,2,14,2.3,1,365618.24
3,19,11,119,4,8,3.5,5,947485.63
2,24,2,17,4,14,2.0,2,270422.77
1,10,12,278,2,10,4.3,4,517783.12
2,7,9,288,1,4,2.0,0,342718.23
2,18,15,253,4,10,1.4,3,286717.78
0,10,18,138,2,6,3.1,4,1074388.92
2,18,6,349,3,18,2.3,1,360132.39
0,25,9,17,1,18,3.4,5,694266.9
2,8,13,385,3,14,4.9,4,381531.54
0,22,13,257,3,7,2.6,1,860415.23
3,9,16,396,1,13,4.6,4,799749.9
0,21,15,177,3,12,2.9,6,1048584.89
2,15,17,227,1,8,2.9,2,349258.09
3,5,17,236,1,19,4.9,4,756597.94
0,4,9,335,3,12,1.1,3,738918.37
1,5,17,352,4,11,3.2,5,512655.21
2,5,3,365,2,15,2.8,4,442219.45
3,14,12,41,2,6,3.5,6,1063772.75
3,19,11,170,1,17,4.0,4,870013.77
0,19,11,395,2,6,4.7,3,855868.02
3,5,4,8,1,20,4.0,5,883971.79
2,25,3,104,2,6,3.0,6,408537.47
1,16,13,115,1,4,2.9,6,458392.98
3,17,17,250,3,5,3.3,5,937472.22
1,23,5,58,1,6,3.0,1,455679.22
0,24,9,246,2,17,2.5,2,792161.71
0,16,16,398,3,6,4.8,5,1096953.58
3,4,4,213,1,20,4.5,6,914302.57
0,24,5,350,4,17,4.3,4,576057.24
0,15,18,36,1,15,1.8,5,1203697.98
2,13,13,6,1,14,1.3,2,247022.32
1,2,6,54,2,12,2.3,6,390644.34
1,19,9,192,4,19,2.1,4,472927.13
1,21,18,264,1,7,1.1,5,474763.03
1,11,5,305,1,15,4.0,0,494858.26
1,11,18,291,2,14,2.6,5,443307.04
2,21,17,311,2,8,2.1,3,358144.97
0,24,16,197,1,3,5.0,2,1019483.18
3,3,14,54,4,14,1.3,4,829295.34
3,23,17,197,3,15,2.4,0,426924.56
2,2,5,18,1,7,5.0,4,286766.72
1,7,18,38,4,10,1.7,5,354096.56
0,18,11,56,3,14,1.5,5,786287.03
3,11,4,278,1,3,2.4,3,704355.85
2,19,14,75,4,3,1.8,4,230404.44
0,10,16,378,3,9,3.0,1,1119204.54
0,18,13,71,2,4,2.5,1,939371.67
3,6,10,200,2,10,4.9,2,619654.22
1,4,8,203,2,13,1.7,6,480660.74
2,16,7,310,4,17,2.5,0,296457.76
1,6,13,358,2,4,2.8,5,443994.5
3,17,5,326,2,11,3.9,3,714376.0
1,6,7,44,2,4,4.4,5,436952.63
1,18,6,2,2,12,1.5,4,371939.56
2,13,3,3,2,9,3.9,3,221993.58
1,19,6,392,3,15,2.5,5,432399.0
3,16,4,55,4,10,1.4,5,954857.55
1,13,7,272,4,10,1.9,0,334852.97
2,22,16,106,3,5,2.2,1,221335.05
3,24,6,83,3,9,1.2,0,506515.65
3,10,2,56,4,18,3.3,2,678525.02
2,24,6,217,3,9,1.7,1,297049.06
3,11,14,326,1,4,4.7,6,1121403.37
3,20,3,395,3,9,4.7,2,602764.97
1,6,7,129,4,17,3.6,4,450115.91
3,5,18,51,1,20,3.1,6,972563.61
3,10,16,169,3,18,5.0,6,1053790.34
0,16,7,162,2,4,3.1,0,638248.6
3,21,8,300,4,15,1.2,6,1022196.23
1,15,7,225,1,17,2.8,6,492329.05
1,19,8,259,2,5,4.2,4,564579.05
3,11,2,357,2,13,3.9,4,698632.89
1,4,12,110,2,3,3.1,2,407100.8
2,7,2,280,3,8,3.4,6,442060.26
3,10,6,264,2,4,2.9,4,765798.74
2,10,13,163,2,19,2.4,0,270271.55
1,6,13,25,4,7,1.5,2,388429.43
3,1,17,258,4,17,4.6,6,1017064.39
2,6,7,173,1,13,2.4,0,251972.26
0,7,7,20,4,10,4.4,6,642015.84
0,15,11,284,2,18,4.5,4,954011.26
1,5,8,231,1,18,3.1,5,380581.71
2,24,14,89,1,19,3.5,3,300036.35
3,23,6,41,3,12,2.4,2,582597.92
0,21,2,86,2,12,1.7,5,456928.79
0,3,7,124,2,8,4.1,1,657090.14
3,22,6,102,4,18,2.2,0,467173.44
0,1,14,104,3,5,3.8,2,958341.33
0,13,2,23,3,12,4.0,3,315471.12
3,16,9,15,3,19,2.0,6,1041302.43
2,1,16,217,3,6,2.8,2,275796.21
0,10,12,102,1,12,1.2,6,876114.14
2,17,2,356,4,17,1.8,6,420439.71
2,4,5,287,4,15,2.2,2,306533.11
0,23,17,313,3,3,1.4,2,1093775.51
1,24,12,108,4,7,1.4,3,401059.54
1,18,17,168,2,4,3.7,3,518057.83
2,15,8,284,2,19,4.6,6,398032.98
0,5,3,243,4,16,2.9,0,399215.91
2,7,16,1,3,11,4.1,4,274415.69
0,7,15,246,4,5,3.3,1,1064838.66
1,10,12,336,1,15,2.0,0,397180.97
0,25,15,142,2,12,1.1,4,990530.46
3,18,18,171,3,18,4.7,2,714291.6
3,6,14,361,2,18,5.0,5,787665.79
0,4,15,352,4,7,1.3,1,1000676.37
2,13,10,233,4,3,2.2,5,382085.74
1,12,4,184,1,11,2.4,5,449392.95
2,13,8,299,3,11,1.1,5,297976.93
0,12,13,46,2,20,2.2,4,973004.36
3,24,12,382,1,4,3.5,6,1022457.37
2,6,4,396,3,8,4.2,1,304993.19
1,18,5,103,4,16,3.6,4,553952.07
2,18,12,254,1,10,4.5,6,388103.24
2,8,9,25,3,20,1.0,6,364678.05
3,9,2,228,3,3,1.9,6,922770.1
3,5,11,219,1,7,3.3,4,748555.33
1,15,14,160,3,3,3.0,1,479181.56
3,1,18,385,1,8,4.2,5,961289.97
1,24,10,71,4,12,1.3,5,412276.75
1,22,7,25,3,14,3.5,5,519790.53
2,23,17,103,2,15,2.8,1,228401.54
2,20,3,268,2,4,1.5,2,344764.75
2,10,7,246,4,19,3.9,1,250469.14
1,4,6,128,3,20,1.4,0,375864.04
1,5,14,207,4,5,3.1,2,410917.36
2,16,16,315,3,12,4.7,1,339387.91
0,19,3,151,3,4,3.7,2,459844.63
1,14,17,320,1,5,3.5,1,501454.19
0,6,2,282,2,8,3.1,3,479163.46
2,8,4,75,3,14,1.9,5,321544.0
1,23,6,392,1,13,1.7,2,426656.51
0,7,15,164,3,13,1.6,1,923919.45
3,9,4,1,3,7,4.3,4,833685.27
3,18,3,120,4,8,2.3,2,654078.34
0,1,6,12,3,14,3.4,0,543505.14
0,2,8,204,1,17,1.5,3,713621.09
0,20,6,103,2,3,1.5,1,616597.47
3,12,14,364,2,9,4.9,5,930242.47
3,16,16,171,1,10,3.9,1,434050.83
1,15,5,318,1,18,3.9,1,580737.58
0,18,8,3,2,7,1.5,2,665440.63
2,21,15,78,1,3,4.3,0,195465.65
2,25,12,185,2,9,2.4,1,319003.87
2,8,10,188,2,19,4.7,5,356218.23
2,24,6,33,4,6,4.9,4,298187.58
0,17,17,6,4,5,3.2,5,1045669.65
3,3,18,20,2,13,2.5,0,364112.72
2,20,3,136,4,8,2.7,5,293614.17
2,1,2,100,2,15,4.0,6,396564.45
1,22,8,301,3,12,2.1,5,436575.68
3,4,17,23,1,20,1.5,4,823912.76
3,8,11,85,3,5,2.5,2,654167.47
2,17,17,99,2,14,3.4,2,318679.83
1,11,13,129,4,17,3.6,5,474152.83
1,6,12,193,3,10,4.5,4,525272.7
1,22,11,392,3,13,3.3,3,523927.4
2,21,8,77,4,13,1.1,4,301007.37
3,12,14,68,4,16,2.8,0,515586.71
2,3,6,148,2,20,1.2,2,255862.81
2,2,7,213,2,5,4.5,3,275373.41
0,2,3,398,3,19,3.0,5,538806.57
2,24,7,282,2,7,1.4,5,406785.32
1,8,16,202,2,3,4.7,3,526729.12
1,11,11,162,4,12,2.0,1,468480.83
1,18,9,105,2,15,3.8,3,581257.29
0,2,9,102,3,17,1.1,4,682325.36
1,7,9,91,3,9,1.4,5,347896.78
0,7,7,155,1,5,3.0,6,616374.91
1,20,17,379,3,10,4.5,6,537033.04
1,10,10,303,3,20,1.7,4,409036.89
1,25,15,107,1,9,1.7,2,426457.57
2,19,16,205,1,18,1.5,5,354459.01
1,3,6,104,2,13,4.6,3,574907.33
1,2,10,366,2,3,4.3,3,458997.17
2,8,6,245,4,3,4.4,3,382602.63
3,1,12,288,2,10,1.6,0,366135.31
1,8,11,97,1,5,4.9,6,601130.62
0,3,15,151,2,16,1.1,6,985590.92
2,3,18,301,2,10,2.8,2,370148.58
0,15,15,307,2,18,2.3,0,1022162.25
3,17,14,185,1,7,1.1,2,785909.14
0,15,15,391,2,11,4.8,2,1064529.74
2,12,11,176,1,13,2.5,3,256830.5
2,24,9,384,4,6,4.6,3,378034.19
3,3,14,179,3,8,4.3,3,675032.55
0,11,2,57,1,9,3.1,2,390179.24
2,7,11,61,4,10,4.8,1,244836.37
3,25,13,144,2,15,3.5,1,573848.1
3,15,9,32,4,12,3.7,0,434951.43
1,25,14,84,1,7,4.9,2,570817.8
1,5,14,155,3,5,4.6,6,579062.73
0,7,6,118,2,10,2.7,2,676463.59
0,14,18,297,4,18,3.2,2,1116189.78
1,17,17,144,4,10,2.3,4,364449.11
0,9,5,89,3,14,1.8,6,479281.03
1,16,13,95,1,9,4.0,5,521742.64
1,12,12,115,3,4,2.0,5,418939.24
3,8,12,393,4,14,1.3,5,855947.55
2,20,6,278,1,18,3.8,5,387025.06
1,2,12,373,4,3,1.3,5,318235.85
3,2,8,377,1,16,3.4,5,782642.29
1,20,3,112,4,14,4.5,2,648464.08
1,3,14,107,3,19,4.1,6,495677.56
1,9,16,289,4,7,3.5,5,429568.36
3,21,9,274,3,20,2.4,2,632184.53
2,7,18,368,4,15,2.2,5,350827.8
2,1,18,163,1,7,4.6,6,347938.95
0,7,12,328,4,5,4.2,3,921118.68
3,25,14,22,3,12,4.7,0,473694.88
2,13,3,358,3,13,3.9,3,383575.49
2,2,17,76,1,19,3.9,3,269628.53
0,5,3,296,2,13,4.7,4,537101.12
1,7,8,325,3,13,2.8,2,452617.27
0,5,8,152,1,3,3.0,1,669601.96
1,11,2,332,1,3,1.0,1,368350.74
0,22,3,341,1,6,2.4,3,470331.45
0,13,6,88,2,9,1.0,5,604724.83
1,16,15,271,4,10,3.3,0,454734.93
2,1,3,78,2,12,3.7,5,367851.24
0,13,15,151,3,17,3.5,0,929034.69
1,3,17,190,2,14,2.0,4,375854.87
0,25,12,184,1,4,1.5,2,902174.38
3,6,5,215,4,13,1.8,2,532163.42
1,1,7,21,1,17,3.0,2,466134.52
3,16,7,252,2,5,3.2,3,703720.57
1,7,8,138,4,3,4.7,0,530903.79
1,24,10,127,3,11,2.6,1,509034.91
2,6,4,55,3,13,2.6,3,299805.09
3,10,7,302,1,20,2.7,6,968999.66
3,2,9,83,2,13,2.0,5,904217.08
1,10,6,394,1,4,2.4,2,474701.63
2,21,5,382,4,20,4.2,5,387834.32
0,24,15,291,1,13,1.3,6,1130180.6
0,24,3,335,2,16,4.5,2,546369.63
2,3,12,28,1,19,1.1,6,366050.65
2,20,11,186,2,16,2.7,1,236260.84
1,10,2,55,1,12,2.2,5,392941.57
1,17,2,72,4,6,1.9,4,359068.54
3,9,10,149,2,14,1.5,6,942318.33
1,15,8,271,1,7,4.6,5,565007.21
0,17,9,380,1,4,4.2,3,709095.95
0,4,14,88,1,20,4.6,1,908849.66
3,1,10,27,3,9,2.9,0,346052.6
2,15,4,324,1,11,3.3,6,452356.4
3,25,10,389,3,4,5.0,3,759517.76
3,6,6,286,2,11,3.2,1,439230.97
1,4,5,244,3,10,2.3,4,413961.54
1,12,17,306,4,8,3.9,4,558297.34
2,18,11,105,3,20,2.7,4,242638.89
0,20,11,342,1,4,4.2,0,835101.48
1,7,11,181,4,3,1.4,4,283818.34
2,23,17,108,3,19,3.1,4,304480.41
1,11,11,98,1,19,4.0,1,534186.22
1,5,7,29,3,19,3.7,0,538140.56
1,5,2,131,4,5,3.8,6,523316.91
1,2,3,31,2,18,3.7,4,511156.03
3,16,14,14,1,14,4.7,5,845598.17
1,11,12,275,4,20,1.7,1,322323.67
1,9,15,114,3,12,2.2,4,382523.42
1,15,17,358,1,19,1.4,4,387167.94
2,16,9,74,4,9,1.3,5,330193.25
1,9,5,22,3,15,2.3,1,425108.1
3,9,14,168,1,4,4.4,0,314809.98
1,8,6,104,1,11,1.3,3,348975.54
2,10,16,330,2,8,1.4,0,301786.6
0,9,4,284,2,17,4.0,0,447279.61
1,8,11,185,4,20,2.7,6,470533.17
3,3,4,235,3,19,2.1,5,885732.12
2,9,13,164,4,13,4.7,4,300728.54
3,4,13,357,3,14,4.5,2,538194.62
0,20,5,138,1,11,2.5,0,571402.04
1,10,14,38,4,19,2.9,1,511379.46
3,21,3,265,2,15,4.2,0,425550.46
2,1,18,151,2,15,3.8,6,367530.89
3,16,3,208,4,13,2.8,2,669420.18
1,16,18,62,2,13,3.0,5,476513.56
0,12,16,337,3,16,4.6,4,1058462.01
3,10,15,63,2,16,2.7,5,1006796.32
3,11,3,149,4,3,4.7,5,877000.72
0,23,9,271,2,18,4.4,4,648380.75
2,1,4,101,2,16,4.6,6,373016.2
0,7,16,320,3,13,4.3,6,1096938.49
2,25,16,110,1,14,3.7,4,340969.68
2,2,17,8,1,19,3.2,0,182591.14
1,19,10,140,4,15,1.3,3,384857.92
3,19,10,9,4,11,2.8,2,634027.35
3,18,13,228,3,14,3.4,2,570447.95
1,25,4,115,4,19,4.2,0,593664.88
0,8,6,388,1,5,2.9,0,565323.53
0,2,15,256,2,18,1.1,6,1024886.96
3,16,15,220,4,17,3.4,2,539645.5
1,3,18,327,4,6,4.9,4,530608.6
1,1,5,383,3,3,3.2,0,405688.45
1,19,14,87,3,17,1.2,2,287512.75
3,9,2,16,3,14,2.2,4,808819.12
3,12,15,374,2,17,1.3,1,485033.05
0,10,11,252,3,7,4.7,1,776768.32
0,24,13,323,3,11,1.0,4,963667.7
3,23,14,316,4,14,4.1,2,615995.6
3,22,18,56,2,20,4.8,6,900254.77
1,8,7,29,3,12,4.7,4,616235.79
0,3,4,276,4,4,4.7,2,570781.11
2,24,7,364,1,3,2.2,2,338717.85
1,19,12,381,3,8,2.3,4,467914.93
3,2,7,25,2,11,3.4,4,751849.08
3,24,14,298,4,15,5.0,1,610153.19
3,4,11,272,4,14,1.5,2,527647.33
2,3,16,257,1,19,2.0,2,344093.06
2,25,2,188,4,9,4.5,3,329190.86
3,6,16,358,2,8,1.5,0,348975.14
2,5,8,210,3,9,2.8,0,277552.67
2,11,6,312,1,9,4.6,0,311498.94
2,14,14,394,4,15,4.9,3,373920.11
0,7,11,328,3,5,3.8,5,854332.64
1,25,16,1,4,16,4.6,6,667239.76
0,6,8,206,2,3,4.2,4,732501.44
0,1,12,305,2,13,2.3,5,863001.18
0,22,7,204,2,7,1.8,1,684908.14
3,14,16,377,1,6,1.5,6,963923.62
0,1,2,238,1,8,1.2,4,522081.72
2,1,6,382,1,19,4.7,0,301764.38
0,1,2,159,2,12,4.6,2,411914.02
3,11,3,328,4,19,2.7,3,776231.25
3,20,4,42,1,20,4.2,1,469753.75
0,14,11,270,1,18,2.1,3,839360.4
0,24,10,213,4,19,3.4,3,761657.68
0,15,11,60,2,14,3.3,0,778471.78
1,22,18,330,2,5,2.8,5,439471.43
0,11,17,114,3,7,3.6,2,1222714.97
1,25,5,146,2,19,4.8,5,603172.99
2,24,2,355,3,7,1.8,5,411151.61
2,16,17,378,2,12,3.5,2,350770.94
1,10,14,312,1,9,1.7,5,445727.35
0,19,14,53,4,20,4.4,1,830318.2
1,18,12,30,1,16,4.9,0,651293.79
2,16,15,46,2,13,4.3,0,184186.39
2,6,12,304,1,20,3.5,3,285736.39
0,11,5,58,4,5,4.9,6,608820.61
0,17,8,89,4,15,2.0,4,722094.92
2,20,4,112,4,12,3.5,6,314526.83
0,4,5,78,1,14,2.2,6,557503.35
0,3,13,0,3,5,1.8,4,907298.61
0,1,5,188,1,6,2.8,1,469601.54
2,23,10,150,4,7,1.5,4,368973.0
1,9,4,293,4,13,4.5,6,544332.07
1,17,15,368,1,16,4.6,0,586373.74
0,6,18,395,3,8,3.8,0,1160877.09
1,1,14,51,2,12,3.2,4,490072.21
2,18,3,86,1,15,3.7,0,241118.97
2,18,8,96,1,19,1.9,6,377461.67
3,4,3,120,1,8,3.2,1,404384.65
3,1,2,199,4,18,5.0,6,1000010.63
3,23,11,11,1,12,4.1,3,749310.46
2,16,15,380,3,4,3.3,0,234508.46
0,2,8,111,3,17,1.6,0,676844.2
2,20,9,297,1,11,2.2,0,319176.11
1,19,15,19,2,11,1.7,5,347483.81
3,20,4,86,3,20,2.6,3,717008.52
3,8,18,222,1,15,3.7,2,762907.65
1,24,15,354,1,9,3.9,6,593308.21
0,12,12,343,4,8,3.9,1,917892.89
1,1,11,79,4,6,3.3,4,365950.78
2,16,2,274,1,11,3.7,2,392097.96
3,16,2,0,4,8,4.8,4,835910.24
2,16,18,337,1,10,1.0,0,271475.58
2,18,2,110,2,9,1.8,6,390964.13
1,9,8,333,3,18,4.6,5,531260.74
0,16,13,144,1,15,4.4,4,902142.23
3,9,4,226,1,20,2.5,0,436378.66
2,4,14,16,4,4,4.5,4,281496.66
1,3,8,93,2,15,1.5,2,348058.82
3,9,3,182,4,7,1.7,0,363641.37
2,22,5,48,1,4,4.1,1,255502.24
0,12,5,372,1,11,3.6,6,635817.26
2,24,6,68,1,11,3.7,2,309201.33
3,5,16,332,1,15,2.3,2,628502.01
1,24,5,153,2,3,4.9,4,627138.81
2,7,5,162,3,10,4.0,5,344047.86
2,18,12,315,2,10,4.4,1,293147.08
2,4,12,142,1,11,2.8,4,338795.35
1,16,5,83,1,3,1.4,5,329037.26
3,7,16,53,4,11,1.1,5,953916.15
2,14,11,111,3,7,1.6,5,329656.58
0,19,2,295,4,18,4.6,5,482615.73
3,23,12,208,3,13,4.2,5,982642.7
2,19,9,269,4,18,3.7,1,309579.69
2,24,10,280,4,14,1.1,1,271613.88
0,4,10,254,4,8,2.0,4,813462.73
1,22,7,337,4,18,3.5,4,587913.38
0,7,18,287,2,15,3.9,5,1123495.26
1,22,2,284,4,7,2.3,6,482302.04
1,3,14,140,2,4,3.5,3,524106.8
0,12,16,39,3,16,2.6,5,1089180.77
3,1,5,233,3,11,1.0,5,976255.12
1,23,13,253,1,18,4.2,4,601283.67
3,3,8,370,4,20,2.7,6,987866.7
0,2,2,234,3,20,2.5,6,459723.82
2,12,4,266,1,14,3.2,0,341088.08
3,20,5,165,1,17,2.8,4,695281.49
2,13,4,42,2,17,4.4,2,224944.16
1,16,8,300,4,11,2.2,0,457765.56
2,11,6,193,2,18,2.6,0,240978.89
2,11,17,233,1,14,2.6,3,287368.08
2,18,9,63,3,9,4.8,2,211830.43
0,2,16,109,1,20,2.7,5,1016826.73
1,11,18,215,4,5,1.4,5,373967.5
2,16,16,106,2,17,2.9,5,333827.82
2,3,14,34,4,9,3.8,0,169716.7
3,15,4,96,3,15,2.9,0,385492.65
2,16,12,183,2,13,3.1,0,301055.3
2,1,18,95,1,15,1.5,3,284904.08
2,22,18,35,3,3,1.4,4,259129.85
2,8,2,141,4,7,2.3,3,259607.9
2,19,14,28,1,8,4.6,6,300397.9
3,10,10,400,1,14,4.9,3,706126.29
0,2,5,146,3,17,3.8,5,556245.88
2,6,17,94,4,9,1.6,1,266675.34
3,20,8,323,4,14,1.1,4,911481.7
1,19,6,221,3,5,4.6,2,574029.59
0,21,10,361,1,17,4.2,4,845737.19
0,3,9,31,4,12,2.3,4,772718.14
0,9,13,266,2,20,1.5,1,901760.07
2,16,5,342,1,20,1.4,5,367063.3
0,24,17,275,1,4,3.8,2,1034588.97
1,25,15,259,1,15,2.6,3,526553.21
1,6,11,20,2,12,2.0,3,417753.6
1,9,15,161,1,10,4.3,2,589227.88
1,25,15,386,2,17,4.2,2,524173.0
3,7,18,191,2,20,4.6,2,529776.06
2,3,2,75,3,14,3.6,3,278721.67
0,19,7,135,4,7,2.9,3,527405.64
0,5,10,65,3,9,2.3,0,668833.38
3,23,3,74,2,3,3.9,4,775321.87
1,2,16,265,3,12,2.9,6,393712.92
2,17,10,113,4,11,3.7,2,268891.42
1,6,12,343,1,5,1.3,4,391139.4
3,1,12,249,4,16,2.5,2,579969.9
2,25,5,321,2,20,3.0,5,441178.62
2,10,18,109,2,6,2.1,6,386828.42
1,25,17,273,3,13,4.9,3,599531.9
0,13,5,306,2,11,3.3,5,577087.32
3,22,6,323,1,11,3.8,2,655754.8
1,16,11,124,2,12,2.5,0,423591.95
2,24,16,88,3,20,4.3,2,280080.19
3,24,4,329,2,6,1.5,5,934714.26
0,17,16,221,3,5,4.9,0,983373.78
3,18,9,310,3,8,4.9,0,399166.5
0,10,7,272,2,7,1.5,1,614628.84
0,22,17,199,4,15,2.2,2,1155258.92
0,1,3,358,2,9,4.0,4,472228.59
0,12,18,303,4,18,3.8,6,1222459.07
1,22,3,262,1,5,2.4,1,423880.53
2,25,11,58,3,17,3.4,5,248127.83
3,21,6,387,2,20,1.0,1,551737.48
1,24,3,396,2,17,3.7,4,533139.79
2,20,5,153,4,10,1.7,6,369966.92
0,8,13,175,3,14,2.3,1,833838.99
3,9,8,371,2,16,3.0,4,865554.53
1,9,5,175,2,19,2.6,0,412083.38
2,16,8,133,2,13,1.5,4,298785.22
1,10,14,395,3,12,2.7,3,466557.15
2,8,3,177,1,15,4.2,0,269501.48
1,22,16,4,4,3,1.8,5,445587.43
2,18,14,313,2,5,2.6,6,459394.97
2,23,13,62,3,9,1.7,0,194867.27
2,21,17,151,4,6,4.6,6,363617.97
1,6,6,397,1,15,3.3,4,494445.45
2,17,12,303,4,15,1.7,6,410025.62
1,21,2,30,4,17,3.9,6,541518.08
3,11,10,73,4,19,1.8,5,846201.7
2,11,10,180,1,8,3.1,0,244923.29
3,16,7,212,4,4,3.6,0,428527.13
3,17,15,70,2,3,2.9,6,1101088.13
2,18,3,41,3,5,1.6,2,230820.54
1,13,14,370,3,14,4.3,6,566290.09
3,13,13,178,2,9,4.1,2,603511.03
