location_tier,trainer_level,club_name,members_count,avg_monthly_fee,service_years,high_profit
Окраина/промзона,элита,Тренерский центр,1647,5181,9.0,1
Окраина/промзона,элита,FlexForge Light,787,11135,6.6,1
Спальный район,средний,Лёгкая атлетика +,2081,5696,23.7,1
Спальный район,средний,Тренерский центр,400,2072,18.2,0
Спальный район,профи,Тонус-клуб Коломенская,721,11024,5.6,1
Спальный район,элита,Спартанец,2087,6253,11.3,1
Спальный район,профи,FlexExpress Химки,2752,8582,19.9,1
Спальный район,средний,Железная тяга,1911,5502,13.7,1
Окраина/промзона,средний,SportFlex Крылатское,987,7129,16.3,1
Окраина/промзона,профи,Качалка на районе,259,9917,18.9,0
Окраина/промзона,новички,FlexForge Ultra,777,5700,15.6,1
ТЦ/бизнес-центр,профи,Домашний фитнес,520,3497,13.5,1
Спальный район,средний,FlexForge Studio,1658,10463,18.8,1
ТЦ/бизнес-центр,профи,FlexForge Studio,2237,8922,18.2,1
Спальный район,новички,FlexForge Premium ВДНХ,1122,6024,15.8,1
Спальный район,профи,Домашний фитнес,1609,10125,9.1,1
Окраина/промзона,средний,Лёгкая атлетика +,1894,4907,10.2,0
Спальный район,профи,Домашний фитнес,768,8231,24.3,1
ТЦ/бизнес-центр,новички,Элит-фитнес Рублёвка,1301,9295,2.9,1
ТЦ/бизнес-центр,профи,FlexForge Basic Выхино,726,10557,6.8,1
Окраина/промзона,профи,Ритм-фитнес Кунцево,2771,4293,12.4,1
Спальный район,профи,Олимпийские надежды,2860,8834,20.9,1
ТЦ/бизнес-центр,профи,Здоровая спина,2372,4411,4.2,1
ТЦ/бизнес-центр,профи,FlexForge Basic Выхино,1070,9452,7.0,1
Окраина/промзона,профи,Фитнес-хаус,479,3915,1.7,1
ТЦ/бизнес-центр,средний,FlexForge Gym,2869,1750,17.7,1
Окраина/промзона,профи,Ритм-фитнес Кунцево,2092,6451,6.0,1
Окраина/промзона,средний,FlexForge Lux Патрики,1951,9598,9.8,1
ТЦ/бизнес-центр,новички,FlexExpress Химки,873,6789,11.1,1
ТЦ/бизнес-центр,новички,Заводной фитнес,1351,9602,22.3,1
Окраина/промзона,средний,FlexForge Basic Выхино,2561,8757,10.3,0
Спальный район,профи,FlexForge Gym,531,7065,3.7,1
Спальный район,профи,Элит-фитнес Рублёвка,1373,7937,13.2,1
Окраина/промзона,профи,Олимпийские надежды,2239,10610,24.1,1
Окраина/промзона,средний,FlexForge Metro,1677,2673,15.2,1
Окраина/промзона,средний,Тренерский центр,235,10124,24.6,0
Окраина/промзона,новички,Фитнес-хаус,1908,2335,21.0,1
Спальный район,средний,FlexForge Studio,1643,11938,1.0,1
ТЦ/бизнес-центр,средний,Ритм-фитнес Кунцево,2453,3762,16.5,1
Окраина/промзона,новички,FlexForge Studio,2886,10589,7.2,1
Спальный район,средний,Фитнес-хаус,1579,6067,14.0,1
Спальный район,профи,Домашний фитнес,639,5315,7.1,1
Окраина/промзона,профи,FlexForge Gym,2976,1746,8.8,1
ТЦ/бизнес-центр,элита,Фитнес-планета,1319,3929,23.1,1
Спальный район,элита,Тонус-клуб Коломенская,363,10682,5.2,1
ТЦ/бизнес-центр,профи,Элит-фитнес Рублёвка,347,10618,21.9,1
Спальный район,средний,Адапт-фитнес,2541,6787,0.9,1
ТЦ/бизнес-центр,профи,Заводной фитнес,394,4107,2.4,1
ТЦ/бизнес-центр,профи,Фитнес-хаус,862,10766,21.4,1
ТЦ/бизнес-центр,новички,FlexForge Premium ВДНХ,679,7430,15.8,1
Спальный район,средний,Домашний фитнес,322,5522,18.7,1
Окраина/промзона,профи,FlexForge Premium ВДНХ,1623,6284,5.3,1
Спальный район,средний,Ритм-фитнес Кунцево,2946,8117,13.5,1
Окраина/промзона,профи,Качалка у Палыча,1164,4651,18.5,1
Спальный район,профи,FlexForge Basic Выхино,2908,7080,15.7,1
Спальный район,средний,Тонус-клуб Коломенская,1978,8554,11.8,1
Окраина/промзона,средний,Фитнес-хаус,1685,9206,24.0,1
ТЦ/бизнес-центр,средний,FlexForge Basic Выхино,2214,9119,16.9,1
Окраина/промзона,новички,FlexForge Premium ВДНХ,909,6073,22.7,1
ТЦ/бизнес-центр,новички,Адапт-фитнес,2643,4991,18.3,1
Окраина/промзона,профи,FlexForge Ultra,1111,2206,18.4,1
ТЦ/бизнес-центр,средний,FlexExpress Химки,1560,8497,2.1,1
Окраина/промзона,средний,Ритм-фитнес Кунцево,2564,6733,9.1,1
Спальный район,средний,FlexForge Light,1934,10445,21.5,1
Окраина/промзона,элита,FlexForge Studio,2023,7255,5.9,1
ТЦ/бизнес-центр,средний,FlexForge Premium ВДНХ,1779,8460,3.0,1
Спальный район,средний,FlexExpress Химки,880,10279,8.2,1
Окраина/промзона,элита,Адапт-фитнес,1533,2834,5.6,1
Спальный район,профи,IronFlex Pro,2742,7088,23.1,1
Спальный район,средний,Фитнес-хаус,755,3347,21.7,1
Спальный район,профи,FlexForge Light,809,8351,12.5,1
Спальный район,средний,IronFlex Pro,2356,8711,1.6,1
Спальный район,средний,Лёгкая атлетика +,571,9365,17.9,0
Спальный район,новички,Спартанец,815,4817,15.6,1
Окраина/промзона,новички,Адапт-фитнес,2114,11890,24.3,1
ТЦ/бизнес-центр,профи,Адапт-фитнес,2453,8311,14.0,1
Спальный район,средний,FlexForge Metro,1046,1664,8.5,1
Окраина/промзона,средний,Фитнес-планета,242,8560,13.0,1
Окраина/промзона,профи,Здоровая спина,1064,11690,24.5,1
Спальный район,профи,Лёгкая атлетика +,1468,4557,17.4,1
Спальный район,средний,FlexForge Metro,1578,11776,16.8,1
Спальный район,профи,FlexForge Light,984,5928,6.1,1
ТЦ/бизнес-центр,новички,Железная тяга,675,1902,18.6,1
Спальный район,профи,Здоровая спина,282,10105,18.8,1
Спальный район,профи,Лёгкая атлетика +,1333,9736,8.0,1
Спальный район,элита,Качалка у Палыча,2437,7849,12.1,1
ТЦ/бизнес-центр,новички,FlexForge Metro,999,5657,7.4,1
Окраина/промзона,новички,Здоровая спина,1135,2367,6.5,0
Окраина/промзона,средний,Лёгкая атлетика +,2498,9710,0.7,1
Спальный район,средний,FlexForge Metro,2538,1864,7.2,1
Спальный район,средний,Спартанец,1868,8967,13.9,1
Спальный район,элита,FlexForge Premium ВДНХ,525,8071,0.1,1
Окраина/промзона,средний,Лёгкая атлетика +,1734,2079,7.2,0
Спальный район,средний,Домашний фитнес,2185,9174,22.0,1
ТЦ/бизнес-центр,профи,Лёгкая атлетика +,2164,10237,14.9,1
Окраина/промзона,средний,Элит-фитнес Рублёвка,1036,7968,15.2,1
Окраина/промзона,профи,FlexForge Mini,707,5650,10.1,1
Окраина/промзона,новички,Тяжёлый вес,2978,4539,16.9,1
Окраина/промзона,средний,Адапт-фитнес,2319,5637,4.8,1
Спальный район,новички,Качалка у Палыча,1470,1952,20.5,1
Спальный район,новички,Фитнес-хаус,840,8037,3.0,0
Окраина/промзона,элита,Адапт-фитнес,2078,2881,16.4,1
Окраина/промзона,новички,Спартанец,807,9654,8.6,0
ТЦ/бизнес-центр,средний,Элит-фитнес Рублёвка,2158,2967,18.7,1
ТЦ/бизнес-центр,средний,Здоровая спина,765,4238,13.8,1
Спальный район,средний,FlexForge Gym,1567,9072,11.4,1
Окраина/промзона,элита,IronFlex Pro,2301,10908,4.3,1
Окраина/промзона,новички,FlexForge Mini,1953,8247,16.0,1
ТЦ/бизнес-центр,профи,FlexForge Studio,2775,2380,24.4,1
Спальный район,элита,FlexForge Gym,2858,4649,20.7,1
Спальный район,профи,Заводной фитнес,1781,9776,1.6,1
Окраина/промзона,элита,Фитнес-планета,2186,9392,9.5,1
Окраина/промзона,новички,Фитнес-планета,2440,5644,23.1,1
Окраина/промзона,средний,FlexForge Premium ВДНХ,2305,2668,12.6,1
Спальный район,средний,Адапт-фитнес,328,4629,16.6,1
Спальный район,профи,FlexForge Mini,2072,5145,22.8,1
Спальный район,элита,FlexForge Studio,905,4026,21.9,1
ТЦ/бизнес-центр,средний,IronFlex Pro,1051,5016,12.6,1
Окраина/промзона,профи,Заводной фитнес,207,4867,11.0,1
Окраина/промзона,средний,Ритм-фитнес Кунцево,2276,8838,8.6,1
Окраина/промзона,профи,Качалка на районе,1335,11886,18.0,1
Окраина/промзона,средний,Ритм-фитнес Кунцево,2378,5055,7.2,1
Спальный район,элита,FlexForge Studio,2435,6611,6.3,1
Окраина/промзона,профи,Заводной фитнес,1898,8252,9.0,1
Окраина/промзона,средний,FlexForge Metro,2956,1945,4.5,1
Окраина/промзона,новички,Олимпийские надежды,1698,7864,17.4,1
ТЦ/бизнес-центр,средний,Адапт-фитнес,2459,5126,15.4,1
Спальный район,средний,Ритм-фитнес Кунцево,1844,5516,12.1,1
ТЦ/бизнес-центр,средний,Ритм-фитнес Кунцево,475,5375,9.8,1
Окраина/промзона,элита,FlexExpress Химки,1902,6997,22.7,1
Спальный район,профи,Заводной фитнес,1995,7738,0.8,1
ТЦ/бизнес-центр,средний,FlexForge Light,442,1761,19.3,0
Спальный район,новички,Фитнес-хаус,2932,11540,22.6,1
Спальный район,элита,Качалка у Палыча,370,6492,11.2,1
Спальный район,профи,Элит-фитнес Рублёвка,852,5525,13.8,1
ТЦ/бизнес-центр,новички,Спартанец,2132,11958,23.6,1
Спальный район,профи,Олимпийские надежды,2435,9783,5.4,1
Спальный район,средний,Домашний фитнес,1309,5722,13.1,1
Окраина/промзона,новички,FlexForge Mini,1699,5675,11.9,0
Спальный район,средний,Тонус-клуб Коломенская,2299,10674,6.5,1
Окраина/промзона,средний,FlexForge Ultra,2358,4943,20.5,1
Спальный район,средний,Ритм-фитнес Кунцево,2172,6511,22.5,1
Спальный район,элита,IronFlex Pro,1266,2193,19.6,1
Окраина/промзона,профи,FlexExpress Химки,2458,9847,5.0,1
Спальный район,профи,Тонус-клуб Коломенская,2235,3312,2.3,1
ТЦ/бизнес-центр,средний,FlexForge Studio,1057,7224,15.2,1
ТЦ/бизнес-центр,средний,SportFlex Крылатское,2874,2907,1.5,1
Окраина/промзона,профи,Качалка на районе,1249,9532,16.9,1
Спальный район,средний,Фитнес-хаус,498,10908,13.3,1
Окраина/промзона,новички,FlexForge Mini,1123,2910,16.6,0
ТЦ/бизнес-центр,средний,Тонус-клуб Коломенская,336,4997,14.8,1
ТЦ/бизнес-центр,профи,FlexForge Lux Патрики,1243,5872,10.6,1
ТЦ/бизнес-центр,средний,Фитнес-хаус,2687,8894,5.1,1
Спальный район,новички,FlexForge Gym,410,2051,7.7,1
Спальный район,профи,Волна здоровья,2999,10868,13.2,1
Спальный район,средний,FlexForge Mini,1774,5832,16.3,1
Спальный район,средний,Лёгкая атлетика +,2682,2497,19.5,1
Окраина/промзона,средний,FlexForge Light,979,5576,19.2,1
Спальный район,средний,FlexForge Ultra,1430,7599,24.3,1
Спальный район,профи,FlexExpress Химки,2686,7055,7.2,1
Окраина/промзона,средний,FlexForge Light,2002,5552,1.9,1
Спальный район,средний,FlexForge Light,2913,6803,8.7,1
Спальный район,элита,FlexForge Studio,1265,9618,18.6,1
Окраина/промзона,элита,Фитнес-хаус,610,7602,11.0,1
Окраина/промзона,элита,Волна здоровья,2857,6990,20.5,1
ТЦ/бизнес-центр,средний,Адапт-фитнес,626,10064,13.8,1
Окраина/промзона,средний,Тяжёлый вес,1671,7116,23.3,1
Спальный район,элита,FlexForge Basic Выхино,1141,3748,23.7,1
Спальный район,профи,Адапт-фитнес,2107,2348,1.8,0
Спальный район,новички,Качалка у Палыча,941,7854,11.5,1
Окраина/промзона,новички,Ритм-фитнес Кунцево,1592,10195,15.3,1
Спальный район,средний,Качалка у Палыча,1443,9570,6.5,1
Спальный район,элита,FlexForge Studio,1800,10394,10.2,1
Спальный район,средний,Олимпийские надежды,1455,5125,17.0,1
ТЦ/бизнес-центр,средний,Тонус-клуб Коломенская,527,1814,5.7,1
ТЦ/бизнес-центр,новички,Тяжёлый вес,1666,3876,15.1,1
ТЦ/бизнес-центр,профи,Тренерский центр,2299,10732,17.5,1
ТЦ/бизнес-центр,профи,Домашний фитнес,2166,5878,2.4,1
ТЦ/бизнес-центр,средний,FlexForge Lux Патрики,575,9949,12.5,1
ТЦ/бизнес-центр,профи,Тяжёлый вес,462,2074,6.7,1
Спальный район,элита,FlexForge Gym,466,11244,18.1,1
ТЦ/бизнес-центр,средний,Волна здоровья,2606,7085,4.8,1
Спальный район,средний,Элит-фитнес Рублёвка,2144,6992,22.3,1
Окраина/промзона,средний,Здоровая спина,2093,10449,10.8,1
Спальный район,профи,Элит-фитнес Рублёвка,2101,4310,5.0,1
Спальный район,профи,Тяжёлый вес,2899,9634,11.0,1
ТЦ/бизнес-центр,профи,Домашний фитнес,1852,10796,10.3,1
ТЦ/бизнес-центр,профи,Элит-фитнес Рублёвка,1644,7170,10.8,1
ТЦ/бизнес-центр,средний,FlexExpress Химки,245,9215,14.7,1
ТЦ/бизнес-центр,элита,Домашний фитнес,799,8067,13.1,1
Спальный район,средний,Лёгкая атлетика +,919,4959,3.8,1
ТЦ/бизнес-центр,средний,Заводной фитнес,2112,7617,1.7,1
ТЦ/бизнес-центр,профи,FlexForge Gym,1492,5492,18.3,1
ТЦ/бизнес-центр,профи,FlexForge Gym,800,9337,14.0,1
Спальный район,средний,FlexExpress Химки,580,1703,9.0,1
ТЦ/бизнес-центр,элита,Адапт-фитнес,317,4275,20.2,1
Спальный район,элита,Фитнес-планета,2363,3492,9.8,1
Спальный район,средний,Фитнес-хаус,459,3743,19.9,1
Спальный район,элита,IronFlex Pro,1298,9998,7.7,1
ТЦ/бизнес-центр,новички,FlexForge Mini,1703,3187,1.9,1
Окраина/промзона,средний,FlexForge Lux Патрики,2552,5609,23.3,1
Спальный район,средний,Тонус-клуб Коломенская,2254,3360,9.9,1
ТЦ/бизнес-центр,элита,Заводной фитнес,565,11653,19.8,1
Окраина/промзона,профи,Здоровая спина,1857,6676,7.1,1
Окраина/промзона,средний,Здоровая спина,2770,2222,16.2,1
ТЦ/бизнес-центр,средний,Железная тяга,1661,10471,21.8,1
Спальный район,профи,IronFlex Pro,2224,10220,1.1,1
Окраина/промзона,новички,FlexForge Light,2676,6393,20.8,1
Окраина/промзона,элита,Домашний фитнес,990,1843,14.3,1
ТЦ/бизнес-центр,профи,FlexForge Metro,946,6898,15.2,1
ТЦ/бизнес-центр,средний,Здоровая спина,2614,9900,13.1,1
Спальный район,элита,Волна здоровья,512,6236,21.9,1
Спальный район,средний,Лёгкая атлетика +,737,4906,1.2,1
Спальный район,элита,Качалка у Палыча,1120,11003,6.6,1
Спальный район,профи,Железная тяга,1277,11991,21.9,1
Спальный район,профи,Ритм-фитнес Кунцево,1690,11639,18.8,1
Окраина/промзона,средний,Качалка на районе,2581,2419,0.5,0
ТЦ/бизнес-центр,элита,Адапт-фитнес,997,7319,13.0,1
Спальный район,средний,Тяжёлый вес,547,3544,13.3,0
Окраина/промзона,средний,FlexForge Metro,472,1918,10.1,0
Окраина/промзона,новички,FlexForge Gym,919,3249,7.5,0
Спальный район,профи,Заводной фитнес,1973,8878,17.1,1
Спальный район,средний,FlexForge Gym,2747,2599,5.3,1
ТЦ/бизнес-центр,профи,SportFlex Крылатское,884,4892,20.0,1
Спальный район,элита,Адапт-фитнес,2326,4272,20.1,1
Спальный район,новички,Здоровая спина,821,8284,10.4,1
ТЦ/бизнес-центр,профи,Лёгкая атлетика +,2239,3045,7.2,1
Спальный район,средний,IronFlex Pro,1146,2570,7.2,1
Спальный район,элита,Тренерский центр,2605,8022,12.1,1
ТЦ/бизнес-центр,профи,Качалка у Палыча,2865,3350,18.0,1
Спальный район,средний,Спартанец,706,6553,9.0,1
ТЦ/бизнес-центр,профи,Здоровая спина,1782,4439,15.3,1
Спальный район,средний,FlexForge Lux Патрики,2823,11595,9.6,1
ТЦ/бизнес-центр,средний,FlexForge Basic Выхино,443,8694,7.7,1
Окраина/промзона,профи,Железная тяга,705,7351,0.7,1
Спальный район,средний,Спартанец,621,8173,0.2,1
Спальный район,средний,FlexForge Studio,2464,2178,5.8,1
Окраина/промзона,средний,Домашний фитнес,2072,2488,10.2,1
Спальный район,профи,FlexForge Basic Выхино,1392,11299,21.3,1
ТЦ/бизнес-центр,средний,Качалка на районе,529,3002,20.0,1
Спальный район,средний,FlexForge Basic Выхино,849,3289,6.8,1
Спальный район,профи,Адапт-фитнес,1664,6781,6.2,1
Окраина/промзона,профи,FlexForge Light,590,6527,5.8,1
Спальный район,новички,Элит-фитнес Рублёвка,1719,2925,8.5,1
ТЦ/бизнес-центр,средний,FlexForge Studio,580,8154,12.5,1
Спальный район,новички,IronFlex Pro,941,3940,11.0,0
Спальный район,средний,Тонус-клуб Коломенская,2210,11734,5.5,1
Спальный район,средний,Тонус-клуб Коломенская,1019,8356,3.3,1
Спальный район,профи,Тяжёлый вес,872,8867,0.4,1
Спальный район,профи,FlexForge Mini,2760,10970,3.9,1
Окраина/промзона,профи,Тонус-клуб Коломенская,1971,4094,17.7,1
Спальный район,средний,FlexForge Light,1411,6189,6.2,1
ТЦ/бизнес-центр,профи,Тяжёлый вес,1129,3936,11.8,1
ТЦ/бизнес-центр,средний,FlexExpress Химки,1739,7017,14.8,1
ТЦ/бизнес-центр,элита,Домашний фитнес,1112,11897,22.2,1
ТЦ/бизнес-центр,профи,Домашний фитнес,843,10719,22.2,1
ТЦ/бизнес-центр,новички,Качалка на районе,626,7810,18.7,1
ТЦ/бизнес-центр,профи,FlexForge Basic Выхино,701,5039,1.0,1
Спальный район,средний,Качалка на районе,929,4983,14.4,1
ТЦ/бизнес-центр,профи,Элит-фитнес Рублёвка,1483,8871,19.7,1
Окраина/промзона,новички,Фитнес-хаус,2318,3741,0.5,1
ТЦ/бизнес-центр,средний,IronFlex Pro,2725,7878,13.8,1
Спальный район,элита,Лёгкая атлетика +,656,4265,21.5,1
Спальный район,средний,Здоровая спина,2436,10865,11.9,1
Окраина/промзона,профи,FlexExpress Химки,490,6411,0.2,1
ТЦ/бизнес-центр,средний,FlexForge Ultra,1119,1903,0.4,1
Спальный район,профи,Качалка на районе,2539,4882,10.5,1
Окраина/промзона,профи,Ритм-фитнес Кунцево,2169,5663,4.0,1
Окраина/промзона,средний,Здоровая спина,955,9130,16.6,1
Окраина/промзона,средний,Тренерский центр,1858,1587,17.7,1
Спальный район,средний,FlexForge Ultra,2034,10850,4.5,1
ТЦ/бизнес-центр,новички,Домашний фитнес,1506,7316,22.2,1
Спальный район,средний,Лёгкая атлетика +,1767,6970,11.1,1
Окраина/промзона,профи,Домашний фитнес,2069,7776,3.7,1
Спальный район,элита,SportFlex Крылатское,576,7239,19.1,1
Спальный район,элита,FlexForge Mini,1379,5773,19.8,1
Спальный район,профи,Фитнес-хаус,707,11073,16.0,1
Окраина/промзона,профи,Качалка у Палыча,1636,8023,21.4,1
ТЦ/бизнес-центр,профи,SportFlex Крылатское,2775,6503,18.5,1
Спальный район,средний,Качалка у Палыча,758,9538,22.1,1
Спальный район,элита,Домашний фитнес,2507,8106,10.9,1
Спальный район,профи,Адапт-фитнес,620,3564,18.7,1
ТЦ/бизнес-центр,профи,FlexForge Premium ВДНХ,1752,6815,25.0,1
ТЦ/бизнес-центр,новички,Домашний фитнес,503,1817,18.2,1
Спальный район,средний,FlexForge Light,1141,3002,2.9,1
Спальный район,средний,FlexForge Gym,2789,7630,13.0,1
Спальный район,элита,Спартанец,1501,8919,14.7,1
ТЦ/бизнес-центр,средний,Здоровая спина,1289,3542,4.4,1
Спальный район,средний,Олимпийские надежды,2355,6098,24.1,1
Спальный район,элита,FlexForge Light,2515,11714,4.5,1
ТЦ/бизнес-центр,новички,Тяжёлый вес,2469,1618,4.5,1
Спальный район,средний,FlexForge Lux Патрики,2027,2209,22.9,1
ТЦ/бизнес-центр,новички,FlexForge Metro,1753,5057,11.7,1
ТЦ/бизнес-центр,профи,FlexForge Studio,892,4750,1.7,1
Окраина/промзона,элита,FlexForge Basic Выхино,454,9561,15.0,1
Спальный район,средний,FlexForge Metro,1678,10109,15.1,1
Окраина/промзона,элита,Спартанец,2500,4103,1.7,1
Спальный район,средний,Фитнес-хаус,456,2601,24.3,0
Спальный район,элита,Фитнес-хаус,2630,5921,13.6,1
Окраина/промзона,профи,FlexForge Lux Патрики,641,9357,14.0,1
Спальный район,профи,Тренерский центр,2081,9677,13.1,1
Спальный район,новички,Тренерский центр,2846,7582,15.3,1
Спальный район,элита,SportFlex Крылатское,1313,8158,6.7,1
Спальный район,профи,Фитнес-планета,2637,3761,7.3,1
Окраина/промзона,средний,Волна здоровья,781,9521,12.8,1
Окраина/промзона,профи,Здоровая спина,1935,2008,20.2,1
Окраина/промзона,средний,Железная тяга,2845,3879,1.3,1
ТЦ/бизнес-центр,элита,Волна здоровья,218,10379,15.1,1
Окраина/промзона,новички,Качалка на районе,1324,6252,20.2,0
Окраина/промзона,профи,FlexForge Premium ВДНХ,2854,10984,4.0,1
ТЦ/бизнес-центр,средний,FlexForge Gym,1580,6995,0.5,1
ТЦ/бизнес-центр,новички,Тонус-клуб Коломенская,1765,4709,7.9,1
Окраина/промзона,средний,FlexForge Premium ВДНХ,2280,8898,14.7,1
Спальный район,новички,Железная тяга,2193,8243,3.5,1
Окраина/промзона,средний,FlexForge Studio,1747,7148,10.7,1
ТЦ/бизнес-центр,средний,SportFlex Крылатское,1061,6671,13.9,1
Окраина/промзона,профи,Адапт-фитнес,354,9390,15.0,1
ТЦ/бизнес-центр,средний,Спартанец,1104,1824,6.9,1
ТЦ/бизнес-центр,средний,Качалка у Палыча,1469,11685,10.1,1
ТЦ/бизнес-центр,профи,Фитнес-хаус,604,5057,19.5,1
Окраина/промзона,новички,Железная тяга,1043,5087,23.5,0
Спальный район,элита,FlexForge Gym,1982,1651,21.6,1
Спальный район,элита,Фитнес-планета,1764,2454,14.2,1
Спальный район,профи,Олимпийские надежды,1384,5854,10.3,1
Окраина/промзона,профи,FlexForge Ultra,946,8660,8.4,1
Спальный район,элита,IronFlex Pro,1925,10883,3.2,1
Окраина/промзона,средний,SportFlex Крылатское,470,2187,2.8,0
Спальный район,новички,FlexForge Mini,969,10001,17.2,1
Спальный район,средний,Фитнес-планета,1915,11194,6.6,1
Спальный район,профи,Олимпийские надежды,1710,4627,6.4,1
Спальный район,новички,Тяжёлый вес,371,8263,25.0,1
Окраина/промзона,профи,Фитнес-планета,473,4895,4.8,1
Спальный район,элита,Тонус-клуб Коломенская,2506,10505,3.8,1
ТЦ/бизнес-центр,элита,Адапт-фитнес,1358,2345,2.6,1
Окраина/промзона,средний,FlexForge Metro,1906,2664,14.5,1
Спальный район,новички,Тонус-клуб Коломенская,1971,7404,15.7,1
Спальный район,профи,FlexForge Light,621,11459,9.2,1
Окраина/промзона,профи,SportFlex Крылатское,1644,6860,13.4,1
Спальный район,новички,FlexForge Ultra,1409,1854,19.7,1
ТЦ/бизнес-центр,новички,FlexExpress Химки,2611,3372,20.5,1
Окраина/промзона,элита,Тонус-клуб Коломенская,2625,3524,24.0,1
Спальный район,профи,Элит-фитнес Рублёвка,779,4317,20.6,1
Спальный район,профи,FlexForge Premium ВДНХ,1090,5332,14.2,1
ТЦ/бизнес-центр,элита,FlexForge Studio,921,9757,4.6,1
Окраина/промзона,профи,Адапт-фитнес,1080,4081,2.6,1
Спальный район,средний,SportFlex Крылатское,1321,11082,1.5,1
Спальный район,средний,IronFlex Pro,2852,10822,16.7,1
Окраина/промзона,средний,Тяжёлый вес,2207,3986,20.2,1
Окраина/промзона,средний,Волна здоровья,2269,10526,12.8,1
ТЦ/бизнес-центр,профи,Качалка на районе,1673,9918,1.5,1
Спальный район,профи,Элит-фитнес Рублёвка,582,3943,13.4,1
ТЦ/бизнес-центр,элита,Адапт-фитнес,2381,10419,23.4,1
Окраина/промзона,средний,Тяжёлый вес,1649,2536,15.0,1
ТЦ/бизнес-центр,профи,Адапт-фитнес,2750,11524,20.3,1
Спальный район,профи,FlexForge Basic Выхино,1790,10184,20.0,1
Окраина/промзона,профи,Качалка у Палыча,1986,8935,23.3,1
Окраина/промзона,профи,FlexForge Light,343,3048,19.3,1
Спальный район,средний,Тяжёлый вес,2086,10835,18.7,1
Окраина/промзона,средний,Качалка у Палыча,1902,6565,5.9,1
ТЦ/бизнес-центр,новички,Фитнес-хаус,1635,7996,1.6,1
Окраина/промзона,средний,IronFlex Pro,423,7683,13.0,0
ТЦ/бизнес-центр,средний,Адапт-фитнес,419,5457,3.2,1
Спальный район,профи,FlexForge Light,378,4907,24.1,1
Окраина/промзона,элита,Лёгкая атлетика +,1854,2139,7.3,1
ТЦ/бизнес-центр,профи,Качалка у Палыча,632,1672,21.3,1
ТЦ/бизнес-центр,профи,Волна здоровья,464,7166,9.8,1
Окраина/промзона,средний,Элит-фитнес Рублёвка,1153,5854,8.1,1
Окраина/промзона,профи,Тяжёлый вес,628,5459,23.4,0
Спальный район,новички,Спартанец,2663,10208,9.1,1
Спальный район,средний,Ритм-фитнес Кунцево,2974,10214,9.8,1
Спальный район,средний,FlexForge Studio,2444,11609,2.7,1
Спальный район,средний,Элит-фитнес Рублёвка,1777,4386,16.8,1
Спальный район,новички,Домашний фитнес,679,3664,7.3,1
ТЦ/бизнес-центр,новички,FlexForge Gym,1553,11621,14.7,1
Окраина/промзона,средний,IronFlex Pro,1089,5445,14.8,1
Спальный район,элита,Спартанец,1124,6735,18.0,1
Спальный район,средний,Качалка у Палыча,2370,11901,18.7,1
Спальный район,средний,FlexForge Studio,2102,9246,12.9,1
Окраина/промзона,средний,SportFlex Крылатское,1610,4090,8.3,0
ТЦ/бизнес-центр,профи,Олимпийские надежды,1562,9254,21.0,1
Спальный район,средний,Фитнес-планета,977,6434,7.8,1
Спальный район,средний,FlexForge Ultra,2595,5576,12.7,1
Спальный район,средний,Лёгкая атлетика +,228,6685,10.1,0
ТЦ/бизнес-центр,новички,FlexForge Lux Патрики,234,2593,21.4,1
Окраина/промзона,новички,Тренерский центр,1619,5380,10.9,1
Окраина/промзона,средний,Фитнес-хаус,2870,8059,9.7,1
Спальный район,новички,Элит-фитнес Рублёвка,788,4285,17.3,1
Спальный район,новички,Здоровая спина,1103,7565,15.1,1
Окраина/промзона,средний,Качалка у Палыча,2767,8039,2.8,1
Окраина/промзона,профи,Качалка у Палыча,2369,3074,12.8,1
ТЦ/бизнес-центр,профи,IronFlex Pro,539,7176,18.4,1
Спальный район,средний,Железная тяга,374,9560,24.8,1
Спальный район,средний,Спартанец,2123,5490,15.8,1
Спальный район,элита,Адапт-фитнес,1914,6710,9.3,1
Окраина/промзона,средний,FlexForge Basic Выхино,796,6345,5.7,1
Окраина/промзона,новички,Ритм-фитнес Кунцево,650,10785,21.8,1
Окраина/промзона,профи,FlexForge Mini,756,2689,20.4,0
Спальный район,новички,FlexForge Lux Патрики,1359,4189,5.9,1
ТЦ/бизнес-центр,средний,Адапт-фитнес,1556,5595,5.1,1
Окраина/промзона,средний,Адапт-фитнес,2256,3375,17.9,1
Окраина/промзона,элита,Ритм-фитнес Кунцево,2581,9268,7.9,1
ТЦ/бизнес-центр,средний,Элит-фитнес Рублёвка,1216,4906,7.7,1
Окраина/промзона,профи,FlexExpress Химки,2574,11479,3.9,1
Окраина/промзона,элита,FlexForge Basic Выхино,2262,5432,6.7,1
Спальный район,новички,Адапт-фитнес,1038,11299,10.7,1
Спальный район,средний,Элит-фитнес Рублёвка,1837,9740,18.3,1
Спальный район,средний,FlexForge Mini,425,6908,8.5,1
ТЦ/бизнес-центр,средний,Волна здоровья,2013,5361,8.3,1
Спальный район,средний,IronFlex Pro,2360,8906,7.2,1
Окраина/промзона,элита,Ритм-фитнес Кунцево,2220,11872,12.0,1
ТЦ/бизнес-центр,профи,Тренерский центр,1651,4333,4.6,1
Спальный район,профи,Фитнес-планета,2248,6785,12.2,1
