damage_zone,car_class,detail_code,car_age,engine_volume,mileage,repair_cost
задняя,бизнес,ALTERNATOR-02,18,1.9,179.2,352.6
боковая,комфорт,TRANS-01,20,5.4,48.3,525.1
задняя,комфорт,FENDER-11,12,3.2,170.4,134.1
боковая,комфорт,EXHAUST-01,16,1.7,115.0,98.9
задняя,эконом,BATTERY-01,22,4.8,64.1,15.0
передняя,эконом,FENDER-01,8,4.9,112.9,159.3
боковая,эконом,INTERIOR-03,16,4.2,93.3,72.3
передняя,комфорт,CABLE-01,1,5.3,293.6,94.7
боковая,комфорт,FENDER-11,18,4.7,12.3,88.7
передняя,эконом,SUSP-02,18,5.4,247.0,346.8
боковая,премиум,ALTERNATOR-02,23,3.2,304.3,467.7
передняя,премиум,FRAME-03,6,4.7,192.3,600.0
боковая,бизнес,LIGHT-02,21,6.0,372.6,185.3
задняя,комфорт,INTERIOR-02,9,4.6,283.2,197.2
боковая,бизнес,LIGHT-02,9,1.6,299.2,118.5
передняя,эконом,BATTERY-02,19,3.6,78.8,91.5
задняя,бизнес,SUSP-02,8,3.9,310.9,535.6
боковая,эконом,WHEEL-02,16,1.9,332.8,90.0
задняя,бизнес,AC-01,14,5.8,144.5,342.7
задняя,эконом,MOTOR-03,1,1.9,85.3,368.3
задняя,бизнес,GLASS-02,3,1.9,154.0,109.2
задняя,премиум,GLASS-01,18,5.6,295.8,169.1
задняя,эконом,ALTERNATOR-02,16,3.3,167.1,167.2
задняя,комфорт,SUSP-03,4,1.3,294.7,202.5
боковая,премиум,BUMPER-01,6,4.0,45.4,280.1
передняя,комфорт,EXHAUST-02,17,4.0,322.4,314.9
передняя,бизнес,PAINT-01,20,1.3,101.3,61.0
боковая,комфорт,DOOR-01,21,5.9,99.6,269.2
боковая,эконом,DOOR-01,6,3.7,236.2,182.6
задняя,эконом,ELECTRIC-02,16,3.8,28.0,197.4
задняя,эконом,BRAKE-01,6,3.6,10.5,48.6
передняя,бизнес,SUSP-02,3,4.1,104.4,511.3
передняя,эконом,HOOD-01,7,2.3,215.2,254.2
задняя,комфорт,ENG-03,12,2.4,363.0,600.0
задняя,комфорт,DOOR-03,3,3.6,338.6,269.7
задняя,комфорт,INTERIOR-03,5,5.0,196.2,240.7
передняя,бизнес,BRAKE-01,24,1.2,14.8,149.5
боковая,премиум,RADIATOR-02,4,4.0,214.1,369.6
боковая,комфорт,SUSP-03,11,5.0,281.9,211.1
задняя,бизнес,INTERIOR-02,3,1.8,135.7,166.4
задняя,бизнес,DOOR-02,23,1.1,44.4,384.5
передняя,комфорт,INTERIOR-03,8,2.6,111.4,224.0
боковая,премиум,MOTOR-02,3,3.9,308.6,600.0
задняя,эконом,GLASS-01,18,1.7,140.5,15.0
передняя,эконом,RADIATOR-01,23,3.1,324.8,220.1
боковая,бизнес,PAINT-03,13,3.8,127.8,84.6
боковая,комфорт,WHEEL-01,4,4.0,65.4,39.5
боковая,бизнес,CABLE-02,17,2.4,174.3,59.9
боковая,бизнес,AC-01,9,3.0,180.9,223.9
задняя,эконом,ALTERNATOR-01,24,4.9,6.4,138.5
задняя,бизнес,ALTERNATOR-02,18,5.7,46.8,399.9
боковая,комфорт,RADIATOR-02,11,5.3,74.0,224.7
боковая,комфорт,CABLE-01,17,3.8,45.4,15.0
передняя,комфорт,PAINT-03,16,3.1,136.6,68.7
передняя,премиум,LIGHT-02,23,2.7,385.8,326.4
задняя,эконом,GLASS-01,10,1.6,203.7,52.9
боковая,комфорт,WHEEL-01,2,1.5,251.0,50.1
боковая,комфорт,FENDER-01,22,4.4,142.6,177.2
передняя,бизнес,LIGHT-01,16,2.3,129.4,146.4
задняя,комфорт,HOOD-01,0,2.3,9.3,180.7
задняя,эконом,HOOD-02,14,6.0,200.1,279.2
боковая,эконом,BATTERY-01,8,1.9,193.4,19.3
боковая,эконом,FRAME-03,14,1.7,63.1,215.8
боковая,бизнес,FENDER-04,23,1.5,305.7,222.5
задняя,эконом,FENDER-04,2,3.9,197.1,64.1
задняя,эконом,MOTOR-03,21,4.1,135.6,502.7
передняя,премиум,FENDER-01,18,2.8,58.8,381.0
передняя,эконом,AC-02,12,3.7,220.9,275.4
боковая,премиум,BATTERY-02,11,4.9,301.1,127.1
боковая,комфорт,PAINT-03,19,5.1,112.8,59.0
боковая,бизнес,SUSP-01,0,5.8,87.5,331.8
боковая,эконом,RADIATOR-02,20,5.1,208.8,169.9
задняя,эконом,EXHAUST-02,16,3.8,62.1,124.7
боковая,бизнес,ENG-01,12,1.9,266.6,600.0
боковая,бизнес,INTERIOR-01,0,1.5,242.1,127.3
боковая,бизнес,ALTERNATOR-01,9,1.3,34.8,162.6
передняя,эконом,CABLE-03,14,4.3,14.6,21.3
задняя,бизнес,ELECTRIC-01,6,5.0,248.1,337.6
передняя,бизнес,TRANS-01,21,3.5,117.7,600.0
боковая,комфорт,HOOD-01,17,1.3,34.6,259.2
задняя,бизнес,TRANS-01,15,3.7,303.8,600.0
передняя,бизнес,WHEEL-02,13,5.7,125.6,192.9
задняя,комфорт,ALTERNATOR-02,17,4.0,183.8,337.1
задняя,эконом,GLASS-02,6,5.0,94.7,73.5
задняя,комфорт,TRANS-01,16,5.0,250.9,600.0
передняя,эконом,ENG-01,17,5.7,120.6,600.0
задняя,комфорт,FENDER-01,11,4.9,387.2,244.5
задняя,комфорт,BRAKE-01,7,4.7,281.2,149.0
боковая,эконом,BATTERY-02,21,2.2,54.7,30.0
задняя,эконом,FENDER-03,1,1.3,166.7,108.1
боковая,эконом,ELECTRIC-02,6,3.6,154.2,122.6
задняя,бизнес,FENDER-02,3,1.6,213.7,131.8
задняя,премиум,LIGHT-03,17,5.8,336.8,312.2
боковая,эконом,BUMPER-01,5,2.4,233.4,130.7
задняя,премиум,PAINT-01,8,5.3,24.6,72.7
передняя,комфорт,BATTERY-02,8,2.9,262.2,129.1
передняя,эконом,RADIATOR-02,13,2.6,3.3,163.0
боковая,эконом,CABLE-02,7,5.7,312.0,15.0
задняя,комфорт,WHEEL-02,18,2.8,266.7,148.6
боковая,бизнес,SUSP-01,2,3.0,123.5,325.4
передняя,бизнес,EXHAUST-01,17,1.5,117.0,238.2
передняя,эконом,DOOR-01,4,4.4,319.3,213.9
передняя,эконом,MOTOR-03,13,2.4,313.3,600.0
задняя,комфорт,HOOD-02,3,3.9,140.9,324.5
задняя,эконом,SUSP-02,6,4.0,119.6,229.6
задняя,эконом,CABLE-03,19,4.6,223.9,70.2
задняя,эконом,SUSP-03,24,4.7,3.3,190.8
боковая,бизнес,DOOR-03,11,3.6,33.1,254.1
передняя,премиум,ELECTRIC-02,1,2.7,50.5,532.9
задняя,комфорт,AC-01,10,5.2,74.2,260.6
боковая,премиум,CABLE-02,13,2.5,204.8,89.4
задняя,эконом,CABLE-02,21,3.5,396.9,71.9
задняя,комфорт,BRAKE-02,22,3.0,261.0,170.5
боковая,эконом,TRANS-01,15,5.3,24.5,291.5
боковая,комфорт,PAINT-02,19,3.2,210.2,150.7
передняя,премиум,HOOD-01,5,2.9,198.7,600.0
боковая,комфорт,FRAME-01,22,4.4,57.7,345.1
задняя,эконом,AC-02,3,4.0,368.1,218.3
передняя,комфорт,INTERIOR-03,14,1.5,176.3,192.0
задняя,эконом,GLASS-02,23,3.5,397.8,80.0
боковая,бизнес,AC-02,24,4.7,168.0,410.2
задняя,комфорт,FRAME-01,0,6.0,243.2,508.3
передняя,комфорт,FRAME-03,6,4.1,41.9,466.9
задняя,комфорт,TRANS-01,24,2.9,181.7,546.6
передняя,комфорт,BRAKE-01,11,2.1,95.5,146.4
передняя,эконом,BRAKE-01,9,5.4,334.2,118.3
передняя,комфорт,LIGHT-01,4,5.1,313.6,134.9
передняя,эконом,FENDER-11,11,2.2,329.7,107.1
передняя,бизнес,ENG-02,17,2.0,289.4,600.0
передняя,бизнес,INTERIOR-01,9,4.6,333.1,217.1
задняя,бизнес,FENDER-12,5,2.6,80.3,104.9
передняя,комфорт,BRAKE-01,11,2.5,180.8,123.3
передняя,комфорт,PAINT-01,6,1.8,276.7,73.1
боковая,эконом,HOOD-02,17,2.3,255.0,219.9
задняя,бизнес,GLASS-02,1,3.1,286.5,122.2
задняя,эконом,ALTERNATOR-01,9,4.7,89.7,164.6
передняя,комфорт,FENDER-01,14,2.7,39.4,168.8
передняя,эконом,ENG-01,11,2.6,366.7,600.0
передняя,эконом,CABLE-01,25,2.4,224.1,44.5
передняя,комфорт,GLASS-02,16,3.4,61.5,104.0
передняя,эконом,LIGHT-02,3,1.9,317.4,84.7
передняя,бизнес,GLASS-02,6,3.4,366.0,183.5
передняя,эконом,INTERIOR-02,8,4.5,67.8,123.9
передняя,эконом,TRANS-03,18,1.1,327.0,427.7
задняя,комфорт,TRANS-03,22,1.0,373.3,490.7
передняя,эконом,INTERIOR-01,6,1.4,375.3,76.7
задняя,эконом,FENDER-02,22,3.7,365.7,129.7
задняя,бизнес,LIGHT-03,1,5.3,218.6,204.0
задняя,эконом,LIGHT-01,5,1.0,142.5,70.3
передняя,бизнес,BUMPER-01,17,5.7,2.9,356.8
боковая,эконом,PAINT-02,5,1.5,24.4,37.3
задняя,эконом,HOOD-02,12,5.2,171.5,279.4
передняя,бизнес,BRAKE-02,25,3.4,159.7,245.3
боковая,эконом,PAINT-02,18,4.3,73.9,15.0
боковая,эконом,BRAKE-01,1,3.6,158.2,27.9
передняя,эконом,MOTOR-03,11,3.4,69.9,507.7
передняя,эконом,WHEEL-01,14,5.2,339.5,63.0
боковая,бизнес,EXHAUST-02,13,4.8,119.3,212.9
боковая,эконом,FENDER-04,5,3.4,239.4,78.9
передняя,бизнес,PAINT-02,17,1.6,201.1,163.7
передняя,бизнес,FENDER-12,4,1.6,20.8,110.6
задняя,комфорт,ALTERNATOR-02,17,5.0,376.9,362.4
задняя,премиум,BRAKE-01,2,3.6,210.9,207.5
задняя,эконом,SUSP-01,2,3.4,130.0,152.8
задняя,премиум,FRAME-01,21,4.4,63.3,600.0
задняя,эконом,FENDER-03,21,5.3,135.4,109.3
боковая,комфорт,ALTERNATOR-02,9,4.1,8.2,211.8
передняя,комфорт,BUMPER-03,18,4.8,145.4,267.3
передняя,эконом,FENDER-12,2,4.8,212.6,83.5
боковая,комфорт,MOTOR-01,11,2.8,348.7,600.0
боковая,бизнес,SUSP-03,15,2.4,274.9,311.8
задняя,эконом,EXHAUST-02,16,5.0,44.6,109.5
задняя,эконом,WHEEL-02,6,2.9,59.1,85.5
передняя,бизнес,ALTERNATOR-01,12,5.5,171.2,429.4
задняя,комфорт,DOOR-02,23,1.3,78.3,206.9
задняя,премиум,ENG-02,1,1.3,11.1,600.0
передняя,бизнес,RADIATOR-02,3,5.6,322.0,446.5
передняя,премиум,FRAME-01,9,4.2,7.8,600.0
задняя,бизнес,ALTERNATOR-01,6,2.9,332.3,315.9
передняя,эконом,INTERIOR-01,23,4.8,57.6,100.9
передняя,эконом,ALTERNATOR-02,16,4.4,389.9,288.6
передняя,бизнес,HOOD-02,19,3.7,241.5,600.0
передняя,комфорт,ENG-03,5,1.5,294.0,600.0
передняя,эконом,FENDER-01,18,5.1,44.2,150.5
боковая,эконом,WHEEL-02,4,5.3,344.8,119.4
задняя,премиум,HOOD-02,9,1.9,335.7,600.0
задняя,комфорт,INTERIOR-01,8,5.3,261.2,82.9
боковая,комфорт,PAINT-03,12,5.4,200.9,64.8
задняя,комфорт,PAINT-02,18,3.7,288.6,111.0
передняя,эконом,CABLE-01,20,4.3,2.4,33.5
задняя,эконом,EXHAUST-02,23,2.9,237.0,139.2
задняя,эконом,INTERIOR-01,5,2.4,339.0,116.9
боковая,эконом,CABLE-02,3,4.6,142.8,15.0
задняя,бизнес,BRAKE-02,23,5.3,43.3,134.5
передняя,комфорт,CABLE-01,2,4.3,168.4,95.2
передняя,бизнес,FENDER-11,2,3.6,290.8,178.2
задняя,бизнес,TRANS-01,3,1.8,42.9,533.8
задняя,эконом,CABLE-02,24,1.3,82.4,28.3
задняя,комфорт,HOOD-02,4,3.2,59.0,347.0
задняя,комфорт,TRANS-01,7,1.2,318.8,554.2
боковая,бизнес,BATTERY-01,15,3.8,25.2,35.9
задняя,эконом,ELECTRIC-01,21,2.9,274.6,232.1
передняя,комфорт,SUSP-03,2,4.8,146.6,362.4
передняя,комфорт,LIGHT-03,23,2.5,302.3,204.8
передняя,эконом,LIGHT-01,11,4.0,385.8,116.3
передняя,эконом,ENG-02,24,3.7,45.8,568.0
передняя,комфорт,INTERIOR-01,7,1.0,125.8,105.2
передняя,бизнес,TRANS-03,12,1.4,324.1,600.0
передняя,эконом,WHEEL-01,3,2.5,106.5,79.4
передняя,комфорт,GLASS-01,13,5.4,86.0,57.5
боковая,эконом,MOTOR-01,13,1.7,330.2,431.5
передняя,бизнес,MOTOR-03,12,4.6,394.8,600.0
задняя,эконом,BUMPER-03,5,5.9,222.8,156.3
задняя,бизнес,MOTOR-01,16,5.0,111.2,600.0
боковая,эконом,CABLE-02,3,2.2,159.4,35.5
передняя,эконом,DOOR-03,7,5.5,68.1,190.4
задняя,эконом,BRAKE-02,16,1.5,304.8,94.9
боковая,эконом,DOOR-01,2,3.3,309.4,156.5
боковая,комфорт,FRAME-01,16,5.4,350.0,465.0
боковая,эконом,SUSP-02,8,4.2,10.6,159.1
передняя,бизнес,EXHAUST-01,1,3.1,224.8,258.9
передняя,эконом,SUSP-02,24,2.5,85.7,282.0
задняя,эконом,RADIATOR-01,12,2.9,136.4,144.4
боковая,эконом,MOTOR-01,19,3.5,314.0,484.9
задняя,эконом,BATTERY-01,1,2.6,76.8,76.8
задняя,эконом,FENDER-03,19,5.8,255.3,193.8
передняя,комфорт,CABLE-01,10,5.7,261.8,33.7
боковая,комфорт,INTERIOR-02,25,5.4,381.6,173.7
передняя,комфорт,LIGHT-01,21,3.1,310.1,121.2
передняя,комфорт,EXHAUST-01,14,4.5,321.5,259.2
задняя,комфорт,TRANS-02,10,5.5,212.6,600.0
задняя,эконом,LIGHT-02,22,5.3,74.7,27.2
передняя,комфорт,TRANS-02,2,3.1,170.2,600.0
передняя,премиум,WHEEL-01,2,1.6,219.8,144.7
задняя,комфорт,ALTERNATOR-01,25,1.4,271.4,263.0
передняя,комфорт,EXHAUST-01,11,3.9,243.1,232.9
задняя,эконом,CABLE-02,23,4.2,157.6,30.4
передняя,бизнес,FENDER-04,4,5.2,106.1,313.5
задняя,бизнес,CABLE-02,19,2.5,67.3,44.5
задняя,комфорт,FRAME-01,6,1.8,277.5,422.8
передняя,премиум,CABLE-01,6,2.9,258.2,74.6
передняя,эконом,DOOR-02,12,2.8,274.9,324.5
передняя,эконом,FENDER-01,8,1.7,149.0,169.5
передняя,бизнес,SUSP-03,24,4.4,105.0,470.0
боковая,бизнес,CABLE-02,20,3.5,303.9,58.8
передняя,эконом,AC-01,12,4.6,309.5,222.7
боковая,эконом,ENG-03,11,2.8,182.2,301.3
передняя,эконом,BUMPER-01,12,2.6,244.8,146.0
задняя,эконом,FENDER-04,23,3.4,149.4,104.9
боковая,бизнес,SUSP-02,9,5.4,280.8,465.5
задняя,комфорт,SUSP-03,0,1.2,334.3,300.7
задняя,эконом,DOOR-02,24,5.0,275.3,222.3
задняя,эконом,ELECTRIC-02,7,2.8,205.0,158.3
передняя,эконом,TRANS-03,21,5.3,183.5,477.1
боковая,эконом,FENDER-12,15,5.0,256.9,28.8
боковая,комфорт,AC-01,12,2.7,271.9,215.5
боковая,премиум,PAINT-03,2,4.5,223.5,112.6
передняя,бизнес,FENDER-13,2,1.8,250.0,251.0
боковая,эконом,SUSP-03,23,5.5,38.6,171.1
боковая,бизнес,BUMPER-01,4,3.0,380.7,218.5
передняя,бизнес,ENG-03,25,3.3,316.3,600.0
передняя,бизнес,FENDER-02,10,4.5,149.6,204.7
боковая,комфорт,FENDER-02,6,5.1,225.1,130.4
задняя,эконом,MOTOR-01,20,2.2,18.9,488.0
боковая,эконом,CABLE-01,23,4.3,16.5,36.2
передняя,эконом,BUMPER-02,9,3.0,100.3,156.4
боковая,эконом,AC-01,9,2.8,275.9,161.9
передняя,эконом,TRANS-01,19,4.5,340.9,600.0
передняя,комфорт,RADIATOR-01,1,2.9,223.7,255.7
передняя,бизнес,BUMPER-03,2,2.7,212.9,273.4
боковая,комфорт,ENG-03,7,5.2,160.9,511.4
задняя,эконом,INTERIOR-02,10,1.5,64.6,34.7
задняя,премиум,FENDER-02,12,4.4,47.3,216.4
задняя,премиум,LIGHT-02,6,2.2,304.3,189.7
боковая,бизнес,DOOR-03,12,1.1,371.0,300.8
задняя,премиум,FENDER-13,1,1.8,183.3,247.2
боковая,комфорт,ENG-03,5,4.0,263.8,500.0
задняя,премиум,AC-02,8,4.5,365.8,600.0
задняя,эконом,FENDER-03,19,1.1,36.0,78.0
задняя,эконом,CABLE-03,24,1.2,308.2,39.3
передняя,эконом,DOOR-01,1,5.5,246.7,218.9
боковая,эконом,FENDER-13,17,1.4,239.5,56.8
задняя,эконом,ALTERNATOR-01,15,5.5,117.0,185.3
передняя,комфорт,MOTOR-03,24,2.1,273.6,600.0
боковая,бизнес,FENDER-01,11,4.7,317.9,221.9
задняя,комфорт,DOOR-02,6,2.5,45.1,207.5
задняя,эконом,FENDER-01,6,5.3,213.4,108.2
боковая,бизнес,PAINT-03,16,4.5,40.5,96.7
задняя,комфорт,ELECTRIC-01,12,3.0,349.0,304.1
передняя,эконом,FRAME-03,10,1.4,203.1,321.3
боковая,комфорт,LIGHT-01,5,4.7,323.2,84.9
задняя,эконом,LIGHT-03,22,4.1,147.2,48.3
передняя,эконом,BATTERY-01,13,1.0,50.0,15.0
передняя,премиум,PAINT-02,5,1.0,16.6,187.5
боковая,эконом,INTERIOR-01,5,5.0,112.6,67.9
задняя,комфорт,ENG-01,1,2.3,97.7,587.5
задняя,бизнес,FENDER-04,21,4.2,224.1,250.3
боковая,бизнес,WHEEL-02,19,3.3,8.7,76.8
боковая,эконом,DOOR-03,24,5.3,208.2,188.6
передняя,эконом,INTERIOR-03,14,5.6,156.7,127.5
передняя,эконом,FENDER-02,16,6.0,230.8,157.9
передняя,комфорт,MOTOR-02,7,1.8,281.0,600.0
боковая,комфорт,BATTERY-01,4,5.3,253.6,58.8
передняя,эконом,GLASS-01,16,2.3,393.9,43.2
задняя,премиум,BATTERY-02,19,4.0,55.3,113.6
боковая,комфорт,FENDER-12,0,3.5,171.9,87.8
боковая,эконом,GLASS-01,21,1.1,169.9,42.3
передняя,комфорт,HOOD-01,17,5.7,166.8,487.5
боковая,комфорт,CABLE-03,14,1.4,265.5,50.9
передняя,эконом,GLASS-02,4,4.4,195.9,34.4
боковая,эконом,INTERIOR-03,6,4.9,207.0,120.0
передняя,бизнес,AC-02,17,5.0,172.9,567.5
задняя,комфорт,DOOR-01,5,1.7,396.7,312.8
боковая,комфорт,FRAME-03,21,3.2,371.0,386.2
передняя,комфорт,PAINT-01,20,5.1,123.1,99.5
передняя,эконом,MOTOR-03,4,2.5,44.6,476.0
боковая,эконом,LIGHT-02,18,3.3,335.9,37.2
боковая,комфорт,WHEEL-02,9,2.4,398.9,94.7
задняя,эконом,TRANS-03,14,3.3,117.0,277.0
задняя,эконом,AC-01,9,5.4,143.1,188.7
задняя,бизнес,TRANS-02,15,3.3,376.7,600.0
передняя,премиум,WHEEL-02,11,3.8,284.5,344.0
передняя,бизнес,GLASS-01,17,3.0,118.3,131.5
передняя,бизнес,HOOD-02,22,3.3,232.4,600.0
боковая,эконом,FENDER-13,0,1.1,377.7,107.8
задняя,премиум,WHEEL-02,15,2.4,324.7,254.1
задняя,эконом,DOOR-01,21,3.2,296.7,206.6
задняя,премиум,SUSP-02,5,4.2,294.8,600.0
боковая,премиум,HOOD-02,2,3.3,71.2,456.3
передняя,бизнес,CABLE-02,1,2.7,329.9,122.4
задняя,премиум,CABLE-03,1,2.9,110.4,59.9
задняя,комфорт,MOTOR-03,12,2.2,372.1,600.0
задняя,эконом,SUSP-02,8,5.6,145.9,248.5
передняя,комфорт,RADIATOR-01,15,3.6,343.1,290.2
боковая,комфорт,MOTOR-02,4,1.1,106.5,555.9
боковая,эконом,SUSP-01,22,1.1,205.8,171.2
задняя,комфорт,EXHAUST-01,20,5.9,42.8,162.7
задняя,премиум,AC-01,6,2.1,264.0,420.1
боковая,эконом,FENDER-03,12,5.0,334.4,128.4
боковая,бизнес,FRAME-02,19,1.3,287.4,600.0
передняя,премиум,EXHAUST-01,23,5.6,209.3,464.9
задняя,премиум,BUMPER-02,25,5.4,18.0,388.4
задняя,премиум,SUSP-02,12,3.9,373.4,600.0
задняя,комфорт,EXHAUST-02,25,1.0,282.2,205.5
боковая,премиум,TRANS-01,6,2.3,298.3,600.0
боковая,бизнес,INTERIOR-03,9,3.0,317.9,218.3
боковая,эконом,MOTOR-03,14,3.3,299.1,406.5
задняя,комфорт,ELECTRIC-01,20,2.5,176.4,247.5
передняя,бизнес,AC-02,5,1.2,293.4,441.7
боковая,эконом,ENG-03,4,4.0,250.0,308.2
боковая,комфорт,GLASS-02,22,3.6,341.6,93.6
передняя,комфорт,FENDER-02,1,2.4,321.0,136.0
боковая,эконом,TRANS-03,20,1.2,16.5,238.8
боковая,комфорт,DOOR-03,14,6.0,151.6,227.7
задняя,бизнес,LIGHT-03,25,3.4,13.9,173.1
задняя,комфорт,AC-02,15,4.8,40.8,293.5
задняя,эконом,FRAME-01,18,3.3,240.6,345.3
передняя,эконом,BRAKE-01,8,1.2,349.5,126.1
передняя,эконом,INTERIOR-02,21,2.5,47.9,128.1
боковая,премиум,FENDER-13,25,2.6,180.4,232.4
передняя,эконом,TRANS-02,18,5.2,364.4,600.0
передняя,комфорт,GLASS-01,6,4.3,325.7,111.9
задняя,эконом,BUMPER-02,3,2.4,207.9,133.4
задняя,эконом,ALTERNATOR-02,2,5.8,308.6,226.4
боковая,бизнес,HOOD-02,23,2.6,209.1,484.4
передняя,бизнес,AC-01,19,6.0,63.2,450.7
передняя,эконом,HOOD-02,10,6.0,49.9,292.6
боковая,комфорт,ENG-02,0,2.0,75.3,415.1
задняя,эконом,FENDER-04,5,2.6,140.4,107.8
передняя,комфорт,MOTOR-01,25,3.4,372.2,600.0
задняя,комфорт,INTERIOR-02,10,4.3,319.9,166.7
передняя,эконом,BATTERY-02,0,3.6,173.1,50.3
передняя,эконом,AC-01,20,5.8,197.2,267.7
задняя,эконом,FENDER-12,6,4.6,106.2,79.1
задняя,премиум,AC-01,5,2.1,281.7,424.3
боковая,премиум,FENDER-13,13,1.5,321.1,232.1
задняя,эконом,BATTERY-02,1,4.4,95.6,15.0
задняя,бизнес,AC-01,3,1.8,16.7,210.7
задняя,эконом,MOTOR-03,10,4.9,249.6,505.0
передняя,эконом,MOTOR-01,14,2.6,225.0,600.0
задняя,бизнес,FENDER-11,17,2.6,160.9,176.2
передняя,премиум,BUMPER-01,0,1.1,257.6,431.7
боковая,премиум,ELECTRIC-02,2,4.5,220.2,419.2
передняя,комфорт,FRAME-01,2,1.6,100.2,457.4
задняя,эконом,ALTERNATOR-01,6,4.9,159.1,187.1
передняя,бизнес,GLASS-02,0,3.5,171.2,146.3
боковая,эконом,INTERIOR-03,24,4.9,352.1,99.3
задняя,комфорт,DOOR-01,10,3.9,384.4,332.2
задняя,эконом,ALTERNATOR-02,5,1.4,357.2,209.2
передняя,комфорт,INTERIOR-02,19,4.8,287.7,194.8
боковая,эконом,INTERIOR-01,2,1.3,234.0,65.4
передняя,эконом,LIGHT-03,18,3.4,275.7,130.8
боковая,премиум,FRAME-03,1,1.9,375.6,600.0
передняя,эконом,ENG-01,17,4.8,100.0,600.0
передняя,комфорт,RADIATOR-01,11,5.6,214.0,293.9
передняя,эконом,WHEEL-02,9,3.8,275.8,108.6
задняя,эконом,MOTOR-01,4,3.6,271.7,506.2
задняя,эконом,LIGHT-01,8,4.8,100.9,61.4
передняя,эконом,LIGHT-02,1,1.0,234.7,61.3
боковая,бизнес,MOTOR-02,1,5.6,318.4,600.0
задняя,эконом,ALTERNATOR-02,5,2.0,190.0,152.9
задняя,премиум,BUMPER-01,9,5.9,317.3,435.2
задняя,комфорт,HOOD-02,17,4.7,144.0,373.7
задняя,комфорт,FENDER-12,11,4.9,375.5,129.1
задняя,комфорт,MOTOR-01,3,4.3,213.6,600.0
передняя,комфорт,SUSP-02,21,3.4,238.4,497.8
передняя,бизнес,SUSP-02,20,3.9,12.5,544.5
боковая,эконом,CABLE-03,16,1.2,68.1,29.7
боковая,эконом,CABLE-02,14,4.1,253.2,33.3
задняя,бизнес,EXHAUST-02,5,4.1,167.9,271.4
передняя,премиум,BUMPER-01,15,5.5,203.3,523.8
задняя,бизнес,SUSP-02,16,3.5,25.2,385.8
задняя,комфорт,CABLE-02,2,1.4,333.7,33.6
передняя,бизнес,RADIATOR-02,9,2.5,313.8,455.8
передняя,комфорт,BATTERY-01,4,4.3,74.1,75.9
боковая,комфорт,PAINT-02,13,2.2,253.7,48.3
задняя,эконом,GLASS-02,25,2.4,327.3,112.3
передняя,комфорт,ELECTRIC-02,20,5.1,256.3,474.6
передняя,эконом,ELECTRIC-01,12,3.9,124.2,173.7
передняя,эконом,ELECTRIC-02,25,3.5,262.4,304.6
задняя,бизнес,FRAME-02,5,2.6,84.2,593.2
передняя,эконом,DOOR-03,11,4.7,127.3,238.8
передняя,эконом,PAINT-03,25,2.4,96.0,18.8
боковая,эконом,FENDER-13,7,4.7,222.8,138.8
передняя,премиум,LIGHT-02,4,1.4,43.3,174.0
задняя,комфорт,CABLE-03,14,5.3,373.3,78.1
передняя,комфорт,ALTERNATOR-02,15,3.5,133.4,332.2
передняя,бизнес,LIGHT-01,0,3.2,87.6,117.8
передняя,бизнес,DOOR-03,15,4.1,198.6,404.2
боковая,эконом,SUSP-02,4,4.1,110.8,202.8
боковая,комфорт,AC-02,2,1.7,214.0,210.9
боковая,бизнес,ELECTRIC-02,19,4.8,139.4,340.0
задняя,комфорт,CABLE-03,14,2.4,52.8,104.4
задняя,эконом,INTERIOR-02,12,5.5,106.4,117.8
передняя,бизнес,INTERIOR-03,23,5.1,175.4,318.6
передняя,комфорт,FENDER-02,15,2.7,12.1,134.5
боковая,эконом,INTERIOR-01,22,5.0,308.3,81.9
передняя,комфорт,MOTOR-01,10,2.8,248.7,600.0
передняя,эконом,MOTOR-01,20,1.5,240.5,600.0
передняя,эконом,LIGHT-01,1,5.8,218.4,39.8
передняя,бизнес,BUMPER-03,21,4.3,236.1,354.0
передняя,эконом,GLASS-02,5,3.3,373.9,114.0
задняя,комфорт,FRAME-02,25,3.0,3.4,480.0
задняя,комфорт,BUMPER-03,25,2.6,19.1,147.8
боковая,эконом,GLASS-01,5,5.9,76.6,15.0
боковая,премиум,FRAME-03,13,1.7,66.9,514.9
передняя,эконом,ENG-01,24,2.6,72.5,600.0
передняя,эконом,TRANS-03,10,3.4,268.8,465.1
задняя,эконом,LIGHT-02,7,3.4,183.8,115.5
задняя,эконом,RADIATOR-01,7,3.4,396.7,135.8
передняя,эконом,LIGHT-02,0,1.9,90.8,111.7
задняя,бизнес,WHEEL-02,20,1.7,124.3,105.8
задняя,премиум,WHEEL-02,6,2.3,393.7,217.3
задняя,эконом,LIGHT-02,5,5.6,332.7,81.1
задняя,комфорт,EXHAUST-01,20,1.6,187.9,173.9
передняя,бизнес,BRAKE-01,7,4.8,221.8,234.2
боковая,бизнес,FENDER-13,18,4.8,337.3,220.5
боковая,комфорт,WHEEL-02,21,5.0,192.4,112.3
передняя,эконом,HOOD-02,20,5.4,82.4,370.4
боковая,эконом,LIGHT-02,23,2.3,331.4,91.2
задняя,бизнес,DOOR-02,19,2.1,215.1,414.6
боковая,бизнес,EXHAUST-02,7,3.3,61.2,206.8
боковая,эконом,BUMPER-03,25,2.3,202.2,151.2
