season,weekday,guests,nights,stars,dist_center,breakfast,early_book,cancel_days
2,1,4,10,4,2.98,1,317,24
2,3,4,13,5,11.81,0,254,-1
1,4,1,19,4,3.57,0,290,29
1,5,6,7,4,11.67,0,314,-1
3,3,6,16,3,7.43,0,186,20
3,4,2,6,3,1.36,0,88,-1
2,0,6,10,4,2.73,0,24,-1
1,0,5,10,4,13.43,0,52,29
3,2,3,11,4,9.16,1,77,-1
3,1,2,10,5,3.01,0,113,24
4,0,6,14,4,10.65,1,347,-1
3,6,3,15,4,12.4,0,311,29
2,4,2,7,4,5.16,1,257,-1
1,3,5,13,4,8.48,1,144,9
3,5,3,11,4,4.61,1,195,-1
4,3,5,7,4,1.48,0,303,-1
1,2,3,11,5,6.17,0,347,-1
3,3,1,14,4,11.35,1,101,-1
4,0,1,17,4,7.04,0,289,6
3,3,3,16,4,6.26,0,351,-1
1,0,3,1,3,5.68,1,168,29
1,0,5,9,4,7.05,1,94,-1
1,1,6,9,4,4.98,1,261,6
2,2,4,10,4,9.3,0,261,-1
3,6,3,19,4,1.23,0,27,-1
2,6,2,15,5,12.17,0,135,-1
1,4,2,16,4,2.85,0,128,28
4,6,2,11,5,9.61,0,335,-1
3,0,1,17,3,6.91,0,273,-1
2,5,6,19,4,11.67,1,221,-1
3,2,5,13,3,12.44,0,335,3
4,4,6,6,3,3.3,1,122,10
2,6,1,15,3,10.25,0,91,8
1,6,6,16,4,3.09,0,10,-1
2,5,6,4,3,2.12,0,5,7
3,3,2,8,4,13.98,1,227,-1
3,2,3,7,4,2.72,0,21,28
3,5,2,17,4,3.65,1,214,-1
3,6,6,16,3,2.22,0,283,-1
1,2,3,2,3,7.21,0,114,-1
2,2,5,17,4,13.82,1,213,-1
1,6,4,4,4,4.18,0,140,-1
1,3,3,14,3,8.27,0,178,-1
1,3,1,8,5,6.35,0,0,-1
3,6,2,5,3,5.24,1,28,-1
3,2,2,5,4,8.71,1,297,-1
3,5,6,5,3,8.52,1,284,-1
2,1,6,5,5,5.58,0,349,19
4,0,6,3,4,12.8,0,315,26
3,3,6,6,5,1.08,0,104,-1
2,6,2,1,4,1.55,1,161,-1
3,1,3,8,3,14.86,0,39,-1
3,3,5,13,4,11.29,0,348,-1
1,2,3,20,4,12.12,1,221,6
1,6,1,6,3,9.16,1,51,-1
1,1,2,18,3,6.47,0,63,10
2,6,3,18,4,9.55,1,3,-1
4,5,2,16,3,1.66,0,17,-1
4,5,1,8,4,11.44,0,341,-1
2,4,4,17,4,8.25,1,9,-1
3,0,4,8,4,14.36,0,269,-1
2,0,4,15,3,9.67,1,365,-1
3,3,2,10,4,2.53,0,350,-1
2,0,3,1,3,7.32,1,98,22
2,6,2,9,3,1.15,0,301,-1
2,6,5,17,4,11.26,1,193,-1
4,4,3,20,5,7.68,1,316,-1
1,5,1,1,3,5.73,0,33,-1
2,1,6,9,3,14.54,0,348,-1
4,1,4,14,4,14.13,0,325,-1
1,5,3,5,4,14.31,1,64,5
1,2,3,6,4,3.55,0,162,-1
2,5,4,5,5,11.01,0,175,-1
3,1,1,4,5,14.2,1,46,-1
3,3,2,16,4,8.69,1,217,-1
3,4,2,16,4,3.45,0,220,-1
2,5,6,10,5,12.32,1,10,-1
3,2,3,14,3,13.23,0,189,20
4,3,4,13,4,10.64,1,85,29
4,5,5,4,4,4.62,0,32,-1
4,3,1,14,3,3.1,0,94,-1
4,5,2,9,5,9.48,1,329,-1
1,3,1,3,4,7.4,0,180,-1
4,6,1,10,4,10.13,0,283,-1
3,0,6,15,5,1.94,1,22,-1
2,3,1,19,4,2.3,0,48,-1
3,6,4,2,5,5.63,0,331,-1
4,0,6,2,3,4.1,1,220,-1
1,1,4,9,3,9.4,1,1,-1
4,0,6,4,3,5.7,1,76,11
2,3,4,5,4,10.35,0,355,-1
3,4,6,2,3,11.6,0,110,-1
2,4,6,7,3,3.05,0,153,-1
2,1,3,19,5,13.82,0,144,-1
2,3,4,6,5,11.87,0,298,-1
3,0,3,16,4,9.51,0,96,24
4,4,6,14,5,13.66,1,314,-1
2,5,2,12,5,4.21,1,213,21
3,2,6,6,4,6.5,0,321,1
1,3,2,13,4,1.56,0,73,-1
3,6,2,15,5,7.01,0,294,-1
1,6,2,14,4,7.74,0,25,-1
3,5,2,8,3,9.36,1,221,-1
4,5,4,21,4,1.24,0,202,27
2,3,5,20,4,0.78,1,277,10
4,2,4,11,5,6.47,0,343,-1
3,4,5,21,4,3.08,1,28,-1
2,2,4,9,5,11.45,1,114,-1
1,1,2,12,4,10.13,0,265,-1
3,0,1,6,4,5.09,0,109,14
2,0,6,19,4,0.97,1,152,-1
1,5,5,3,3,2.98,0,117,-1
1,4,1,1,4,10.47,0,122,-1
4,2,2,15,5,14.86,0,204,-1
3,5,5,15,4,5.1,0,321,-1
1,3,1,5,5,12.09,0,250,-1
2,5,4,11,3,13.05,0,133,-1
1,3,2,1,4,1.01,1,251,-1
1,3,4,10,3,13.77,0,0,-1
4,1,4,20,4,7.15,0,283,-1
4,1,2,11,4,14.47,0,213,-1
2,3,5,7,4,8.22,0,123,-1
4,4,6,17,3,3.76,1,196,-1
1,1,3,12,4,14.63,1,19,20
1,1,3,4,4,3.88,1,331,-1
4,0,6,12,4,13.27,0,346,-1
1,5,2,3,4,2.84,0,313,12
1,0,3,18,4,10.22,0,168,-1
2,4,6,12,5,6.35,0,97,-1
4,1,1,19,5,14.59,0,145,9
1,6,6,13,4,3.02,1,161,17
4,1,5,16,4,6.31,0,65,-1
2,2,6,8,4,9.7,0,244,-1
4,4,4,6,3,14.67,1,358,-1
1,6,4,10,4,4.77,1,320,-1
4,5,2,10,3,6.13,0,125,-1
1,5,4,6,3,7.09,0,219,-1
1,6,1,8,4,4.01,1,360,-1
1,5,6,18,4,12.32,0,282,-1
2,6,1,17,3,1.65,1,29,-1
4,4,2,10,5,10.66,0,85,20
2,6,4,2,5,8.15,0,331,12
4,6,3,12,5,3.86,0,255,-1
2,2,6,20,4,7.54,0,224,26
3,2,3,10,3,12.5,1,296,-1
1,0,5,9,3,6.85,1,239,-1
1,4,2,16,3,2.09,1,256,-1
2,4,5,7,3,0.9,0,132,23
3,2,3,9,5,11.73,1,132,-1
1,3,3,6,5,5.16,1,70,-1
4,3,3,10,5,13.99,1,339,-1
2,0,5,7,4,9.37,0,281,-1
1,3,2,18,4,6.71,1,304,-1
1,3,6,11,4,8.6,0,325,-1
2,3,6,1,5,7.02,0,89,-1
2,1,1,21,4,13.62,0,316,-1
4,0,1,19,3,7.03,1,258,-1
4,2,3,5,3,1.83,1,166,29
1,3,2,6,4,9.08,0,77,-1
1,5,2,7,4,9.46,0,176,-1
2,6,4,4,5,11.55,0,269,-1
1,1,4,16,4,14.02,1,19,-1
1,3,5,10,4,6.81,1,136,-1
2,6,4,15,3,5.48,0,190,7
1,6,6,13,4,7.51,1,261,27
1,1,6,8,4,13.53,0,101,-1
3,0,5,13,4,14.71,0,104,-1
4,5,1,7,4,14.58,0,298,-1
2,5,3,17,5,3.68,0,319,-1
3,5,2,4,4,7.6,1,96,-1
4,3,1,7,4,4.11,1,299,-1
4,1,6,16,5,5.71,0,4,-1
4,5,1,2,5,0.77,1,140,-1
3,6,5,21,3,2.66,1,142,-1
3,6,3,14,5,6.14,0,236,-1
4,4,6,14,3,5.66,0,183,17
1,4,5,8,4,4.4,1,200,-1
1,1,1,6,3,3.69,1,345,-1
3,3,2,7,4,11.31,0,29,-1
3,3,4,7,4,4.63,0,311,21
3,0,5,2,4,10.69,1,123,-1
4,0,6,4,4,5.72,0,323,9
1,5,1,13,4,12.09,1,124,-1
3,2,4,10,3,2.76,0,302,11
3,6,4,9,5,2.62,0,283,-1
2,0,1,15,4,10.29,0,292,1
4,3,3,12,4,13.75,0,329,-1
2,6,1,10,5,2.4,0,72,-1
1,2,6,19,3,1.38,0,250,28
2,0,2,21,4,14.04,1,126,-1
2,1,6,5,4,2.02,0,291,-1
2,4,4,7,3,3.98,1,221,-1
4,0,2,20,4,13.96,1,330,-1
1,0,5,11,5,12.1,1,152,-1
2,1,4,16,3,5.34,0,330,-1
4,3,3,13,4,14.33,1,296,-1
1,5,1,4,4,8.65,1,182,-1
3,1,5,16,4,1.36,0,68,-1
2,5,6,13,4,10.64,0,218,-1
1,0,2,1,5,8.2,0,56,-1
2,3,5,4,4,8.72,0,2,-1
3,2,3,15,4,14.91,1,303,-1
1,0,1,21,4,2.54,1,58,23
4,1,5,16,4,9.95,1,291,0
1,2,6,4,5,7.04,0,182,-1
4,4,2,17,5,4.3,1,78,23
1,2,5,11,3,10.5,0,332,29
4,1,1,5,4,10.12,0,168,-1
3,6,6,13,4,12.89,1,73,-1
3,2,5,12,4,13.22,0,58,-1
3,1,2,3,5,8.56,0,161,-1
1,6,1,4,4,5.09,1,29,8
3,0,3,10,4,8.08,1,88,20
2,6,3,9,3,5.58,0,317,-1
3,3,4,10,4,4.38,1,69,-1
4,4,5,13,4,8.41,0,310,-1
4,6,2,1,4,9.97,1,356,-1
4,3,5,12,4,8.98,0,99,13
1,3,1,11,3,14.33,1,95,-1
2,3,4,21,4,4.69,1,277,28
3,6,2,8,4,5.77,0,352,-1
2,1,5,14,4,10.11,1,21,-1
2,1,2,14,4,9.13,1,355,-1
4,4,1,20,4,0.33,0,81,-1
4,1,4,17,3,4.89,1,219,5
4,5,2,19,3,4.03,1,278,-1
1,1,1,20,3,12.65,0,73,8
2,1,3,21,4,13.03,0,65,28
2,1,2,21,3,4.47,0,269,29
1,0,4,17,4,1.8,0,146,22
1,4,6,6,4,3.32,0,324,19
1,5,6,14,5,2.9,0,249,-1
2,1,2,18,5,3.79,1,175,-1
2,4,2,17,5,3.75,1,95,-1
4,2,1,6,4,7.35,1,329,-1
4,0,5,5,4,5.0,1,132,-1
2,6,6,13,4,8.53,0,205,0
4,1,5,16,5,5.36,1,233,-1
1,5,6,21,5,12.28,0,170,-1
3,0,2,9,4,14.28,0,330,-1
4,5,4,12,4,6.24,0,166,-1
2,6,4,10,4,1.03,0,357,-1
4,6,6,13,4,3.82,0,314,-1
4,0,6,19,4,1.8,0,236,-1
4,2,1,16,5,5.37,1,237,-1
3,4,2,17,4,9.78,0,93,-1
1,0,2,16,4,7.93,0,179,-1
2,3,5,14,5,3.87,1,349,-1
3,6,1,16,3,11.58,0,238,-1
2,2,3,15,3,2.23,1,202,-1
2,6,4,12,4,3.65,0,213,-1
2,3,4,5,3,10.24,0,265,-1
3,2,2,11,4,3.2,0,106,-1
1,6,1,5,3,10.28,0,338,-1
2,3,3,11,3,14.66,0,270,-1
1,3,4,2,4,12.52,0,315,-1
1,6,1,19,4,2.65,1,34,-1
4,6,3,17,4,7.95,0,34,-1
3,5,6,19,3,6.51,0,0,-1
3,0,2,12,4,14.88,1,46,-1
4,0,5,20,4,14.48,1,108,-1
4,2,4,5,4,2.17,0,110,17
1,4,4,12,3,13.66,0,244,-1
2,6,3,16,4,3.14,0,273,-1
3,5,5,1,4,5.0,1,25,-1
2,0,6,2,4,5.5,1,315,-1
2,0,1,10,5,4.52,1,145,24
4,5,2,2,5,12.84,1,318,-1
2,1,1,10,4,5.15,0,40,-1
1,5,3,18,3,12.31,0,209,-1
4,0,4,1,4,14.92,1,42,-1
2,4,6,5,3,12.66,0,223,9
4,1,4,12,4,5.39,1,293,-1
1,3,1,17,4,10.76,0,249,-1
1,5,6,19,5,8.15,0,154,-1
2,3,2,18,5,11.86,1,176,-1
4,1,3,13,4,2.55,1,311,-1
2,1,2,3,4,9.68,1,176,17
2,1,3,21,4,11.67,1,211,6
4,2,2,10,3,11.49,0,187,22
2,5,1,14,5,14.46,1,354,-1
1,6,5,8,4,1.16,1,86,-1
4,4,6,10,3,5.38,0,311,-1
4,4,3,2,4,7.31,1,203,-1
4,3,1,13,3,4.85,1,116,8
4,3,4,5,3,4.85,1,226,-1
2,6,4,11,4,2.89,0,61,-1
2,3,2,1,4,12.25,1,99,-1
1,5,4,10,4,13.65,0,169,-1
3,0,5,13,4,1.51,0,155,-1
3,3,3,4,3,2.58,1,36,-1
1,1,2,21,4,3.66,0,275,23
3,3,3,10,4,7.78,0,34,-1
1,1,3,12,5,11.93,0,326,22
2,2,1,14,3,1.35,0,353,-1
4,0,4,3,3,9.66,1,261,-1
4,0,6,2,5,2.5,0,18,-1
2,6,3,19,5,14.58,0,361,-1
4,5,5,11,5,13.51,0,7,29
4,5,5,21,3,14.26,1,271,18
3,4,6,7,4,1.86,1,365,28
2,2,4,18,4,7.47,1,23,-1
3,6,4,14,5,2.73,0,140,-1
3,5,2,7,3,9.13,1,118,-1
4,1,2,7,3,3.72,0,8,-1
4,2,2,9,4,11.63,0,167,-1
2,0,4,12,3,9.77,0,262,-1
4,1,3,6,4,8.7,0,207,-1
4,6,1,7,5,12.43,0,287,-1
2,6,6,4,4,7.65,0,59,2
4,2,6,16,4,4.27,0,348,-1
3,0,6,7,5,9.42,1,362,-1
2,5,2,8,3,14.37,0,50,-1
4,1,1,8,3,9.14,1,39,-1
1,1,5,20,4,9.56,0,334,-1
2,0,4,3,3,14.04,0,266,-1
2,1,5,9,3,7.87,0,328,-1
1,5,2,19,4,14.95,0,15,20
4,5,3,13,5,2.65,1,280,-1
4,5,2,7,5,8.19,1,201,7
2,0,1,20,4,3.43,0,83,-1
2,3,2,21,3,6.96,0,296,-1
4,3,6,15,3,2.81,0,64,-1
4,6,3,19,4,3.57,0,159,6
3,6,3,2,3,3.4,1,103,-1
2,1,4,12,3,5.0,0,350,-1
2,5,4,8,4,2.28,0,175,26
1,1,6,8,4,12.2,0,53,-1
