id_заказа,регион,тип_доставки,расстояние_км,время_доставки_ч,рейтинг_клиента,кол_во_товаров,сумма_заказа_руб,подарок,задержка
73,Центр,Экспресс,1.4,1.0,3.2,1,983,Нет,0
30,Центр,Экспресс,8.5,6.0,3.9,3,3820,Нет,0
81,Восток,Стандарт,41.5,36.3,1.2,2,4857,Нет,1
405,Центр,Экспресс,7.0,3.4,3.7,4,1742,Нет,0
69,Центр,Бесконтактная,4.2,2.5,3.1,3,2898,Нет,0
216,Центр,Бесконтактная,3.0,5.1,4.2,2,1156,Нет,0
7,Центр,Бесконтактная,7.2,7.5,4.2,3,462,Нет,0
254,Центр,Экспресс,2.1,1.2,4.4,3,3586,Нет,0
379,Юг,Стандарт,9.1,8.4,3.1,5,2528,Нет,0
468,Восток,Стандарт,26.3,27.1,4.4,2,1758,Нет,0
125,Центр,Экспресс,6.9,2.7,3.6,2,1796,Да,0
95,Юг,Бесконтактная,6.9,7.1,3.9,4,2103,Нет,0
373,Центр,Экспресс,8.7,2.0,3.6,2,248,Нет,0
260,Центр,Экспресс,6.2,3.2,4.5,3,4159,Нет,0
476,Восток,Стандарт,36.7,29.6,3.4,3,4112,Да,1
193,Восток,Стандарт,23.8,20.3,4.6,1,4796,Да,0
59,Центр,Экспресс,5.3,3.6,2.8,2,4336,Нет,0
136,Центр,Экспресс,1.7,1.0,4.7,2,1534,Да,0
442,Восток,Стандарт,13.8,12.4,4.4,3,4468,Нет,0
171,Юг,Стандарт,13.5,15.2,3.3,3,3445,Нет,1
342,Север,Экспресс,16.6,4.9,3.2,1,2196,Нет,0
123,Центр,Экспресс,8.8,5.7,4.4,1,2277,Нет,0
245,Центр,Стандарт,7.8,5.1,2.7,3,2784,Нет,0
178,Центр,Экспресс,2.0,1.0,4.3,5,4744,Да,0
376,Центр,Стандарт,8.8,9.1,3.8,5,4213,Нет,0
258,Юг,Экспресс,11.4,5.8,4.2,2,4694,Нет,0
201,Юг,Экспресс,15.9,7.1,2.9,1,2281,Нет,0
49,Север,Экспресс,26.8,15.3,3.4,4,2643,Нет,0
461,Центр,Стандарт,4.5,5.8,2.1,3,3366,Нет,1
374,Юг,Стандарт,11.4,8.2,3.7,5,3673,Нет,0
215,Юг,Стандарт,14.8,13.5,2.8,2,639,Нет,0
209,Центр,Стандарт,3.5,4.5,3.8,2,243,Да,0
256,Север,Экспресс,15.8,10.2,4.8,3,2324,Да,0
86,Центр,Стандарт,5.2,1.0,4.3,3,2823,Нет,0
317,Север,Экспресс,18.2,7.7,2.8,3,764,Нет,0
484,Юг,Стандарт,3.1,1.0,3.1,3,350,Нет,0
128,Восток,Экспресс,26.3,8.8,3.0,1,4733,Нет,0
183,Восток,Стандарт,35.3,40.2,1.5,6,4438,Нет,1
98,Север,Стандарт,9.7,6.7,4.4,1,955,Нет,0
41,Центр,Бесконтактная,5.9,6.7,3.3,4,404,Нет,0
272,Юг,Бесконтактная,17.6,16.5,4.8,5,3345,Да,0
333,Центр,Стандарт,3.1,1.3,4.3,2,3117,Нет,0
138,Юг,Стандарт,11.4,6.9,4.8,4,2274,Да,0
54,Восток,Стандарт,42.0,22.2,4.4,1,3629,Нет,0
411,Центр,Экспресс,2.9,1.3,3.5,2,2428,Да,0
407,Центр,Экспресс,8.6,5.1,3.6,4,1882,Нет,0
445,Юг,Стандарт,17.8,11.3,2.6,1,951,Нет,0
237,Центр,Экспресс,8.8,2.9,3.8,2,3161,Нет,0
242,Восток,Стандарт,41.1,45.1,2.2,2,1981,Да,1
94,Север,Стандарт,17.8,14.0,3.3,1,2853,Нет,0
23,Центр,Бесконтактная,9.3,8.9,4.0,1,3621,Нет,0
323,Юг,Стандарт,17.8,15.7,4.3,2,975,Нет,0
142,Центр,Экспресс,4.1,2.6,4.5,1,1061,Да,0
197,Юг,Стандарт,19.5,14.8,4.3,6,3428,Нет,0
67,Центр,Экспресс,3.1,1.0,4.5,4,3566,Нет,0
46,Юг,Стандарт,13.5,14.2,3.5,4,3843,Нет,1
226,Центр,Экспресс,6.7,1.4,3.3,1,3717,Да,0
56,Восток,Стандарт,24.0,17.9,3.5,3,4621,Нет,0
17,Центр,Экспресс,2.6,1.0,3.4,1,3383,Нет,0
173,Север,Стандарт,20.8,12.5,2.7,3,3128,Нет,0
100,Центр,Стандарт,4.2,4.8,3.6,3,1592,Да,0
482,Юг,Экспресс,5.0,3.0,3.8,4,1968,Нет,0
39,Юг,Стандарт,4.1,5.1,3.2,6,3002,Нет,0
488,Центр,Экспресс,7.3,2.8,3.2,3,1368,Нет,0
434,Центр,Экспресс,7.0,1.7,3.1,4,1015,Нет,0
210,Центр,Экспресс,10.0,3.9,2.8,1,3029,Нет,0
393,Центр,Экспресс,2.5,1.4,4.0,1,4411,Да,0
440,Центр,Экспресс,7.1,3.1,3.6,4,3066,Нет,0
50,Центр,Экспресс,1.2,1.0,2.8,1,1973,Нет,0
214,Центр,Экспресс,8.2,4.3,2.6,3,3627,Нет,0
377,Юг,Экспресс,10.6,4.0,3.9,6,4143,Нет,0
33,Центр,Бесконтактная,3.1,2.3,4.2,1,3373,Нет,0
227,Восток,Стандарт,25.9,23.1,2.5,3,3112,Да,1
259,Север,Бесконтактная,6.6,7.3,3.5,2,507,Нет,0
169,Центр,Стандарт,1.1,1.0,3.6,2,4832,Нет,1
268,Юг,Бесконтактная,11.2,8.7,4.5,3,4650,Нет,0
261,Юг,Стандарт,7.6,2.0,3.9,5,1603,Нет,0
184,Восток,Стандарт,47.3,36.1,2.8,3,1173,Нет,1
328,Юг,Стандарт,16.4,9.1,5.0,3,1359,Да,0
269,Центр,Экспресс,6.4,2.9,3.5,4,706,Да,0
494,Центр,Экспресс,1.7,1.0,2.9,1,4463,Нет,0
347,Юг,Стандарт,8.9,8.1,3.4,1,1024,Да,0
64,Центр,Стандарт,4.8,2.6,3.5,2,1811,Нет,1
229,Восток,Стандарт,49.4,31.4,3.0,2,590,Нет,1
145,Центр,Стандарт,3.4,2.0,2.7,4,2137,Нет,0
76,Юг,Бесконтактная,10.3,11.3,4.4,4,2045,Нет,0
144,Центр,Экспресс,6.1,3.6,3.9,4,744,Да,0
29,Север,Стандарт,13.0,10.0,4.2,2,4927,Нет,0
308,Центр,Бесконтактная,8.2,7.2,3.5,3,4322,Нет,0
400,Юг,Стандарт,15.0,10.0,4.2,5,2002,Да,0
150,Центр,Экспресс,8.8,1.8,3.6,2,2109,Нет,0
38,Центр,Стандарт,7.5,7.3,4.7,3,3947,Да,0
160,Юг,Экспресс,3.5,1.6,3.4,3,563,Да,0
345,Центр,Стандарт,7.7,4.5,3.3,5,3543,Да,0
368,Восток,Стандарт,46.4,33.3,2.0,2,2476,Нет,1
319,Центр,Стандарт,1.7,1.0,3.9,7,210,Да,1
437,Центр,Стандарт,3.8,3.0,4.2,5,3800,Нет,0
235,Центр,Экспресс,6.9,1.9,4.1,1,2812,Нет,0
334,Центр,Стандарт,10.0,5.9,4.4,8,1378,Нет,0
135,Восток,Стандарт,37.3,34.7,2.8,4,687,Да,1
