client_id,age,gender,membership_type,monthly_fee,avg_visits_per_week,trainer_rating,avg_session_duration,weight_change_kg,member_satisfaction
JO1S0,34,female,morning,1459.11,4.9,elite,58.0,-6.1,8.0
7MPER,25,female,vip,8239.73,0.5,mid,55.0,-2.7,7.0
8KNKG,31,female,day,2017.28,5.2,senior,79.0,,7.0
F97G4,16,female,day,1875.75,1.9,mid,42.0,-1.7,6.0
TE93A,49,female,day,1647.32,1.6,mid,45.0,,6.0
FNW12,36,female,day,2483.82,4.5,junior,27.0,-8.0,8.0
PCRSR,30,female,day,2062.72,2.5,mid,47.0,-9.1,7.0
JU81E,38,male,full,3532.52,2.6,senior,63.0,-4.7,6.0
VT6MR,45,male,day,2015.91,5.0,elite,60.0,,7.0
OAN8K,66,male,day,1927.49,2.8,mid,45.0,-2.7,8.0
T60XY,30,female,vip,6526.3,1.6,senior,,,8.0
ZZOCT,55,male,full,3133.99,4.7,mid,53.0,-1.8,10.0
RMC6J,47,male,day,1777.28,3.2,senior,28.0,1.7,8.0
KSCQS,22,male,morning,1355.35,4.5,senior,29.0,-3.4,8.0
7OK3F,34,female,full,3442.78,1.9,mid,38.0,-0.9,
CDGEB,33,female,day,1454.47,4.6,senior,61.0,-1.5,7.0
1QBTR,39,female,full,3363.03,3.1,mid,45.0,0.9,6.0
RS9MK,31,female,morning,1298.46,3.7,mid,45.0,1.2,5.0
RDE7N,37,male,full,3761.4,1.9,mid,32.0,0.7,7.0
6GW09,50,male,vip,5201.99,2.4,mid,58.0,0.9,6.0
GQ85K,20,female,morning,1003.27,7.4,mid,38.0,,5.0
19JLE,34,female,day,1891.92,12.7,senior,59.0,,7.0
LHWQO,46,male,vip,6482.82,3.4,mid,38.0,-3.4,10.0
R2ZLC,34,female,day,2067.79,6.6,mid,45.0,,8.0
9HIF1,39,female,morning,1735.96,3.8,mid,35.0,-5.9,8.0
N9766,31,female,vip,6275.12,2.0,senior,60.0,1.2,9.0
REGQJ,42,male,vip,4747.73,3.0,senior,87.0,-1.5,8.0
5AIB2,28,male,day,2019.52,3.2,mid,30.0,-0.6,5.0
KSL73,23,female,full,2360.91,3.8,elite,59.0,-1.1,10.0
383HU,20,female,morning,1634.91,4.4,senior,53.0,1.7,8.0
5S17D,27,female,full,2258.85,2.3,mid,41.0,,8.0
KWMR5,51,male,day,1775.3,4.7,senior,66.0,-4.8,6.0
6C27N,35,male,morning,1775.93,3.5,senior,66.0,,
GXCEY,31,female,morning,1547.66,4.3,senior,69.0,1.6,8.0
F3ZWO,16,female,full,3257.6,3.1,mid,32.0,0.7,6.0
6CY2Z,42,female,morning,1531.47,3.4,mid,37.0,-3.6,8.0
G6W9T,20,female,morning,1699.17,3.2,elite,,0.5,9.0
M7WCR,28,female,day,1864.39,5.4,mid,55.0,-4.7,6.0
C9MT1,29,female,day,1812.32,3.7,mid,32.0,-7.9,6.0
MUPLD,35,male,morning,1591.58,5.1,elite,70.0,-1.1,7.0
3SB9W,32,female,day,2077.79,10.2,mid,58.0,1.1,7.0
QLN58,63,female,day,2426.28,4.5,elite,62.0,,
QGG4S,40,female,morning,1489.64,2.9,junior,34.0,4.1,5.0
SI7GO,36,female,morning,1120.49,5.9,mid,88.0,0.0,7.0
MWBVG,16,male,day,1737.98,3.3,junior,47.0,,7.0
I2H2M,26,female,full,3034.07,4.1,mid,63.0,,
3ZAP6,54,male,day,1820.21,4.3,senior,50.0,-2.7,8.0
E3NIL,30,female,full,3301.19,6.0,senior,44.0,3.1,6.0
UIJRL,22,female,day,1994.86,4.9,elite,64.0,,8.0
MV6L7,45,male,full,3009.35,5.8,senior,51.0,,8.0
0MW04,26,female,full,3106.86,5.5,mid,77.0,-0.1,7.0
V8TQ1,52,male,full,3291.19,3.5,mid,59.0,,4.0
GOWYP,33,female,morning,1645.77,5.7,elite,42.0,-2.9,7.0
AIN4O,24,female,vip,5010.58,0.5,junior,63.0,,7.0
AR1B0,56,female,day,1710.87,5.3,mid,54.0,-3.2,6.0
EYXH0,35,female,day,1944.34,4.1,mid,55.0,-1.7,8.0
XOFI3,33,male,full,3057.09,4.5,senior,68.0,-2.0,7.0
3Z2RY,21,male,day,2202.49,7.5,elite,57.0,-1.7,7.0
Q0QAA,38,male,vip,7307.09,2.7,elite,71.0,,8.0
BNFQE,31,female,day,1951.48,5.5,junior,42.0,,7.0
JJFKI,28,male,full,3110.35,3.1,mid,39.0,-6.6,5.0
W1JEK,19,male,full,3329.65,1.7,mid,40.0,,8.0
YROJY,32,male,morning,1347.39,3.3,senior,45.0,-3.4,
G8DL6,33,female,day,2198.53,2.9,mid,41.0,-1.0,7.0
OXRQ2,47,female,vip,5243.66,1.8,junior,55.0,-1.1,7.0
X28AU,30,female,full,3619.59,4.0,mid,63.0,-3.0,7.0
6D70T,44,male,day,2328.11,2.2,mid,44.0,-1.9,8.0
UGHFV,55,male,morning,1335.29,3.6,senior,49.0,-3.8,8.0
B8RVI,16,male,full,2860.36,1.7,junior,47.0,0.5,6.0
DMB9N,19,female,full,3114.94,5.3,elite,58.0,-4.5,10.0
EV58K,25,male,day,1846.91,11.4,elite,75.0,,
JQQSR,53,male,morning,1405.71,5.1,junior,61.0,-3.0,6.0
SX7QQ,18,female,morning,1297.62,3.9,senior,50.0,,8.0
PC65G,16,female,day,2510.59,5.2,elite,42.0,-6.5,8.0
LZPZB,41,female,vip,5712.79,3.1,senior,66.0,-6.6,8.0
PT7M0,25,female,day,1968.87,3.0,senior,47.0,-3.9,6.0
KLKRG,27,female,morning,1936.82,3.5,senior,45.0,-5.0,8.0
WQ11P,23,female,day,2175.74,7.0,elite,65.0,-2.7,8.0
YYG82,20,female,day,2238.22,2.7,junior,59.0,-3.1,9.0
JD7ES,34,female,day,1706.24,4.2,senior,31.0,0.3,7.0
3HRGB,41,female,day,1988.38,4.3,mid,,,6.0
LY6LE,50,male,full,2961.36,5.8,elite,56.0,0.4,7.0
HDYRQ,16,female,vip,5963.29,0.5,junior,54.0,-4.9,6.0
ZKZX9,35,female,day,2100.33,4.1,mid,34.0,-1.2,7.0
XDI1M,52,male,morning,1506.91,6.1,mid,27.0,,7.0
258YN,27,female,full,2731.06,4.5,elite,70.0,,8.0
W0YLP,40,male,day,2149.67,4.8,mid,40.0,,5.0
1EOB8,31,male,full,3581.59,4.2,senior,58.0,,10.0
FXGOG,25,female,vip,6126.13,1.3,mid,22.0,,8.0
VHQP6,16,female,vip,5773.14,2.5,junior,77.0,-9.7,6.0
VCNX1,51,female,day,1950.44,5.1,elite,39.0,,9.0
CJUDS,26,female,morning,1408.13,1.6,mid,45.0,-5.3,8.0
K7WV3,43,female,morning,1529.94,5.0,senior,63.0,-1.5,8.0
7QY7Q,16,female,full,2885.59,8.6,senior,55.0,-1.9,7.0
V5EMX,36,female,vip,5978.25,3.0,senior,49.0,-2.7,7.0
AJE2L,33,male,day,2664.42,3.8,mid,45.0,,8.0
47B3F,16,female,morning,1335.77,5.8,senior,48.0,-6.4,8.0
2V78K,47,male,day,2046.51,2.7,mid,64.0,-6.4,9.0
V695K,29,male,day,2140.37,5.7,mid,50.0,2.6,5.0
8MDPR,26,male,vip,6290.96,2.1,elite,,3.6,9.0
7TPHD,28,female,vip,6365.71,2.2,senior,78.0,-2.1,8.0
VBQT6,26,female,full,3352.42,4.0,senior,42.0,1.0,8.0
930RB,34,male,day,2187.57,10.2,mid,26.0,-2.2,8.0
8VUYV,37,female,day,2132.91,4.0,junior,36.0,,7.0
O8EOG,30,female,day,2031.76,0.7,junior,65.0,,
UEQXQ,23,male,full,3106.24,2.5,mid,42.0,,6.0
60K0U,46,female,full,2633.96,2.9,senior,66.0,-0.4,8.0
4T026,48,female,morning,1424.53,3.6,junior,46.0,-1.5,6.0
JLE9M,27,male,vip,6353.92,1.1,mid,83.0,-0.9,7.0
AJIL6,16,male,day,2461.66,4.2,elite,60.0,-2.0,8.0
UPBHH,42,male,morning,1384.45,1.6,junior,62.0,3.2,9.0
DP2OT,31,male,day,2000.3,4.6,junior,34.0,,5.0
V2N7D,38,male,vip,6787.93,2.9,mid,46.0,,6.0
ZPG6J,29,male,vip,4902.57,2.0,mid,47.0,-0.7,6.0
EILGR,46,female,full,3104.41,3.2,senior,68.0,-3.1,8.0
QHBB5,24,female,vip,5126.48,0.5,junior,54.0,,7.0
V3907,37,female,day,1649.53,3.4,mid,61.0,-0.3,7.0
NLTTB,38,female,day,1681.28,4.4,junior,38.0,-5.1,6.0
CSB9E,55,male,day,1879.88,4.5,elite,68.0,1.1,8.0
W0CNJ,35,male,full,3275.27,3.8,junior,53.0,-3.0,6.0
75REI,30,male,day,2126.8,1.5,junior,41.0,-5.5,6.0
2F4TR,27,female,full,3128.59,3.5,mid,62.0,-2.2,9.0
X2BJ4,43,female,full,3291.22,4.6,elite,44.0,-1.7,7.0
I7CET,45,female,full,2928.4,3.3,mid,37.0,,8.0
J15GO,59,male,day,2038.83,2.6,mid,43.0,,7.0
4BDFG,27,female,morning,1023.05,4.0,senior,64.0,-4.4,7.0
WZNPF,32,female,morning,1475.44,4.7,mid,48.0,-5.6,9.0
ALMU1,43,male,full,2979.89,1.8,mid,41.0,,8.0
IFE9A,39,male,morning,1532.45,0.8,mid,52.0,-0.7,
Y2DOQ,55,male,day,23.10947755958922,5.5,senior,50.0,0.0,8.0
C8PZJ,45,female,morning,1418.8,4.2,senior,50.0,,
DXTEZ,49,male,full,3541.96,4.0,mid,40.0,,
ZX4GH,30,female,full,2849.22,4.5,senior,40.0,-4.1,
2MXST,29,female,day,1806.0,2.5,mid,35.0,-0.7,4.0
XRN23,36,male,full,2624.91,5.5,senior,44.0,1.0,
HUTD8,36,female,day,2165.34,2.4,elite,40.0,,9.0
GKV9K,49,female,morning,1869.09,3.5,mid,46.0,2.1,9.0
95I2L,47,male,full,2424.47,2.9,mid,44.0,,5.0
RQD7T,22,female,day,1958.87,2.0,junior,59.0,,7.0
362Q1,24,female,morning,994.84,8.0,mid,45.0,-2.3,8.0
1V5EW,28,female,full,2888.39,3.7,mid,62.0,,7.0
ZGVMF,45,female,morning,1460.11,5.1,junior,44.0,,7.0
EX12O,39,female,morning,1504.7,4.9,senior,36.0,,7.0
RFWJD,42,female,morning,1448.62,3.4,senior,41.0,2.8,7.0
LOG54,27,female,morning,1433.47,3.8,elite,44.0,,9.0
D4Y80,18,female,morning,1281.04,1.3,mid,16.0,-1.1,6.0
65TKM,35,male,full,3921.87,4.3,mid,60.0,-0.3,7.0
WZJCL,45,male,day,1953.78,3.2,junior,40.0,-6.3,6.0
B1JBT,53,male,day,2312.7,4.0,junior,62.0,-1.0,8.0
0V8KW,44,male,morning,1566.21,4.4,senior,61.0,-2.0,8.0
V7CWD,40,female,morning,1162.22,3.7,mid,19.0,-3.0,8.0
AA3RJ,33,male,full,3029.34,4.9,mid,46.0,-1.3,7.0
2XB54,28,female,day,1797.04,4.7,senior,42.0,-3.3,7.0
1KZCS,33,female,day,1965.45,5.8,senior,66.0,0.3,
M5M0C,32,male,day,1818.42,3.0,senior,47.0,0.9,
DVNFB,35,female,day,1674.58,5.4,senior,68.0,-4.1,8.0
XOJAH,35,female,full,3138.54,1.6,mid,56.0,-3.7,7.0
BQKNK,20,female,morning,1735.79,3.3,mid,43.0,1.3,7.0
RQMIL,56,male,full,2935.1,4.1,mid,46.0,,10.0
FYZC9,22,female,vip,5481.96,4.5,mid,77.0,,5.0
A4LIR,42,female,morning,1436.22,3.2,junior,39.0,-3.6,7.0
AYA9E,30,male,vip,6227.66,2.3,senior,82.0,2.9,7.0
YR55A,39,male,full,2884.46,1.7,junior,75.0,-0.9,
Q6EQE,36,male,full,2788.76,5.9,junior,50.0,,6.0
033K5,16,male,full,2534.12,6.1,elite,72.0,,7.0
CNUID,41,male,full,3084.8,3.4,mid,45.0,1.0,8.0
GH8AX,19,female,full,3338.87,1.5,mid,44.0,-0.3,8.0
FJJWE,16,female,morning,1610.83,4.2,senior,50.0,-2.3,9.0
PLHBN,53,male,day,2235.5,3.2,senior,34.0,-1.9,7.0
O8H3V,24,female,day,2020.13,3.1,mid,36.0,,8.0
7NMZO,16,male,vip,4956.31,2.5,senior,82.0,-1.7,9.0
YRUWQ,71,male,vip,5043.77,0.5,junior,70.0,,6.0
JK7DB,50,male,day,2072.64,3.4,junior,31.0,,5.0
38E33,28,female,morning,1310.9,4.0,mid,51.0,-4.0,4.0
LNYVB,28,male,day,1844.01,3.6,junior,34.0,-5.9,
1I7KJ,37,female,vip,5641.4,4.8,mid,58.0,1.1,7.0
HF6QM,16,male,vip,5544.31,2.7,senior,60.0,0.4,7.0
RQ8J2,21,female,full,2267.11,5.1,senior,59.0,1.6,8.0
MKHDU,26,female,morning,1798.46,3.9,mid,55.0,-0.2,8.0
JZCGJ,34,female,morning,2078.65,2.9,mid,37.0,,9.0
0QDF5,43,female,morning,1464.15,3.2,mid,48.0,,7.0
XTM4W,41,male,day,1794.45,1.7,mid,39.0,3.5,6.0
WC45K,42,male,vip,7003.0,1.5,junior,45.0,-1.9,6.0
NPFO8,23,female,vip,6323.98,4.2,mid,44.0,-3.5,7.0
M8ZEH,27,female,morning,1213.14,2.5,elite,69.0,-3.3,7.0
NP61O,47,female,full,3245.66,3.5,mid,69.0,3.6,6.0
NMMFL,35,female,full,3366.49,2.3,mid,58.0,-0.2,7.0
DPIXP,27,female,morning,1638.02,6.5,mid,47.0,-0.9,8.0
XXMSL,36,female,day,1612.28,4.2,elite,73.0,,8.0
ERPLT,26,female,full,2473.72,3.7,mid,45.0,-2.2,6.0
5KER2,34,female,day,2157.68,1.7,mid,56.0,-1.4,7.0
NBY1J,30,male,morning,1785.09,1.1,mid,47.0,-1.2,
O5B7H,52,female,vip,4905.64,1.9,mid,57.0,,5.0
50ZNY,22,male,vip,6755.67,2.0,mid,64.0,-4.1,8.0
IRLR6,31,female,day,1765.24,3.3,mid,39.0,,7.0
5GWTJ,34,female,morning,1428.56,4.0,mid,55.0,-3.1,8.0
TMG12,55,male,full,2170.14,1.5,senior,55.0,-1.4,8.0
YET7V,18,female,morning,1423.11,3.0,mid,38.0,-4.6,
VSW7G,30,male,full,2878.56,7.0,senior,55.0,-1.5,7.0
5WHBM,32,female,full,3214.23,5.1,mid,56.0,,8.0
XP9AE,42,female,day,2069.48,5.6,mid,67.0,-4.6,7.0
RM5CO,59,female,morning,1490.37,4.0,elite,55.0,-0.2,8.0
FJJPI,25,female,morning,1540.65,3.1,mid,45.0,-1.8,9.0
3H243,35,male,day,1787.31,3.4,mid,47.0,-2.6,6.0
WUYWZ,54,female,full,2502.57,3.8,junior,65.0,,7.0
N91P7,33,female,full,3022.68,5.4,junior,27.0,,7.0
BLKV4,25,male,vip,5972.58,5.8,elite,47.0,,8.0
SJFH0,38,female,full,3024.46,4.5,mid,53.0,,9.0
NO3LU,39,male,vip,6515.88,3.5,mid,59.0,-2.7,9.0
060Z1,23,female,vip,5416.78,2.0,senior,47.0,,8.0
761HI,47,male,day,1923.18,3.0,senior,42.0,-6.4,7.0
9UI2O,38,female,full,2598.32,1.9,junior,37.0,-4.6,
O0ZTB,27,female,day,1957.23,3.1,junior,61.0,-1.1,8.0
PEI7U,44,female,morning,1733.32,4.9,senior,61.0,1.5,7.0
LMOZE,19,male,day,2198.39,2.3,mid,47.0,-4.7,9.0
S0E7X,30,female,day,1978.36,3.9,senior,61.0,-0.2,9.0
CR1DA,32,female,morning,1403.0,2.9,elite,77.0,0.7,7.0
Y6JAQ,47,female,morning,1526.07,5.8,mid,63.0,-3.6,8.0
1J6VB,24,female,vip,5828.01,1.6,senior,60.0,-4.5,8.0
U6DUL,37,female,full,2521.04,3.1,junior,33.0,0.3,4.0
L1K79,38,female,day,2008.6,2.7,junior,51.0,2.3,6.0
NR69N,41,female,full,2516.87,3.8,mid,49.0,-3.7,7.0
O3SIS,39,female,vip,5548.63,0.5,junior,35.0,,5.0
JIYYJ,37,female,day,1521.72,5.0,mid,34.0,-3.8,8.0
IAMKW,33,male,full,3178.75,2.4,mid,55.0,-0.4,7.0
DDWKN,39,female,morning,1232.05,2.9,mid,59.0,-4.9,5.0
JTFAF,48,male,vip,7061.28,1.7,senior,59.0,1.0,7.0
BPRVA,46,female,day,2119.88,3.9,mid,32.0,,7.0
0ED3R,24,male,vip,4954.49,2.6,elite,71.0,-9.1,9.0
4WX5Y,29,male,day,2295.36,4.6,mid,50.0,-4.2,
S1B2R,42,male,full,3244.59,0.5,junior,58.0,-4.8,8.0
UZOT9,36,female,morning,1233.71,3.2,senior,62.0,-0.3,
X58NP,37,female,full,3356.88,3.9,junior,52.0,-4.8,5.0
0ABQS,27,male,day,1739.6,2.7,mid,41.0,,8.0
WVVDA,23,female,morning,1335.12,4.0,elite,55.0,,8.0
MOVTO,37,male,day,1753.66,3.0,mid,48.0,1.5,7.0
MT7ZC,62,male,full,3131.97,4.6,mid,45.0,,7.0
MHJDF,24,female,morning,1419.14,2.3,mid,35.0,3.9,6.0
SLT4W,19,male,full,3277.92,5.4,senior,56.0,5.5,10.0
6JOWN,31,female,full,2092.07,4.3,senior,69.0,1.9,
JZ7E8,33,female,vip,6325.84,1.8,junior,76.0,0.3,8.0
J8S09,38,female,morning,1216.52,5.2,senior,54.0,0.9,7.0
G11N9,16,female,day,2317.35,7.1,elite,59.0,-6.4,7.0
J38ZV,16,female,morning,1473.91,6.3,mid,50.0,,8.0
H3ROS,43,female,morning,1215.76,2.0,senior,54.0,-2.9,7.0
JEB04,20,female,day,1794.8,2.5,senior,58.0,1.3,8.0
RCFF4,51,male,day,2081.76,1.4,junior,24.0,-3.9,
24G9W,29,female,day,2186.2,5.4,senior,34.0,,
SW3XT,38,male,day,1943.43,5.1,senior,35.0,-3.7,8.0
QI2J0,22,female,day,2248.56,5.7,senior,27.0,,7.0
BRLJT,32,female,morning,1593.98,3.4,junior,54.0,,8.0
9W97R,16,male,day,2051.36,2.8,senior,50.0,-0.7,7.0
WG3FU,28,female,full,2447.07,5.4,senior,42.0,,9.0
E6RB7,40,male,day,1886.43,3.2,mid,45.0,,7.0
BZR84,37,female,morning,1488.51,4.1,junior,59.0,-6.1,7.0
RDPPH,31,male,full,2380.35,2.2,senior,55.0,-2.1,8.0
JWTA7,38,female,vip,6375.8,2.5,elite,81.0,3.4,7.0
HY5AA,60,male,vip,7671.64,2.2,junior,70.0,3.3,6.0
LCQZM,35,female,morning,1297.62,3.8,senior,55.0,5.4,6.0
G8KHG,23,female,morning,1549.37,5.1,senior,55.0,-6.2,10.0
2Q1VP,39,male,morning,1458.92,2.8,junior,53.0,-1.8,6.0
RDRZ3,29,male,day,1555.01,2.9,senior,46.0,,8.0
1J1DZ,57,male,day,1833.33,2.3,mid,44.0,0.4,7.0
VNRCD,31,female,morning,1151.78,3.0,senior,48.0,-1.7,8.0
INDJD,30,male,vip,5851.1,1.4,senior,65.0,-0.8,7.0
18M6J,22,female,full,3413.25,2.7,senior,51.0,-0.0,9.0
YP0B8,16,female,full,2632.0,3.7,mid,45.0,,6.0
46020,38,female,vip,5014.25,4.2,junior,53.0,-5.4,9.0
XH7J5,18,female,morning,1604.52,3.8,elite,58.0,2.1,8.0
LAJ0L,36,female,morning,1481.22,13.3,senior,67.0,-4.2,
LD8A8,50,male,full,3355.84,2.4,mid,58.0,-1.6,
ZXDVH,40,male,vip,5969.29,2.9,mid,44.0,-5.0,6.0
Y1K2M,27,female,day,2092.44,2.5,junior,39.0,,6.0
3GZ7H,56,male,full,3667.37,2.5,senior,40.0,-2.7,8.0
0F77R,32,female,morning,1519.59,4.0,senior,69.0,-2.0,6.0
K8N4G,36,female,vip,5521.47,0.5,elite,60.0,-4.0,7.0
SF5KT,35,male,morning,1383.61,4.1,mid,36.0,1.0,7.0
QXA51,51,female,morning,1527.74,3.2,senior,47.0,2.4,4.0
LIBGU,32,female,full,2854.21,3.6,senior,54.0,,6.0
1MYPB,45,male,full,2808.43,4.0,senior,37.0,-8.0,5.0
TMITI,42,female,full,2673.65,4.2,senior,45.0,,6.0
UA2DP,22,male,day,2098.1,3.0,senior,60.0,-5.5,5.0
68LZ7,32,female,morning,1330.53,2.9,senior,34.0,-2.5,
APXNO,51,female,morning,1520.96,4.6,junior,46.0,-2.3,6.0
KSZ6D,16,female,morning,1432.83,6.5,mid,29.0,-11.7,
4J2JC,32,male,vip,7107.92,3.4,senior,81.0,3.8,7.0
9N7NF,48,male,vip,5680.4,3.4,elite,62.0,-1.1,7.0
SZGI2,36,female,morning,1764.81,3.2,mid,30.0,-1.1,7.0
116UE,47,male,vip,5970.93,1.1,junior,62.0,-2.3,8.0
1MXPG,26,female,morning,1687.99,2.7,mid,54.0,,7.0
5HC8M,32,female,day,2330.43,5.1,senior,39.0,-6.8,8.0
WKLUV,33,female,day,1737.7,3.0,senior,49.0,,8.0
RTPQH,37,female,morning,2070.7,3.7,mid,54.0,-1.0,8.0
ATWJF,18,female,morning,1410.51,0.8,mid,50.0,,6.0
ZKJM9,28,female,vip,7581.71,5.1,mid,66.0,-6.2,7.0
RLA5F,32,female,day,1913.75,4.6,senior,58.0,0.0,6.0
79H0D,16,female,morning,1531.58,1.8,senior,61.0,,
D3FMC,41,female,full,3061.24,8.5,mid,64.0,-0.2,7.0
06QSX,16,female,day,1806.69,3.8,mid,53.0,-2.0,6.0
6N089,33,female,full,3147.0,6.5,mid,57.0,4.7,7.0
70UQW,54,male,day,2027.26,2.9,mid,50.0,4.2,8.0
0424Q,41,female,day,1904.46,3.8,senior,44.0,-0.1,7.0
O6C5F,31,female,full,4236.44,5.1,junior,40.0,3.9,5.0
RPX3U,26,male,day,2549.36,5.5,elite,79.0,1.2,8.0
ENLEM,35,female,morning,1699.18,2.5,senior,35.0,0.5,7.0
KOYXP,27,female,morning,1733.14,4.5,senior,56.0,-5.0,7.0
1K6SE,26,female,morning,1714.27,3.2,mid,43.0,-0.6,8.0
GH2MY,28,female,full,2951.29,4.8,elite,65.0,-1.3,6.0
CT7IN,28,female,day,2202.06,3.0,senior,65.0,-1.6,8.0
KPK9H,26,female,day,1989.91,3.4,mid,31.0,,8.0
GKHAB,24,male,day,1842.33,4.4,senior,49.0,1.1,7.0
V544R,34,female,morning,1674.58,4.9,senior,46.0,,7.0
9MRXF,37,male,full,2185.62,2.9,mid,50.0,2.7,7.0
7EC8N,40,female,morning,1734.65,2.8,mid,52.0,-2.1,7.0
6R41Z,48,female,morning,1590.92,4.3,senior,50.0,,9.0
L1202,53,male,morning,1203.07,5.7,elite,54.0,-5.0,8.0
SPLL2,45,female,day,2163.44,3.7,senior,40.0,,6.0
11012,39,female,day,1848.56,4.6,mid,57.0,3.1,6.0
3HLGK,35,female,vip,6793.35,5.4,senior,71.0,-2.8,9.0
S7GD6,33,male,morning,1392.58,2.4,mid,22.0,,6.0
2QRD1,31,female,morning,1258.16,4.3,mid,40.0,-9.8,9.0
XYK8F,22,male,day,1734.13,4.4,senior,41.0,,7.0
8B612,25,female,morning,1395.02,5.2,mid,45.0,,8.0
4828S,47,female,morning,1514.52,3.5,elite,69.0,,8.0
5DSEI,40,female,vip,6649.19,0.5,junior,68.0,-3.6,7.0
7285Y,34,female,morning,1652.01,2.6,mid,36.0,-5.0,8.0
WY31K,34,female,full,2343.29,3.8,mid,40.0,,7.0
EONLS,24,female,full,2981.38,1.5,mid,63.0,-0.9,10.0
G23IU,41,female,full,3441.5,3.4,elite,65.0,,7.0
21RNY,38,female,morning,1462.42,4.5,mid,49.0,,8.0
TFVLS,39,male,day,1605.3,4.1,elite,44.0,,9.0
7YZCW,21,female,full,2177.98,6.4,mid,56.0,-2.8,
AZIRY,37,male,morning,1469.34,2.3,mid,32.0,-2.5,
EQWXK,47,female,full,3012.07,5.2,senior,70.0,-2.7,7.0
N36IN,37,female,morning,1443.1,4.4,senior,80.0,,6.0
JN5G1,37,female,day,2145.3,2.9,senior,49.0,-2.4,10.0
7749P,43,male,day,2020.69,1.2,junior,47.0,-1.0,6.0
LW7BW,21,male,vip,5634.66,2.9,junior,62.0,,9.0
IFMH4,29,male,day,2092.42,3.1,mid,43.0,-1.9,8.0
E4H5X,34,female,full,2165.45,2.2,mid,50.0,-4.3,8.0
SJN2F,38,female,full,3468.9,3.8,senior,54.0,1.6,10.0
0ULU7,30,female,day,1920.43,3.0,junior,50.0,1.4,8.0
6YR5U,48,male,full,3223.17,3.0,mid,45.0,-0.6,7.0
PGX54,50,male,day,1972.01,2.8,mid,15.0,,8.0
FG0BF,26,female,morning,1340.11,3.4,mid,26.0,-9.4,7.0
WUCKS,36,female,day,1820.57,3.5,mid,58.0,3.0,5.0
BKDA1,16,female,day,2106.49,3.7,elite,60.0,,
QSVRV,41,male,day,2303.43,3.6,elite,37.0,-3.2,
F5CA7,31,female,full,2630.41,3.0,senior,57.0,-1.2,8.0
5XXEM,27,female,day,2050.97,1.3,elite,76.0,-5.9,9.0
TY3OZ,30,male,morning,1385.44,4.6,mid,57.0,2.5,7.0
6X5LY,39,male,day,2115.26,3.4,senior,29.0,,6.0
CTFEB,31,male,full,2386.93,3.8,mid,41.0,-1.0,7.0
ZPZIK,29,female,full,3682.2,3.6,senior,69.0,,7.0
TMTAU,20,female,vip,5508.78,2.4,mid,72.0,3.4,8.0
2GCB5,36,female,morning,1468.58,4.4,senior,61.0,-1.9,
H4FV9,20,male,vip,4759.71,2.9,elite,65.0,,9.0
EW1GU,22,male,morning,1476.61,5.5,elite,50.0,8.1,9.0
04P32,50,female,morning,1618.91,2.3,junior,46.0,2.0,5.0
H5NMR,37,female,morning,1384.31,3.1,junior,60.0,-3.7,6.0
4RFLW,46,female,morning,1560.22,4.5,mid,41.0,,7.0
JDF7S,27,female,day,1491.54,4.6,senior,35.0,,9.0
33KBQ,27,male,day,2061.57,4.5,mid,51.0,,7.0
6K3LM,37,female,morning,1572.9,5.6,mid,23.0,-0.7,6.0
JSGSG,62,male,day,1572.02,2.8,senior,41.0,,8.0
MBIH4,16,male,morning,1746.78,4.4,senior,60.0,-2.4,
7JYFB,19,female,vip,6200.98,2.9,mid,64.0,1.3,5.0
V91W6,16,male,day,2013.46,3.8,mid,53.0,,9.0
ZWKDU,19,female,morning,1442.16,1.8,junior,42.0,,5.0
7C28L,30,female,full,2697.63,4.3,senior,66.0,-3.8,7.0
ARCDQ,42,female,day,1906.17,4.8,senior,21.0,-2.6,8.0
MZU03,46,male,morning,1635.11,2.8,junior,43.0,1.7,5.0
JUFMX,37,male,vip,5746.53,2.7,senior,79.0,,
XO2ET,33,male,day,2135.46,1.7,mid,51.0,0.9,7.0
HQ1TV,32,female,morning,1316.78,5.3,junior,37.0,3.5,7.0
9PT4T,16,female,full,2258.67,1.7,junior,46.0,,7.0
5FLZW,33,female,day,1882.87,4.0,junior,28.0,-5.3,4.0
PGWMT,22,female,full,3021.33,4.7,senior,42.0,,6.0
42Y17,24,female,vip,5851.36,3.2,elite,65.0,,8.0
PK0JX,37,female,morning,1352.27,3.7,mid,25.0,-3.4,7.0
NRNK0,47,male,day,2171.12,2.4,junior,40.0,,4.0
N5GYR,37,female,day,2176.06,5.1,senior,50.0,2.3,
Q7MMU,28,female,vip,5540.91,0.5,senior,49.0,2.4,7.0
YZQGQ,34,male,vip,6931.98,2.2,senior,61.0,-3.2,8.0
M2U8F,43,male,day,1727.19,3.3,junior,47.0,-3.2,5.0
4P5EZ,29,female,morning,1729.16,5.0,mid,40.0,1.3,
1MSQ3,19,female,morning,1755.43,6.6,mid,38.0,-4.9,7.0
7SIZG,43,female,day,1901.29,2.2,mid,34.0,1.6,7.0
ZN5LE,32,male,day,1854.03,3.8,senior,58.0,-4.5,9.0
ZMYWB,16,female,day,1743.72,3.9,senior,59.0,-1.3,7.0
1E9R6,16,female,vip,6170.74,2.5,mid,44.0,-3.1,7.0
